source_workbook,source_sheet,output_file,rows,cols,notes
Supplementary Data 1 Information of sequenced samples.xlsx,Sample819_regionlevel_meta,01_region_level_meta.csv,110,58,
Supplementary Data 1 Information of sequenced samples.xlsx,Abbreviations for brain region,02_region_dictionary.csv,108,5,
Supplementary Data 1 Information of sequenced samples.xlsx,Monkey_info,03_monkey_info.csv,10,4,
Supplementary Data 2 Expressed genes aligned to mfas5.xlsx,NCX_subcortical_23605expgenes,04_expressed_genes_neocortex_plus_subcortical.csv,23605,4,
Supplementary Data 2 Expressed genes aligned to mfas5.xlsx,NCX_23613expgenes,05_expressed_genes_neocortex_only.csv,23613,4,
Supplementary Data 2 Expressed genes aligned to mfas5.xlsx,mfas5_regionList102_DEG,06_region_deg_summary.csv,408,5,
Supplementary Data 3 Cortical expressed gene list used in WGCNA.xlsx,Sheet1,07_wgcna_cortical_expressed_genes_and_modules.csv,19971,5,
Supplementary Data 4 KEGG pathway enrichment for M1-M4.xlsx,Sheet1,08_m1_m4_kegg_enrichment.csv,27,9,
Supplementary Data 5 Neurotransmitter enrichment in M1-M4.xlsx,Neurotransmitter marker genes,09_neurotransmitter_marker_genes.csv,194,6,
Supplementary Data 5 Neurotransmitter enrichment in M1-M4.xlsx,Enrichment in M1-M4 ,10_m1_m4_neurotransmitter_enrichment.csv,9,18,
Supplementary Data 7 Information of module view for M1-M4.xlsx,Sheet1,11_module_view_gene_annotations.csv,1013,8,
Supplementary Data 8 Cell type enrichment in 20 modules and M1-M4.xlsx,CelltypeHighExpGene,12_celltype_high_expression_markers.csv,2364,3,
Supplementary Data 8 Cell type enrichment in 20 modules and M1-M4.xlsx,CynoMac_V1_major_celltype,13_v1_major_celltype_enrichment.csv,120,20,
Supplementary Data 8 Cell type enrichment in 20 modules and M1-M4.xlsx,CynoMac_CTX_Han et al. major,14_ctx_han_major_celltype_enrichment.csv,120,21,
Supplementary Data 8 Cell type enrichment in 20 modules and M1-M4.xlsx,RheMac_dlPFC_Ma et.al. major_ce,15_dlpfc_major_celltype_enrichment.csv,140,21,
Supplementary Data 8 Cell type enrichment in 20 modules and M1-M4.xlsx,CynoMac_V1_cell_subtype,16_v1_cell_subtype_enrichment.csv,440,9,
Supplementary Data 8 Cell type enrichment in 20 modules and M1-M4.xlsx,CynoMac_CTX_Han et al. cell_sub,17_ctx_han_cell_subtype_enrichment.csv,220,9,
Supplementary Data 8 Cell type enrichment in 20 modules and M1-M4.xlsx,RheMac_dlPFC_Ma et.al. cell_sub,18_dlpfc_cell_subtype_enrichment.csv,580,8,
Supplementary Data 9 Explained variances of PLS1 in age 2 to age 8.xlsx,Sheet1,19_pls1_explained_variance_by_age.csv,7,4,
"Supplementary Data 10 Significant CT-correlated gene list (1,284) across age 2 to age 8.xlsx",ageCT_exp_1284SigGenes_Cor_P,20_ct_significant_correlated_genes_1284.csv,1285,18,
"Supplementary Data 11 1,005 CT-related gene list.xlsx",Sheet1,21_ct_related_genes_1005.csv,1005,10,
"Supplementary Data 12 Overlap of 1,005 CT-related genes with available CT-related genes in humans.xlsx",Whitaker et.al_complete,22_ct_related_gene_overlap_with_human.csv,1642,4,
"Supplementary Data 12 Overlap of 1,005 CT-related genes with available CT-related genes in humans.xlsx",Fisher_statistics,23_ct_related_gene_overlap_statistics.csv,1,2,
Supplementary Data 13 Cell type enrichment in CT-related genes.xlsx,Fig6 single-nucleusV1 ,24_ct_genes_v1_celltype_enrichment.csv,42,23,
Supplementary Data 13 Cell type enrichment in CT-related genes.xlsx,macaque_Han et al.,25_ct_genes_ctx_han_celltype_enrichment.csv,23,12,
Supplementary Data 13 Cell type enrichment in CT-related genes.xlsx,"macaque_dlPFC_Ma,et al.",26_ct_genes_dlpfc_celltype_enrichment.csv,23,30,
Supplementary Data 14 Biological processes and KEGG pathways enrichment for CT-related genes.xlsx,Enriched Go term,27_ct_genes_go_enrichment.csv,231,8,
Supplementary Data 14 Biological processes and KEGG pathways enrichment for CT-related genes.xlsx,Annotation for 1005 genes,28_ct_genes_annotations.csv,1021,29,
Supplementary Data 15 Overlap of CT-related genes and 4 gene panels.xlsx,Gene panel definition,29_ct_gene_panel_definitions.csv,30,2,
Supplementary Data 15 Overlap of CT-related genes and 4 gene panels.xlsx,Individual gene,30_ct_gene_panel_individual_genes.csv,1012,18,
Supplementary Data 15 Overlap of CT-related genes and 4 gene panels.xlsx,Panel Overlap,31_ct_gene_panel_overlap.csv,19,6,
