Number,Abbreviation,Full name ,Lobe/region,Regional Map*
1,F1,"agranular frontal area F1,M1 (Primary motor cortex)",Frontal,M1
2,F2,"agranular frontal area F2,PMdc (dorsal premotor cortex, caudal)",Frontal,PMCdl
3,F4,"agranular frontal area F4,PMv (ventral premotor cortex)",Frontal,PMCvl
4,F3,"agranular frontal area F3,SMA (supplementary motor area)",Frontal,PMCm
5,F5,"agranular frontal area F5,PMv (ventral premotor cortex)",Frontal,PMCvl
6,44,area 44,Frontal,PFCvl
7,8Bs,area 8B in the arcuate sulcus(“s” stands for sulcus),Frontal,FEF
8,8A,area 8A[8Ad+8Av],Frontal,FEF
9,PrCO,precentral opercular area,Frontal,PFCol
10,25,"subgenual cingulate cortex,area 25",Frontal,CCs
11,13a,"orbitomedial prefrontal cortex,area 13a",Frontal,PFCom
12,F6,"agranular frontal area F6,PreSMA (presupplementary motor area)",Frontal,PFCdm
13,45,area 45[45A+45B],Frontal,PFCvl
14,14c,"orbitomedial prefrontal area,14c",Frontal,PFCom
15,F7,"agranular frontal area F7,PMdr (dorsal premotor cortex, rostral)",Frontal,PMCdl
16,12o,"lateral prefrontal cortex,area 12o,orbital part",Frontal,PFCol
17,13l,"orbitomedial prefrontal cortex,area 13l",Frontal,PFCol
18,13m,"orbitomedial prefrontal cortex,area 13m",Frontal,PFCom
19,12l,"lateral prefrontal cortex,area 12l,lateral part",Frontal,PFCvl
20,8Bd,"area 8B,dorsal subdivision",Frontal,PFCdl
21,32,"orbitomedial prefrontal cortex,area 32",Frontal,PFCm
22,13b,"orbitomedial prefrontal cortex,area 13b",Frontal,PFCom
23,46d,"area 46, dorsal subdivision",Frontal,PFCdl
24,46v,"area 46, ventral subdivision",Frontal,PFCvl
25,8Bm,"area 8B,medial subdivision",Frontal,PFCdm
26,12m,"lateral prefrontal cortex,area 12m,medial part",Frontal,PFCol
27,9d,"area 9, dorsal subdivision",Frontal,PFCdl
28,14r,"orbitomedial prefrontal area,14r",Frontal,PFCom
29,12r,"lateral prefrontal cortex,area 12r,rostal part?",Frontal,PFCol
30,9m,"area 9, medial subdivision",Frontal,PFCdm
31,11l,"obrital prefrontal area,area 11l",Frontal,PFCoi
32,11m,"orbital prefrontal area,area 11m",Frontal,PFCom
33,10m,"frontal polar,area 10m[10mc+10mr]",Frontal,PFCm
34,10o,"frontal polar anterior part,area 10o",Frontal,PFCpol
35,7m,area 7m in the medial parietal cortex,Parietal,PCm
36,7a,visual area 7a,Parietal,PCi
37,5,somatosensory area 5 (complex)[PE+PEa+PEc],Parietal,PCs
38,LIPd,"lateral intraparietal area, dorsal subdivision",Parietal,PCip
39,LIPv,"lateral intraparietal area, ventral subdivision",Parietal,PCip
40,VIP,ventral intraparietal area,Parietal,PCip
41,7b,visual area 7b,Parietal,PCi
42,7op,area 7op (parietal operculum),Parietal,S2
43,1-2,somatosensory areas 1 and 2,Parietal,S1
44,3a/b,somatosensory areas 3a and 3b,Parietal,S1
45,SII,secondary somatosensory area (S2),Parietal,S2
46,MST,medial superior temporal area,Temporal ,VACd
47,FST,floor of superior temporal area,Temporal ,TCs
48,Tpt,temporo-parietal area,Temporal ,TCs
49,TEO,area TEO,Temporal ,TCc
50,CL,"caudal lateral, belt region of the auditory cortex",Temporal ,TCs
51,TFO,area TFO of the parahippocampal cortex,Temporal ,PHC
52,TEpv,ventral subregion of posterior TE,Temporal ,TCi
53,TEpd,dorsal subregion of posterior TE,Temporal ,TCi
54,A1,"auditory area I, core region of the auditory cortex",Temporal ,A1
55,CM,"caudomedial, belt region of the auditory cortex",Temporal ,TCs
56,PGa,"area Pga,dorsal bank/fundus junction of the STS",Temporal ,TCc
57,ML,"middle lateral, belt region of the auditory cortex",Temporal ,TCs
58,TF,area TF of the parahippocampal cortex,Temporal ,PHC
59,IPa,"area Ipa,sts fundus",Temporal ,TCc
60,TPO,"area TPO,sts dorsal bank",Temporal ,TCc
61,TAa,"area TAa,sts dorsal bank",Temporal ,TCs
62,36c,"area 36 of the perirhinal cortex, caudal subregion",Temporal ,PHC
63,AL,"anterior lateral, belt region of the auditory cortex",Temporal ,TCs
64,TEm,"area TEm,sts ventral bank ",Temporal ,TCc
65,R,"rostral, core region of the auditory cortex",Temporal ,A1
66,RM,"rostromedial, belt region of the auditory cortex",Temporal ,TCs
67,TEa,"area TEa,sts ventral bank",Temporal ,TCc
68,TEav,ventral subregion of anterior TE,Temporal ,TCi
69,TEad,dorsal subregion of anterior TE,Temporal ,TCi
70,RT,"rostrotemporal, core region of the auditory cortex",Temporal ,A1
71,RTM,"medial rostrotemporal, belt region of the auditory cortex",Temporal ,TCs
72,RTL,"lateral rostrotemporal, belt region of the auditory cortex",Temporal ,TCs
73,STG,superior temporal gyrus,Temporal ,TCs
74,TG,temporal pole,Temporal ,TCpol
75,23b,"posterior cingulate cortex,area 23b",Cingulate,CCp
76,23c,"posterior cingulate cortex,area 23c",Cingulate,CCp
77,24a',"anterior cingulate cortex,area 24a'",Cingulate,CCa
78,24c',"anterior cingulate cortex,area 24c'",Cingulate,CCa
79,24b',"anterior cingulate cortex,area 24b'",Cingulate,CCa
80,24a,"anterior cingulate cortex,area 24a",Cingulate,CCa
81,24b,"anterior cingulate cortex,area 24b",Cingulate,CCa
82,24c,"anterior cingulate cortex,area 24c",Cingulate,CCa
83,V1,"visual area 1, primary visual cortex",Occipital,V1
84,V2,visual area 2,Occipital,V2
85,V3d,"visual area 3, dorsal part",Occipital,VACd
86,V3v,"visual area 3, ventral part",Occipital,VACv
87,V4,"visual area 4,dorsal part",Occipital,VACd
88,V4v,"visual area 4,ventral part",Occipital,TCv
89,Ri,retroinsula,Insula,Ip
90,Ig,granular insula,Insula,Ip
91,Id,dysgranular insula,Insula,Ip
92,Pi,parainsular area,Insula,Ia
93,Ia,agranular insula,Insula,Ia
94,G,gustatory cortex,Insula,G
95,Iapl,posterolateral agranular insula area,Insula,Ia
