Gene.stable.ID,Gene.name,Gene.name.cleaned
ENSMFAG00000032804,2021-03-02 00:00:00,MARCH2
ENSMFAG00000033685,2021-09-14 00:00:00,SEPT14
ENSMFAG00000045134,2021-09-07 00:00:00,SEPT7
ENSMFAG00000042066,2021-09-11 00:00:00,SEPT11
ENSMFAG00000045943,2021-03-01 00:00:00,MARCH1
ENSMFAG00000002411,2021-03-06 00:00:00,MARCH6
ENSMFAG00000039728,2021-03-11 00:00:00,MARCH11
ENSMFAG00000046331,2021-03-03 00:00:00,MARCH3
ENSMFAG00000016659,2021-09-08 00:00:00,SEPT8
ENSMFAG00000003084,2021-09-06 00:00:00,SEPT6
ENSMFAG00000035849,2021-03-09 00:00:00,MARCH9
ENSMFAG00000002860,2021-03-08 00:00:00,MARCH8
ENSMFAG00000041550,2021-03-05 00:00:00,MARCH5
ENSMFAG00000032793,2021-03-07 00:00:00,MARCH7
ENSMFAG00000045960,2021-03-04 00:00:00,MARCH4
ENSMFAG00000039700,2021-09-02 00:00:00,SEPT2
ENSMFAG00000045901,2021-12-01 00:00:00,DEC1
ENSMFAG00000044989,2021-09-10 00:00:00,SEPT10
ENSMFAG00000038117,2021-09-05 00:00:00,SEPT5
ENSMFAG00000038431,2021-09-04 00:00:00,SEPT4
ENSMFAG00000037996,2021-03-10 00:00:00,MARCH10
ENSMFAG00000035508,2021-09-09 00:00:00,SEPT9
ENSMFAG00000043961,2021-09-12 00:00:00,SEPT12
ENSMFAG00000031504,2021-09-01 00:00:00,SEPT1
