Gene.stable.ID,Gene.name,Gene.type_ensembl,Gene.type_Fig2B
ENSMFAG00000044637,PGBD2,protein_coding,protein_coding
ENSMFAG00000039056,ZNF692,protein_coding,protein_coding
ENSMFAG00000030010,ZNF672,protein_coding,protein_coding
ENSMFAG00000002737,SH3BP5L,protein_coding,protein_coding
ENSMFAG00000005691,ENSMFAG00000005691,miRNA,smallRNA
ENSMFAG00000000508,LYPD8,protein_coding,protein_coding
ENSMFAG00000040566,ENSMFAG00000040566,protein_coding,protein_coding
ENSMFAG00000018318,OR9G4,protein_coding,protein_coding
ENSMFAG00000039626,ENSMFAG00000039626,protein_coding,protein_coding
ENSMFAG00000021769,OR2M4,protein_coding,protein_coding
ENSMFAG00000015367,RF00019,misc_RNA,smallRNA
ENSMFAG00000009972,RF00019,misc_RNA,smallRNA
ENSMFAG00000010714,ENSMFAG00000010714,protein_coding,protein_coding
ENSMFAG00000021763,RF00019,misc_RNA,smallRNA
ENSMFAG00000010782,ENSMFAG00000010782,protein_coding,protein_coding
ENSMFAG00000011078,ENSMFAG00000011078,protein_coding,protein_coding
ENSMFAG00000010658,RF00019,misc_RNA,smallRNA
ENSMFAG00000039110,ENSMFAG00000039110,protein_coding,protein_coding
ENSMFAG00000039872,OR2AJ1,protein_coding,protein_coding
ENSMFAG00000002322,ENSMFAG00000002322,pseudogene,pseudogene
ENSMFAG00000020196,OR2W3,protein_coding,protein_coding
ENSMFAG00000032683,TRIM58,protein_coding,protein_coding
ENSMFAG00000041127,ENSMFAG00000041127,pseudogene,pseudogene
ENSMFAG00000003972,ENSMFAG00000003972,pseudogene,pseudogene
ENSMFAG00000041250,GCSAML,protein_coding,protein_coding
ENSMFAG00000029820,OR2B11,protein_coding,protein_coding
ENSMFAG00000038424,NLRP3,protein_coding,protein_coding
ENSMFAG00000035433,ZNF496,protein_coding,protein_coding
ENSMFAG00000044188,ENSMFAG00000044188,protein_coding,protein_coding
ENSMFAG00000010544,RF00001,rRNA,smallRNA
ENSMFAG00000041032,ZNF124,protein_coding,protein_coding
ENSMFAG00000003888,ZNF669,protein_coding,protein_coding
ENSMFAG00000037311,ZNF670,protein_coding,protein_coding
ENSMFAG00000003501,ZNF695,protein_coding,protein_coding
ENSMFAG00000045763,AHCTF1,protein_coding,protein_coding
ENSMFAG00000044986,SCCPDH,protein_coding,protein_coding
ENSMFAG00000000416,CNST,protein_coding,protein_coding
ENSMFAG00000000959,TFB2M,protein_coding,protein_coding
ENSMFAG00000045761,SMYD3,protein_coding,protein_coding
ENSMFAG00000005001,RF00026,snRNA,smallRNA
ENSMFAG00000023144,KIF26B,protein_coding,protein_coding
ENSMFAG00000008832,RF00003,snRNA,smallRNA
ENSMFAG00000039610,ENSMFAG00000039610,protein_coding,protein_coding
ENSMFAG00000005303,RF00026,snRNA,smallRNA
ENSMFAG00000015148,RF00026,snRNA,smallRNA
