Type,Region,Number,Lobe,Percentage
protein_coding,1-2,4362,Parietal,0.80375898286346
protein_coding,10m,4495,Frontal,0.751295336787565
protein_coding,10o,4451,Frontal,0.733520105471325
protein_coding,11l,4463,Frontal,0.795685505437689
protein_coding,11m,4561,Frontal,0.824028906955736
protein_coding,12l,5032,Frontal,0.800509067769647
protein_coding,12m,4582,Frontal,0.817922170653338
protein_coding,12o,4916,Frontal,0.8267743020518
protein_coding,12r,4633,Frontal,0.77996632996633
protein_coding,13a,5223,Frontal,0.778506483827694
protein_coding,13b,4853,Frontal,0.780225080385852
protein_coding,13l,4538,Frontal,0.77785395954748
protein_coding,13m,4609,Frontal,0.825689716947331
protein_coding,14c,4806,Frontal,0.784524975514202
protein_coding,14r,4631,Frontal,0.758434326891582
protein_coding,23b,5399,Cingulate,0.808596675153512
protein_coding,23c,5150,Cingulate,0.811918650480845
protein_coding,24a',5063,Cingulate,0.859592529711375
protein_coding,24b,5342,Cingulate,0.898117014122394
protein_coding,24b',5284,Cingulate,0.868650337004767
protein_coding,24c,4601,Cingulate,0.753274394237066
protein_coding,24c',4937,Cingulate,0.831144781144781
protein_coding,25,5814,Frontal,0.80974930362117
protein_coding,32,4800,Frontal,0.788177339901478
protein_coding,3a/b,4708,Parietal,0.784405198267244
protein_coding,44,4938,Frontal,0.808447937131631
protein_coding,45,4489,Frontal,0.762268636440822
protein_coding,46d,4596,Frontal,0.784702065904046
protein_coding,46v,4849,Frontal,0.78462783171521
protein_coding,5,4447,Parietal,0.785550256138491
protein_coding,7a,4499,Parietal,0.789298245614035
protein_coding,7b,4548,Parietal,0.784137931034483
protein_coding,7m,4858,Parietal,0.846046673632881
protein_coding,7op,4480,Parietal,0.759064723822433
protein_coding,8A,4653,Frontal,0.769345238095238
protein_coding,8Bd,4460,Frontal,0.786873676781934
protein_coding,8Bm,5024,Frontal,0.836636136552873
protein_coding,8Bs,4645,Frontal,0.776106934001671
protein_coding,9d,4391,Frontal,0.790601368383147
protein_coding,9m,4827,Frontal,0.781573834196891
protein_coding,AI,4645,Temporal,0.777666164406496
protein_coding,AL,4501,Temporal,0.802317290552585
protein_coding,amy,6075,Subcortical,0.794844956169043
protein_coding,cd,6373,Subcortical,0.755452821242295
protein_coding,CL,4539,Temporal,0.814024390243902
protein_coding,CM,4597,Temporal,0.827244916321756
protein_coding,F1,4722,Frontal,0.770687122572221
protein_coding,F2,4640,Frontal,0.776829064121882
protein_coding,F3,4479,Frontal,0.78510078878177
protein_coding,F4,4545,Frontal,0.8152466367713
protein_coding,F5,4605,Frontal,0.810168895144265
protein_coding,F6,4489,Frontal,0.813814358230602
protein_coding,F7,4647,Frontal,0.816839514853225
protein_coding,FST,4750,Temporal,0.800471857094708
protein_coding,G,4793,Insula,0.818476775956284
protein_coding,GPeGPi,8044,Subcortical,0.775624337093819
protein_coding,HC,6660,Subcortical,0.778674149421256
protein_coding,Ia,5362,Insula,0.814893617021277
protein_coding,Ial,4845,Insula,0.791537330501552
protein_coding,Iapl,4502,Insula,0.805799176660104
protein_coding,Iapm,5030,Insula,0.815763866363931
protein_coding,Id,4697,Insula,0.771644488253655
protein_coding,Ig,4520,Insula,0.759026028547439
protein_coding,IPa,4898,Temporal,0.808250825082508
protein_coding,LIPd,5185,Parietal,0.821060965954078
protein_coding,LIPv,4791,Parietal,0.777002919234512
protein_coding,ML,4778,Temporal,0.806549628629305
protein_coding,MST,4989,Temporal,0.806889859291606
protein_coding,NARegion,6246,Subcortical,0.772350686286633
protein_coding,PGa,4802,Temporal,0.78553901521348
protein_coding,Pi,5106,Insula,0.895632345202596
protein_coding,Pir,5723,Subcortical,0.842857142857143
protein_coding,PrCo,4542,Frontal,0.811796246648794
protein_coding,pu,6828,Subcortical,0.786635944700461
protein_coding,R,4497,Temporal,0.8112935233628
protein_coding,Ri,5202,Insula,0.850834151128557
protein_coding,RM,4611,Temporal,0.763031606817806
protein_coding,RT,5374,Temporal,0.839425179631365
protein_coding,RTL,5206,Temporal,0.777943813508667
protein_coding,RTM,5249,Temporal,0.795785324439054
protein_coding,SII,4390,Parietal,0.802119495706194
protein_coding,STG,4397,Temporal,0.717643218540885
protein_coding,TAa,4490,Temporal,0.841769778777653
protein_coding,TEa,6760,Temporal,0.803900582709002
protein_coding,TEad,4454,Temporal,0.811441063946074
protein_coding,TEav,4406,Temporal,0.796600976315314
protein_coding,TEm,4609,Temporal,0.757063074901445
protein_coding,TEO,4914,Temporal,0.796563462473659
protein_coding,TEpd,4856,Temporal,0.7650858673389
protein_coding,TEpv,4615,Temporal,0.795004306632214
protein_coding,TFO,4545,Temporal,0.815539206890364
protein_coding,TG,5746,Temporal,0.810894721987017
protein_coding,thalamus,6839,Subcortical,0.77172195892575
protein_coding,TPO,4562,Temporal,0.817269795772125
protein_coding,Tpt,4430,Temporal,0.830521184851894
protein_coding,V1,5972,Occipital,0.735286875153903
protein_coding,V2,5369,Occipital,0.734372862809465
protein_coding,V3d,5779,Occipital,0.783593220338983
protein_coding,V3v,5309,Occipital,0.79966862479289
protein_coding,V4,4723,Occipital,0.807350427350427
protein_coding,V4v,5080,Occipital,0.80801654207094
protein_coding,VIP,4536,Parietal,0.781260764726145
lincRNA,1-2,265,Parietal,0.048829924451815
lincRNA,10m,301,Frontal,0.050309209426709
lincRNA,10o,297,Frontal,0.0489452867501648
lincRNA,11l,254,Frontal,0.0452843644143341
lincRNA,11m,255,Frontal,0.046070460704607
lincRNA,12l,264,Frontal,0.0419980909958638
lincRNA,12m,245,Frontal,0.0437343805783649
lincRNA,12o,256,Frontal,0.043054154053145
lincRNA,12r,268,Frontal,0.0451178451178451
lincRNA,13a,311,Frontal,0.0463556416753615
lincRNA,13b,288,Frontal,0.0463022508038585
lincRNA,13l,282,Frontal,0.0483373328762427
lincRNA,13m,249,Frontal,0.0446076675026872
lincRNA,14c,275,Frontal,0.044890630101208
lincRNA,14r,290,Frontal,0.0474942679331805
lincRNA,23b,267,Cingulate,0.0399880185712146
lincRNA,23c,263,Cingulate,0.0414630301119344
lincRNA,24a',211,Cingulate,0.0358234295415959
lincRNA,24b,189,Cingulate,0.0317753866845999
lincRNA,24b',206,Cingulate,0.0338648693079073
lincRNA,24c,289,Cingulate,0.0473149967256058
lincRNA,24c',250,Cingulate,0.0420875420875421
lincRNA,25,281,Frontal,0.0391364902506964
lincRNA,32,287,Frontal,0.0471264367816092
lincRNA,3a/b,277,Parietal,0.0461512829056981
lincRNA,44,273,Frontal,0.0446954813359528
lincRNA,45,294,Frontal,0.0499235863474274
lincRNA,46d,278,Frontal,0.0474645723066416
lincRNA,46v,286,Frontal,0.0462783171521036
lincRNA,5,282,Parietal,0.0498145204027557
lincRNA,7a,290,Parietal,0.0508771929824561
lincRNA,7b,292,Parietal,0.0503448275862069
lincRNA,7m,254,Parietal,0.0442354580285615
lincRNA,7op,308,Parietal,0.0521856997627923
lincRNA,8A,295,Frontal,0.048776455026455
lincRNA,8Bd,259,Frontal,0.0456951305575159
lincRNA,8Bm,230,Frontal,0.0383014154870941
lincRNA,8Bs,296,Frontal,0.0494569757727652
lincRNA,9d,266,Frontal,0.0478934101548434
lincRNA,9m,278,Frontal,0.0450129533678756
lincRNA,AI,296,Temporal,0.0495563368491545
lincRNA,AL,275,Temporal,0.0490196078431373
lincRNA,amy,309,Subcortical,0.0404291508569933
lincRNA,cd,407,Subcortical,0.0482456140350877
lincRNA,CL,262,Temporal,0.046987087517934
lincRNA,CM,246,Temporal,0.0442684901925499
lincRNA,F1,296,Frontal,0.0483107556716174
lincRNA,F2,287,Frontal,0.0480495563368492
lincRNA,F3,282,Frontal,0.04943032427695
lincRNA,F4,259,Frontal,0.046457399103139
lincRNA,F5,261,Frontal,0.0459183673469388
lincRNA,F6,245,Frontal,0.0444162436548223
lincRNA,F7,249,Frontal,0.0437686763930392
lincRNA,FST,291,Temporal,0.0490394337714863
lincRNA,G,263,Insula,0.0449112021857924
lincRNA,GPeGPi,404,Subcortical,0.0389547777456369
lincRNA,HC,345,Subcortical,0.0403367239565065
lincRNA,Ia,263,Insula,0.0399696048632219
lincRNA,Ial,279,Insula,0.0455807874530305
lincRNA,Iapl,264,Insula,0.0472525505638088
lincRNA,Iapm,267,Insula,0.0433019785922802
lincRNA,Id,298,Insula,0.0489567931657631
lincRNA,Ig,301,Insula,0.0505457598656591
lincRNA,IPa,253,Temporal,0.0417491749174918
lincRNA,LIPd,267,Parietal,0.0422802850356295
lincRNA,LIPv,292,Parietal,0.0473564709698346
lincRNA,ML,257,Temporal,0.0433828494260635
lincRNA,MST,274,Temporal,0.0443150574154941
lincRNA,NARegion,347,Subcortical,0.0429083714603685
lincRNA,PGa,277,Temporal,0.045313266808441
lincRNA,Pi,170,Insula,0.0298193299421154
lincRNA,Pir,245,Subcortical,0.0360824742268041
lincRNA,PrCo,260,Frontal,0.0464700625558534
lincRNA,pu,345,Subcortical,0.0397465437788018
lincRNA,R,261,Temporal,0.0470864152985748
lincRNA,Ri,198,Insula,0.0323846908734053
lincRNA,RM,301,Temporal,0.0498096971702797
lincRNA,RT,257,Temporal,0.0401437050921587
lincRNA,RTL,302,Temporal,0.0451285116557083
lincRNA,RTM,285,Temporal,0.0432080048514251
lincRNA,SII,256,Parietal,0.0467750776539375
lincRNA,STG,302,Temporal,0.0492900277460421
lincRNA,TAa,229,Temporal,0.0429321334833146
lincRNA,TEa,267,Temporal,0.0317516946129147
lincRNA,TEad,255,Temporal,0.0464565494625615
lincRNA,TEav,277,Temporal,0.0500813596094739
lincRNA,TEm,314,Temporal,0.0515768725361367
lincRNA,TEO,291,Temporal,0.0471713405738369
lincRNA,TEpd,304,Temporal,0.0478966440838191
lincRNA,TEpv,275,Temporal,0.0473729543496985
lincRNA,TFO,257,Temporal,0.0461151982774089
lincRNA,TG,284,Temporal,0.0400790290714084
lincRNA,thalamus,369,Subcortical,0.0416384563303994
lincRNA,TPO,262,Temporal,0.0469365818702974
lincRNA,Tpt,252,Temporal,0.047244094488189
lincRNA,V1,350,Occipital,0.0430928342772716
lincRNA,V2,334,Occipital,0.0456845848721105
lincRNA,V3d,289,Occipital,0.0391864406779661
lincRNA,V3v,291,Occipital,0.043831902394939
lincRNA,V4,265,Occipital,0.0452991452991453
lincRNA,V4v,276,Occipital,0.0439001113408621
lincRNA,VIP,294,Parietal,0.0506372717878057
pseudogene,1-2,46,Parietal,0.00847613782937166
pseudogene,10m,56,Frontal,0.00935985291659702
pseudogene,10o,60,Frontal,0.00988793671720501
pseudogene,11l,58,Frontal,0.0103405241576039
pseudogene,11m,48,Frontal,0.00867208672086721
pseudogene,12l,71,Frontal,0.0112949411390391
pseudogene,12m,49,Frontal,0.00874687611567297
pseudogene,12o,57,Frontal,0.00958627648839556
pseudogene,12r,60,Frontal,0.0101010101010101
pseudogene,13a,75,Frontal,0.0111790132657624
pseudogene,13b,61,Frontal,0.00980707395498392
pseudogene,13l,51,Frontal,0.00874185807336304
pseudogene,13m,49,Frontal,0.00877821569329989
pseudogene,14c,65,Frontal,0.0106105125693764
pseudogene,14r,64,Frontal,0.0104814936128398
pseudogene,23b,74,Cingulate,0.011082821626479
pseudogene,23c,76,Cingulate,0.0119817121236008
pseudogene,24a',61,Cingulate,0.0103565365025467
pseudogene,24b,44,Cingulate,0.00739744451916611
pseudogene,24b',65,Cingulate,0.0106855170146309
pseudogene,24c,65,Cingulate,0.010641781270465
pseudogene,24c',69,Cingulate,0.0116161616161616
pseudogene,25,79,Frontal,0.0110027855153203
pseudogene,32,60,Frontal,0.00985221674876847
