GeneID,Gene.name,Gene.type,M20,M4
ENSMFAG00000000045,ENSMFAG00000000045,protein_coding,green,M4
ENSMFAG00000000062,TBC1D9B,protein_coding,green,M4
ENSMFAG00000000070,POMGNT1,protein_coding,green,M4
ENSMFAG00000000081,PSMA5,protein_coding,green,M4
ENSMFAG00000000118,FAM234B,protein_coding,green,M4
ENSMFAG00000000119,VSTM5,protein_coding,green,M4
ENSMFAG00000000128,RAP1GDS1,protein_coding,purple,M4
ENSMFAG00000000132,PPP2R1A,protein_coding,green,M4
ENSMFAG00000000134,DLK2,protein_coding,green,M4
ENSMFAG00000000138,RPTOR,protein_coding,lightcyan,M4
ENSMFAG00000000145,SLC25A3,protein_coding,purple,M4
ENSMFAG00000000152,ZNF229,protein_coding,cyan,M4
ENSMFAG00000000161,EXOSC4,protein_coding,green,M4
ENSMFAG00000000180,CCN1,protein_coding,green,M4
ENSMFAG00000000201,NIPA2,protein_coding,purple,M4
ENSMFAG00000000218,PEX26,protein_coding,green,M4
ENSMFAG00000000230,ENSMFAG00000000230,protein_coding,green,M4
ENSMFAG00000000231,TIMM17A,protein_coding,purple,M4
ENSMFAG00000000233,KCNG2,protein_coding,cyan,M4
ENSMFAG00000000244,TMEM219,protein_coding,green,M4
ENSMFAG00000000254,UBXN6,protein_coding,green,M4
ENSMFAG00000000273,CDS2,protein_coding,green,M4
ENSMFAG00000000279,MAPRE3,protein_coding,green,M4
ENSMFAG00000000293,MRPL47,protein_coding,purple,M4
ENSMFAG00000000309,HDGFL2,protein_coding,lightcyan,M4
ENSMFAG00000000312,CHRNA4,protein_coding,green,M4
ENSMFAG00000000326,TNFAIP3,protein_coding,green,M4
ENSMFAG00000000393,ACP2,protein_coding,green,M4
ENSMFAG00000000403,GLRX5,protein_coding,purple,M4
ENSMFAG00000000405,MYDGF,protein_coding,green,M4
ENSMFAG00000000409,ENSMFAG00000000409,protein_coding,purple,M4
ENSMFAG00000000419,ENSMFAG00000000419,protein_coding,purple,M4
ENSMFAG00000000425,MINAR1,protein_coding,cyan,M4
ENSMFAG00000000429,KPNA6,protein_coding,purple,M4
ENSMFAG00000000433,RNF175,protein_coding,cyan,M4
ENSMFAG00000000455,ENSMFAG00000000455,protein_coding,lightcyan,M4
ENSMFAG00000000457,PCCB,protein_coding,purple,M4
ENSMFAG00000000478,PCYT2,protein_coding,green,M4
ENSMFAG00000000487,NDP,protein_coding,green,M4
ENSMFAG00000000489,APOO,protein_coding,purple,M4
ENSMFAG00000000491,MRPL15,protein_coding,purple,M4
ENSMFAG00000000493,TMEM129,protein_coding,green,M4
ENSMFAG00000000496,EMC10,protein_coding,green,M4
ENSMFAG00000000525,ENSMFAG00000000525,protein_coding,midnightblue,M4
ENSMFAG00000000526,PPCDC,protein_coding,green,M4
ENSMFAG00000000558,TRARG1,protein_coding,green,M4
ENSMFAG00000000579,ADAMTS16,protein_coding,cyan,M4
ENSMFAG00000000591,MVD,protein_coding,green,M4
ENSMFAG00000000594,BTF3,protein_coding,purple,M4
ENSMFAG00000000625,WDR83OS,protein_coding,purple,M4
ENSMFAG00000000630,MLF2,protein_coding,green,M4
ENSMFAG00000000651,PELO,protein_coding,purple,M4
ENSMFAG00000000714,SLC25A26,protein_coding,purple,M4
ENSMFAG00000000720,PRRC2A,protein_coding,lightcyan,M4
ENSMFAG00000000760,TFR2,protein_coding,green,M4
ENSMFAG00000000784,ENSMFAG00000000784,protein_coding,purple,M4
ENSMFAG00000000785,ELP3,protein_coding,purple,M4
ENSMFAG00000000791,PTDSS2,protein_coding,green,M4
ENSMFAG00000000800,B3GALT5,protein_coding,cyan,M4
ENSMFAG00000000826,ENSMFAG00000000826,protein_coding,purple,M4
ENSMFAG00000000827,GTF2B,protein_coding,purple,M4
ENSMFAG00000000836,PIK3R6,protein_coding,cyan,M4
ENSMFAG00000000852,CYB5R1,protein_coding,green,M4
ENSMFAG00000000853,PPIB,protein_coding,green,M4
ENSMFAG00000000858,KDELR1,protein_coding,midnightblue,M4
ENSMFAG00000000861,OAZ2,protein_coding,green,M4
ENSMFAG00000000862,TIMM17B,protein_coding,midnightblue,M4
ENSMFAG00000000874,MRPL9,protein_coding,midnightblue,M4
ENSMFAG00000000882,HDDC2,protein_coding,purple,M4
ENSMFAG00000000891,MICU1,protein_coding,cyan,M4
