Module,Term_id,Term_name,p (FDR-corrected),Term_size,Query_size,Intersection_size,Precision,Recall
M1,KEGG:04080,Neuroactive ligand-receptor interaction,3.3507053196516e-10,275,5901,137,0.0232164039993221,0.498181818181818
,KEGG:04514,Cell adhesion molecules,3.25365526644606e-05,130,5901,66,0.0111845449923742,0.507692307692308
,KEGG:04360,Axon guidance,0.000217403426772473,176,5901,81,0.0137264870360956,0.460227272727273
,KEGG:04024,cAMP signaling pathway,0.00123682416645816,198,5901,86,0.0145738010506694,0.434343434343434
,KEGG:04512,ECM-receptor interaction,0.00123682416645816,84,5901,43,0.00728690052533469,0.511904761904762
,KEGG:04510,Focal adhesion,0.00225208092113245,191,5901,82,0.0138959498390103,0.429319371727749
,KEGG:04724,Glutamatergic synapse,0.00255560250997333,105,5901,50,0.00847314014573801,0.476190476190476
,KEGG:05030,Cocaine addiction,0.00492445188450001,49,5901,27,0.00457549567869853,0.551020408163265
,KEGG:04726,Serotonergic synapse,0.00492445188450001,105,5901,49,0.00830367734282325,0.466666666666667
M2,KEGG:03013,RNA transport,1.82988313201929e-05,156,3838,58,0.0151120375195414,0.371794871794872
,KEGG:03040,Spliceosome,0.000235943853802261,131,3838,48,0.0125065138092757,0.366412213740458
,KEGG:03018,RNA degradation,0.000918253112351175,76,3838,31,0.00807712350182387,0.407894736842105
,KEGG:03015,mRNA surveillance pathway,0.0190345943376506,88,3838,31,0.00807712350182387,0.352272727272727
,KEGG:03008,Ribosome biogenesis in eukaryotes,0.0492769920638762,74,3838,26,0.00677436164669099,0.351351351351351
M3,KEGG:01230,Biosynthesis of amino acids,0.00012877055663059,72,4968,37,0.00744766505636071,0.513888888888889
,KEGG:01200,Carbon metabolism,0.000176444640006475,113,4968,51,0.0102657004830918,0.451327433628319
,KEGG:00260,"Glycine, serine and threonine metabolism",0.00193657018980644,37,4968,21,0.00422705314009662,0.567567567567568
,KEGG:04960,Aldosterone-regulated sodium reabsorption,0.0052100013696375,34,4968,19,0.00382447665056361,0.558823529411765
,KEGG:04210,Apoptosis,0.00542161134416612,128,4968,51,0.0102657004830918,0.3984375
,KEGG:04010,MAPK signaling pathway,0.00605862117846662,284,4968,98,0.0197262479871176,0.345070422535211
M4,KEGG:03010,Ribosome,5.24603623868543e-42,173,1877,88,0.0468833244539158,0.508670520231214
,KEGG:00190,Oxidative phosphorylation,2.00656092728506e-31,115,1877,62,0.0330314331379861,0.539130434782609
,KEGG:05012,Parkinson disease,7.54081841855393e-27,234,1877,84,0.0447522642514651,0.358974358974359
,KEGG:05016,Huntington disease,5.14500971141456e-25,284,1877,91,0.0484816196057539,0.320422535211268
,KEGG:05010,Alzheimer disease,6.72981104885492e-24,344,1877,100,0.053276505061268,0.290697674418605
,KEGG:05020,Prion disease,1.09750079785835e-23,253,1877,83,0.0442194992008524,0.328063241106719
,KEGG:05022,Pathways of neurodegeneration - multiple diseases,1.11549064894684e-22,447,1877,115,0.0612679808204582,0.257270693512304
