Cell type,GeneID,Gene
ExcN,ENSMFAG00000043580,RFTN1
ExcN,ENSMFAG00000001610,TMEM132D
ExcN,ENSMFAG00000036760,HPSE2
ExcN,ENSMFAG00000021148,CA10
ExcN,ENSMFAG00000032831,ARHGAP24
ExcN,ENSMFAG00000002835,TENM2
ExcN,ENSMFAG00000040292,CADPS2
ExcN,ENSMFAG00000046226,RORB
ExcN,ENSMFAG00000040165,NELL2
ExcN,ENSMFAG00000037862,KCNH5
ExcN,ENSMFAG00000038674,PTPRK
ExcN,ENSMFAG00000002480,PTPRT
ExcN,ENSMFAG00000044278,TRHDE
ExcN,ENSMFAG00000033914,UTRN
ExcN,ENSMFAG00000039910,SPOCK1
ExcN,ENSMFAG00000033336,FSTL4
ExcN,ENSMFAG00000040304,MYLK
ExcN,ENSMFAG00000039158,UNC5D
ExcN,ENSMFAG00000039161,KCNB2
ExcN,ENSMFAG00000031789,RSPO2
ExcN,ENSMFAG00000039199,TAFA2
ExcN,ENSMFAG00000039258,LHFPL6
ExcN,ENSMFAG00000001899,LRRTM4
ExcN,ENSMFAG00000034602,NKAIN2
ExcN,ENSMFAG00000035829,GPC5
ExcN,ENSMFAG00000001139,CDH9
ExcN,ENSMFAG00000042125,DGKG
ExcN,ENSMFAG00000044122,GULP1
ExcN,ENSMFAG00000034323,NDST3
ExcN,ENSMFAG00000033106,CBLN2
ExcN,ENSMFAG00000036978,KCNQ5
ExcN,ENSMFAG00000000721,SLIT3
ExcN,ENSMFAG00000039075,GRM1
ExcN,ENSMFAG00000001913,GRIA4
ExcN,ENSMFAG00000032061,GUCY1A1
ExcN,ENSMFAG00000032084,NETO1
ExcN,ENSMFAG00000000096,SLIT2
ExcN,ENSMFAG00000032224,SYN3
ExcN,ENSMFAG00000046158,KCND2
ExcN,ENSMFAG00000035840,NELL1
ExcN,ENSMFAG00000003102,TRPC5
ExcN,ENSMFAG00000000892,WDR86
ExcN,ENSMFAG00000031204,PPFIA2
ExcN,ENSMFAG00000034573,C1QL2
ExcN,ENSMFAG00000000214,HS6ST3
ExcN,ENSMFAG00000044794,DIAPH2
ExcN,ENSMFAG00000031649,ADGRD1
ExcN,ENSMFAG00000045257,ATP2B1
ExcN,ENSMFAG00000042771,GRIA2
ExcN,ENSMFAG00000043353,GRIA1
ExcN,ENSMFAG00000045383,TMEM196
ExcN,ENSMFAG00000043359,KIRREL3
ExcN,ENSMFAG00000045444,ALCAM
ExcN,ENSMFAG00000038698,ENSMFAG00000038698
ExcN,ENSMFAG00000033074,RGS6
ExcN,ENSMFAG00000039672,ADGRL3
ExcN,ENSMFAG00000034433,PDE1A
ExcN,ENSMFAG00000045721,CCBE1
ExcN,ENSMFAG00000033664,PAM
ExcN,ENSMFAG00000031079,CMTM8
ExcN,ENSMFAG00000003378,GALNTL6
ExcN,ENSMFAG00000001834,PDZD2
ExcN,ENSMFAG00000040080,AGBL1
ExcN,ENSMFAG00000024718,MEIS2
ExcN,ENSMFAG00000044146,HPCAL1
ExcN,ENSMFAG00000000729,FAT4
ExcN,ENSMFAG00000040110,KCNN3
ExcN,ENSMFAG00000042172,ZNF804A
ExcN,ENSMFAG00000040607,ITGA9
ExcN,ENSMFAG00000037979,PCSK2
ExcN,ENSMFAG00000045604,SLC35F3
ExcN,ENSMFAG00000034683,GUCY1A2
ExcN,ENSMFAG00000041435,KCNK1
ExcN,ENSMFAG00000046674,ENSMFAG00000046674
ExcN,ENSMFAG00000003760,HHAT
ExcN,ENSMFAG00000041464,PAPSS2
ExcN,ENSMFAG00000038079,SHISA9
ExcN,ENSMFAG00000037181,LOXHD1
ExcN,ENSMFAG00000036872,CAMK4
