module4,module20,celltype,modulesize,markersize,intersect,oddsratio,fdr,significant,Unnamed: 9,marker genes define,Unnamed: 11,module4.1,celltype.1,modulesize.1,markersize.1,intersect.1,or,fdr.1,significant.1
M1,turquoise,ExN,4736,555,185,1.63256251,2.560699e-07,Enrich,,avg_log2FC >=0.5 & p_val_adj <0.05,,M1,ExN,5901.0,555.0,227.0,1.6754917,1.427236e-08,Enrich
M1,turquoise,Oligo,4736,398,38,0.33410099,1.698459e-12,Absence,,,,M1,Oligo,5901.0,398.0,48.0,0.3213871,4.421333e-16,Absence
M1,turquoise,InN,4736,363,136,1.95406338,6.932636e-09,Enrich,,,,M1,InN,5901.0,363.0,162.0,1.9470353,2.192092e-09,Enrich
M1,turquoise,Micro,4736,234,92,2.10489729,1.531783e-07,Enrich,,,,M1,Micro,5901.0,234.0,117.0,2.4113759,1.320511e-10,Enrich
M1,turquoise,Astro,4736,519,129,1.06547231,0.5307036,False,,,,M1,Astro,5901.0,519.0,161.0,1.0739174,0.4648293,False
M1,turquoise,OPC,4736,277,113,2.24539296,6.689903e-10,Enrich,,,,M1,OPC,5901.0,277.0,124.0,1.9517307,1.022135e-07,Enrich
M1,lightgreen,ExN,141,555,26,8.24485558,9.645662e-14,Enrich,,,,M2,ExN,3838.0,555.0,92.0,0.8309482,0.1131907,False
M1,lightgreen,Oligo,141,398,2,0.70595413,1.0,False,,,,M2,Oligo,3838.0,398.0,61.0,0.7567803,0.05566156,False
M1,lightgreen,InN,141,363,15,6.66118087,1.355538e-07,Enrich,,,,M2,InN,3838.0,363.0,44.0,0.5747586,0.001046039,Absence
M1,lightgreen,Micro,141,234,1,0.60062493,1.0,False,,,,M2,Micro,3838.0,234.0,22.0,0.4328321,0.0003218607,Absence
M1,lightgreen,Astro,141,519,3,0.81349701,1.0,False,,,,M2,Astro,3838.0,519.0,73.0,0.6817664,0.003384165,Absence
M1,lightgreen,OPC,141,277,2,1.02289599,1.0,False,,,,M2,OPC,3838.0,277.0,33.0,0.5646064,0.003129491,Absence
M1,magenta,ExN,491,555,9,0.647343,0.3950883,False,,,,M3,ExN,4968.0,555.0,152.0,1.1436277,0.1962146,False
M1,magenta,Oligo,491,398,3,0.29696037,0.05862962,False,,,,M3,Oligo,4968.0,398.0,266.0,6.3740068,3.198275e-70,Enrich
M1,magenta,InN,491,363,10,1.12618688,0.8763329,False,,,,M3,InN,4968.0,363.0,111.0,1.3380104,0.02113139,Enrich
M1,magenta,Micro,491,234,20,3.821513,8.957619e-06,Enrich,,,,M3,Micro,4968.0,234.0,66.0,1.1891855,0.2536046,False
