module4,module20,celltype,modulesize,markersize,intersect,or,fdr,significant,Unnamed: 9,Unnamed: 10,marker genes define,Unnamed: 12,module4.1,celltype.1,modulesize.1,markersize.1,intersect.1,or.1,fdr.1,significant.1
M1,turquoise,ExN,4736,106,28,1.1552652,0.5926009,False,,,avg_log2FC >=0.5 & p_val_adj <0.05,,M1,ExN,5901.0,106.0,34.0,1.1262499,0.7125304,False
M1,turquoise,InN,4736,98,37,1.95807702,0.003630396,Enrich,,,,,M1,InN,5901.0,98.0,46.0,2.11714815,0.000651103,Enrich
M1,turquoise,Micro,4736,202,87,2.45950251,3.356539e-09,Enrich,,,,,M1,Micro,5901.0,202.0,100.0,2.35970876,6.848967e-09,Enrich
M1,turquoise,Astro,4736,326,73,0.92675198,0.5999338,False,,,,,M1,Astro,5901.0,326.0,96.0,0.99476415,1.0,False
M1,turquoise,Oligo,4736,137,3,0.0714114,1.109189e-11,Absence,,,,,M1,Oligo,5901.0,137.0,5.0,0.08951737,5.647058e-14,Absence
M1,turquoise,OPC,4736,195,62,1.50567746,0.0162981,Enrich,,,,,M1,OPC,5901.0,195.0,70.0,1.33877667,0.08714375,False
M1,lightgreen,ExN,141,106,4,5.64431665,0.0203731,Enrich,,,,,M2,ExN,3838.0,106.0,21.0,1.03840011,0.9015615,False
M1,lightgreen,InN,141,98,5,7.79806123,0.00393721,Enrich,,,,,M2,InN,3838.0,98.0,9.0,0.42359692,0.01160715,Absence
M1,lightgreen,Micro,141,202,1,0.69738075,1.0,False,,,,,M2,Micro,3838.0,202.0,22.0,0.51081872,0.003269336,Absence
M1,lightgreen,Astro,141,326,1,0.42858147,1.0,False,,,,,M2,Astro,3838.0,326.0,31.0,0.43704508,5.165421e-06,Absence
M1,lightgreen,Oligo,141,137,0,0.0,1.0,False,,,,,M2,Oligo,3838.0,137.0,6.0,0.19121084,3.479153e-06,Absence
M1,lightgreen,OPC,141,195,2,1.46353182,0.8026588,False,,,,,M2,OPC,3838.0,195.0,22.0,0.53171961,0.00509925,Absence
M1,magenta,ExN,491,106,0,0.0,0.2355584,False,,,,,M3,ExN,4968.0,106.0,34.0,1.42927697,0.1093594,False
M1,magenta,InN,491,98,4,1.69341217,0.4621714,False,,,,,M3,InN,4968.0,98.0,33.0,1.53703653,0.07010998,False
M1,magenta,Micro,491,202,10,2.08787181,0.1037669,False,,,,,M3,Micro,4968.0,202.0,52.0,1.04762028,0.8061209,False
M1,magenta,Astro,491,326,16,2.08233163,0.05844651,False,,,,,M3,Astro,4968.0,326.0,148.0,2.55774775,1.517176e-15,Enrich
M1,magenta,Oligo,491,137,2,0.58593819,0.933164,False,,,,,M3,Oligo,4968.0,137.0,124.0,29.52008779,3.186824e-59,Enrich
M1,magenta,OPC,491,195,4,0.82927426,1.0,False,,,,,M3,OPC,4968.0,195.0,83.0,2.25940296,1.260677e-07,Enrich
M1,greenyellow,ExN,379,106,2,0.9938281,1.0,False,,,,,M4,ExN,1877.0,106.0,7.0,0.68065103,0.4851528,False
M1,greenyellow,InN,379,98,0,0.0,0.5996668,False,,,,,M4,InN,1877.0,98.0,3.0,0.30340862,0.07192174,False
M1,greenyellow,Micro,379,202,2,0.5142555,0.7169605,False,,,,,M4,Micro,1877.0,202.0,15.0,0.77170211,0.4851528,False
M1,greenyellow,Astro,379,326,3,0.47587071,0.5996668,False,,,,,M4,Astro,1877.0,326.0,34.0,1.12504036,0.5028244,False
M1,greenyellow,Oligo,379,137,0,0.0,0.5996668,False,,,,,M4,Oligo,1877.0,137.0,2.0,0.14194904,0.001878035,Absence
M1,greenyellow,OPC,379,195,2,0.53309925,0.7169605,False,,,,,M4,OPC,1877.0,195.0,12.0,0.62996375,0.2758641,False
M1,grey60,ExN,154,106,0,0.0,1.0,False,,,,,,,,,,,,
M1,grey60,InN,154,98,0,0.0,1.0,False,,,,,,,,,,,,
M1,grey60,Micro,154,202,0,0.0,1.0,False,,,,,,,,,,,,
M1,grey60,Astro,154,326,3,1.19874363,1.0,False,,,,,,,,,,,,
M1,grey60,Oligo,154,137,0,0.0,1.0,False,,,,,,,,,,,,
M1,grey60,OPC,154,195,0,0.0,1.0,False,,,,,,,,,,,,
M2,brown,ExN,2156,106,8,0.67313902,0.4157297,False,,,,,,,,,,,,
M2,brown,InN,2156,98,5,0.44284269,0.12944,False,,,,,,,,,,,,
M2,brown,Micro,2156,202,14,0.61265359,0.12944,False,,,,,,,,,,,,
M2,brown,Astro,2156,326,21,0.56453916,0.02652973,Absence,,,,,,,,,,,,
M2,brown,Oligo,2156,137,5,0.31131846,0.02122306,Absence,,,,,,,,,,,,
M2,brown,OPC,2156,195,19,0.89080493,0.728079,False,,,,,,,,,,,,
M2,black,ExN,590,106,1,0.31161259,0.3798371,False,,,,,,,,,,,,
M2,black,InN,590,98,0,0.0,0.1842734,False,,,,,,,,,,,,
M2,black,Micro,590,202,3,0.49251459,0.3528036,False,,,,,,,,,,,,
M2,black,Astro,590,326,1,0.09954722,0.007948605,Absence,,,,,,,,,,,,
M2,black,Oligo,590,137,0,0.0,0.07360489,False,,,,,,,,,,,,
M2,black,OPC,590,195,0,0.0,0.01450396,Absence,,,,,,,,,,,,
M2,tan,ExN,354,106,0,0.0,0.5415804,False,,,,,,,,,,,,
M2,tan,InN,354,98,1,0.56994259,1.0,False,,,,,,,,,,,,
M2,tan,Micro,354,202,2,0.55148878,0.7091498,False,,,,,,,,,,,,
M2,tan,Astro,354,326,3,0.51042335,0.5861047,False,,,,,,,,,,,,
M2,tan,Oligo,354,137,0,0.0,0.5415804,False,,,,,,,,,,,,
M2,tan,OPC,354,195,1,0.2835435,0.5415804,False,,,,,,,,,,,,
M2,pink,ExN,537,106,0,0.0,0.1824243,False,,,,,,,,,,,,
M2,pink,InN,537,98,0,0.0,0.1824243,False,,,,,,,,,,,,
M2,pink,Micro,537,202,3,0.54289301,0.4593999,False,,,,,,,,,,,,
M2,pink,Astro,537,326,6,0.67476095,0.4865247,False,,,,,,,,,,,,
M2,pink,Oligo,537,137,0,0.0,0.1824243,False,,,,,,,,,,,,
M2,pink,OPC,537,195,1,0.18496697,0.1824243,False,,,,,,,,,,,,
M2,salmon,ExN,201,106,12,13.27485701,4.500471e-09,Enrich,,,,,,,,,,,,
M2,salmon,InN,201,98,3,3.136783,0.1667603,False,,,,,,,,,,,,
M2,salmon,Micro,201,202,0,0.0,0.4130288,False,,,,,,,,,,,,
M2,salmon,Astro,201,326,0,0.0,0.1667603,False,,,,,,,,,,,,
M2,salmon,Oligo,201,137,1,0.72166437,1.0,False,,,,,,,,,,,,
M2,salmon,OPC,201,195,1,0.50441949,1.0,False,,,,,,,,,,,,
M3,red,ExN,865,106,0,0.0,0.04565378,Absence,,,,,,,,,,,,
M3,red,InN,865,98,0,0.0,0.04565378,Absence,,,,,,,,,,,,
M3,red,Micro,865,202,3,0.33098693,0.06309884,False,,,,,,,,,,,,
M3,red,Astro,865,326,16,1.14375233,0.5818179,False,,,,,,,,,,,,
M3,red,Oligo,865,137,1,0.16160037,0.04863926,Absence,,,,,,,,,,,,
M3,red,OPC,865,195,1,0.11291557,0.02268539,Absence,,,,,,,,,,,,
M3,blue,ExN,2738,106,32,2.74227637,3.354225e-05,Enrich,,,,,,,,,,,,
M3,blue,InN,2738,98,27,2.4074551,0.0005981197,Enrich,,,,,,,,,,,,
M3,blue,Micro,2738,202,8,0.25742132,3.354225e-05,Absence,,,,,,,,,,,,
M3,blue,Astro,2738,326,50,1.14294659,0.446956,False,,,,,,,,,,,,
M3,blue,Oligo,2738,137,7,0.3372702,0.002516189,Absence,,,,,,,,,,,,
M3,blue,OPC,2738,195,23,0.84042394,0.5295525,False,,,,,,,,,,,,
M3,yellow,ExN,1108,106,1,0.16134409,0.03754382,Absence,,,,,,,,,,,,
M3,yellow,InN,1108,98,6,1.11057805,0.8229262,False,,,,,,,,,,,,
M3,yellow,Micro,1108,202,41,4.46174279,5.313345e-13,Enrich,,,,,,,,,,,,
M3,yellow,Astro,1108,326,67,4.62115159,1.006605e-20,Enrich,,,,,,,,,,,,
M3,yellow,Oligo,1108,137,115,99.17059834,3.498479e-122,Enrich,,,,,,,,,,,,
M3,yellow,OPC,1108,195,55,6.9810464,6.054621e-24,Enrich,,,,,,,,,,,,
M3,lightyellow,ExN,141,106,1,1.34147153,0.7470345,False,,,,,,,,,,,,
M3,lightyellow,InN,141,98,0,0.0,1.0,False,,,,,,,,,,,,
M3,lightyellow,Micro,141,202,0,0.0,0.7470345,False,,,,,,,,,,,,
M3,lightyellow,Astro,141,326,15,7.46854551,6.519439e-08,Enrich,,,,,,,,,,,,
M3,lightyellow,Oligo,141,137,1,1.03409839,0.7470345,False,,,,,,,,,,,,
M3,lightyellow,OPC,141,195,4,3.00098802,0.1490131,False,,,,,,,,,,,,
M3,royalblue,ExN,116,106,0,0.0,1.0,False,,,,,,,,,,,,
M3,royalblue,InN,116,98,0,0.0,1.0,False,,,,,,,,,,,,
M3,royalblue,Micro,116,202,0,0.0,1.0,False,,,,,,,,,,,,
M3,royalblue,Astro,116,326,0,0.0,1.0,False,,,,,,,,,,,,
M3,royalblue,Oligo,116,137,0,0.0,1.0,False,,,,,,,,,,,,
M3,royalblue,OPC,116,195,0,0.0,1.0,False,,,,,,,,,,,,
M4,cyan,ExN,191,106,3,3.04734631,0.2445557,False,,,,,,,,,,,,
M4,cyan,InN,191,98,2,2.16914226,0.4821639,False,,,,,,,,,,,,
M4,cyan,Micro,191,202,2,1.03572717,0.8640086,False,,,,,,,,,,,,
M4,cyan,Astro,191,326,3,0.96100575,1.0,False,,,,,,,,,,,,
M4,cyan,Oligo,191,137,0,0.0,0.8640086,False,,,,,,,,,,,,
M4,cyan,OPC,191,195,6,3.36056282,0.06787639,False,,,,,,,,,,,,
M4,green,ExN,945,106,3,0.58559276,0.6054797,False,,,,,,,,,,,,
M4,green,InN,945,98,1,0.20690475,0.1854909,False,,,,,,,,,,,,
M4,green,Micro,945,202,7,0.72128531,0.6054797,False,,,,,,,,,,,,
M4,green,Astro,945,326,17,1.1105797,0.6918413,False,,,,,,,,,,,,
M4,green,Oligo,945,137,1,0.14726678,0.06943646,False,,,,,,,,,,,,
M4,green,OPC,945,195,2,0.20714149,0.0579247,False,,,,,,,,,,,,
M4,purple,ExN,399,106,1,0.46572213,0.8401436,False,,,,,,,,,,,,
M4,purple,InN,399,98,0,0.0,0.5415164,False,,,,,,,,,,,,
M4,purple,Micro,399,202,2,0.48784646,0.6699492,False,,,,,,,,,,,,
M4,purple,Astro,399,326,7,1.0774492,0.8401436,False,,,,,,,,,,,,
M4,purple,Oligo,399,137,0,0.0,0.3588872,False,,,,,,,,,,,,
M4,purple,OPC,399,195,0,0.0,0.2159039,False,,,,,,,,,,,,
M4,lightcyan,ExN,166,106,0,0.0,1.0,False,,,,,,,,,,,,
M4,lightcyan,InN,166,98,0,0.0,1.0,False,,,,,,,,,,,,
M4,lightcyan,Micro,166,202,0,0.0,0.9494506,False,,,,,,,,,,,,
M4,lightcyan,Astro,166,326,1,0.36317329,0.9494506,False,,,,,,,,,,,,
M4,lightcyan,Oligo,166,137,0,0.0,0.9494506,False,,,,,,,,,,,,
M4,lightcyan,OPC,166,195,3,1.87954526,0.9494506,False,,,,,,,,,,,,
M4,midnightblue,ExN,176,106,0,0.0,1.0,False,,,,,,,,,,,,
M4,midnightblue,InN,176,98,0,0.0,1.0,False,,,,,,,,,,,,
M4,midnightblue,Micro,176,202,4,2.30098483,0.3112989,False,,,,,,,,,,,,
M4,midnightblue,Astro,176,326,6,2.14732286,0.3112989,False,,,,,,,,,,,,
M4,midnightblue,Oligo,176,137,1,0.82580548,1.0,False,,,,,,,,,,,,
M4,midnightblue,OPC,176,195,1,0.5772138,1.0,False,,,,,,,,,,,,
