module4,module20,celltype,modulesize,markersize,intersect,or,fdr,significant,Unnamed: 9,Unnamed: 10,marker genes define,Unnamed: 12,module4.1,celltype.1,modulesize.1,markersize.1,intersect.1,or.1,fdr.1,significant.1
M1,turquoise,ExN,4736,154,56,1.84749772,0.0005576479,Enrich,,,avg_log2FC >=1 & p_val_adj <0.05,,M1,ExN,5901.0,154.0,66.0,1.7963967,0.0006973011,Enrich
M1,turquoise,InN,4736,110,43,2.07359118,0.0005121842,Enrich,,,,,M1,InN,5901.0,110.0,50.0,1.9946725,0.0006973011,Enrich
M1,turquoise,Micro,4736,290,118,2.23692265,4.602862e-10,Enrich,,,,,M1,Micro,5901.0,290.0,133.0,2.0426208,1.317679e-08,Enrich
M1,turquoise,Astro,4736,258,73,1.2731286,0.08994184,False,,,,,M1,Astro,5901.0,258.0,91.0,1.3034844,0.04635526,Enrich
M1,turquoise,Oligo,4736,292,18,0.20825421,7.664393e-15,Absence,,,,,M1,Oligo,5901.0,292.0,24.0,0.2102326,2.521572e-18,Absence
M1,turquoise,OPC,4736,170,72,2.3835445,2.052746e-07,Enrich,,,,,M1,OPC,5901.0,170.0,81.0,2.1854657,1.641732e-06,Enrich
M1,turquoise,NNC,4736,242,43,0.69209834,0.03204993,Absence,,,,,M1,NNC,5901.0,242.0,93.0,1.4954608,0.003348018,Enrich
M1,lightgreen,ExN,141,154,7,6.99236349,0.0007904325,Enrich,,,,,M2,ExN,3838.0,154.0,36.0,1.2846762,0.2138173,False
M1,lightgreen,InN,141,110,4,5.43100433,0.02703364,Enrich,,,,,M2,InN,3838.0,110.0,17.0,0.7671219,0.3950095,False
M1,lightgreen,Micro,141,290,2,0.97607031,1.0,False,,,,,M2,Micro,3838.0,290.0,45.0,0.7691353,0.1608007,False
M1,lightgreen,Astro,141,258,3,1.66830697,0.5057901,False,,,,,M2,Astro,3838.0,258.0,35.0,0.6564204,0.04202256,Absence
M1,lightgreen,Oligo,141,292,0,0.0,0.3873453,False,,,,,M2,Oligo,3838.0,292.0,40.0,0.6635244,0.04202256,Absence
M1,lightgreen,OPC,141,170,3,2.55874955,0.2087096,False,,,,,M2,OPC,3838.0,170.0,21.0,0.5900312,0.04202256,Absence
M1,lightgreen,NNC,141,242,4,2.40256619,0.2087096,False,,,,,M2,NNC,3838.0,242.0,30.0,0.5914761,0.03657733,Absence
M1,magenta,ExN,491,154,0,0.0,0.0619143,False,,,,,M3,ExN,4968.0,154.0,34.0,0.8548345,0.6371941,False
M1,magenta,InN,491,110,3,1.11275533,0.8482728,False,,,,,M3,InN,4968.0,110.0,27.0,0.9824861,1.0,False
