module4,module20,celltype,modulesize,markersize,intersect,or,fdr,significant
M1,turquoise,Ex_0,4736,5,0,0.0,0.7729523,False
M1,turquoise,Ex_1,4736,20,4,0.80379483,1.0,False
M1,turquoise,Ex_2,4736,59,29,3.1213672,5.042697e-05,Enrich
M1,turquoise,Ex_3,4736,20,8,2.14574801,0.1873891,False
M1,turquoise,Ex_4,4736,95,22,0.96898824,1.0,False
M1,turquoise,Ex_5,4736,82,30,1.86058836,0.01941945,Enrich
M1,turquoise,oligo_0,4736,85,3,0.11709791,1.722301e-06,Absence
M1,turquoise,Inh_0,4736,159,65,2.240634,5.492225e-06,Enrich
M1,turquoise,oligo_1,4736,398,38,0.33410099,6.227684e-12,Absence
M1,turquoise,Inh_1,4736,222,68,1.42605043,0.03441786,Enrich
M1,turquoise,Ex_6,4736,1,0,0.0,1.0,False
M1,turquoise,Ex_7,4736,46,8,0.67648672,0.6078186,False
M1,turquoise,Ex_8,4736,30,3,0.35690479,0.1586188,False
M1,turquoise,Ex_9,4736,123,56,2.70785937,3.79378e-07,Enrich
M1,turquoise,Inh_2,4736,172,76,2.57090203,2.801665e-08,Enrich
M1,turquoise,Micro,4736,234,92,2.10489729,3.79378e-07,Enrich
M1,turquoise,Ex_10,4736,175,45,1.11425579,0.7729523,False
M1,turquoise,Ex_11,4736,6,2,1.60810991,0.7729523,False
M1,turquoise,AST_0,4736,518,128,1.05698246,0.7729523,False
M1,turquoise,OPC,4736,277,113,2.24539296,2.452964e-09,Enrich
M1,turquoise,AST_1,4736,230,56,1.03538716,0.9439762,False
M1,turquoise,Ex_12,4736,199,84,2.37317189,3.916309e-08,Enrich
M1,lightgreen,Ex_0,141,5,0,0.0,1.0,False
M1,lightgreen,Ex_1,141,20,1,7.44407228,0.2423904,False
M1,lightgreen,Ex_2,141,59,6,16.56910967,8.123102e-05,Enrich
M1,lightgreen,Ex_3,141,20,1,7.44407228,0.2423904,False
M1,lightgreen,Ex_4,141,95,4,6.32990846,0.01270019,Enrich
M1,lightgreen,Ex_5,141,82,5,9.42662444,0.001269435,Enrich
M1,lightgreen,oligo_0,141,85,0,0.0,1.0,False
M1,lightgreen,Inh_0,141,159,5,4.6952277,0.01334038,Enrich
M1,lightgreen,oligo_1,141,398,2,0.70595413,1.0,False
M1,lightgreen,Inh_1,141,222,7,4.76378015,0.003224091,Enrich
M1,lightgreen,Ex_6,141,1,0,0.0,1.0,False
M1,lightgreen,Ex_7,141,46,1,3.13929725,0.4375874,False
M1,lightgreen,Ex_8,141,30,1,4.87459876,0.32434,False
M1,lightgreen,Ex_9,141,123,6,7.4845195,0.001269435,Enrich
M1,lightgreen,Inh_2,141,172,8,7.20994018,0.0003393121,Enrich
M1,lightgreen,Micro,141,234,1,0.60062493,1.0,False
M1,lightgreen,Ex_10,141,175,7,6.11071641,0.001269435,Enrich
M1,lightgreen,Ex_11,141,6,1,28.29355074,0.09159938,False
M1,lightgreen,AST_0,141,518,3,0.81511878,1.0,False
M1,lightgreen,OPC,141,277,2,1.02289599,0.9945148,False
M1,lightgreen,AST_1,141,230,2,1.2366989,0.9945148,False
M1,lightgreen,Ex_12,141,199,7,5.3412427,0.001977507,Enrich
M1,magenta,Ex_0,491,5,0,0.0,1.0,False
M1,magenta,Ex_1,491,20,0,0.0,1.0,False
M1,magenta,Ex_2,491,59,2,1.39327016,1.0,False
M1,magenta,Ex_3,491,20,1,2.08967599,1.0,False
M1,magenta,Ex_4,491,95,1,0.42078966,1.0,False
M1,magenta,Ex_5,491,82,0,0.0,0.9205008,False
M1,magenta,oligo_0,491,85,0,0.0,0.9205008,False
M1,magenta,Inh_0,491,159,6,1.5622532,0.9205008,False
M1,magenta,oligo_1,491,398,3,0.29696037,0.1528991,False
M1,magenta,Inh_1,491,222,4,0.72555166,1.0,False
M1,magenta,Ex_6,491,1,0,0.0,1.0,False
M1,magenta,Ex_7,491,46,1,0.8811842,1.0,False
M1,magenta,Ex_8,491,30,0,0.0,1.0,False
M1,magenta,Ex_9,491,123,3,0.99154755,1.0,False
M1,magenta,Inh_2,491,172,3,0.70228398,1.0,False
M1,magenta,Micro,491,234,20,3.821513,3.28446e-05,Enrich
M1,magenta,Ex_10,491,175,2,0.45634089,1.0,False
M1,magenta,Ex_11,491,6,0,0.0,1.0,False
M1,magenta,AST_0,491,518,21,1.70608003,0.16034,False
M1,magenta,OPC,491,277,6,0.87666641,1.0,False
M1,magenta,AST_1,491,230,13,2.41339186,0.05185564,False
M1,magenta,Ex_12,491,199,3,0.60469615,1.0,False
M1,greenyellow,Ex_0,379,5,0,0.0,1.0,False
M1,greenyellow,Ex_1,379,20,0,0.0,1.0,False
M1,greenyellow,Ex_2,379,59,1,0.89076378,1.0,False
M1,greenyellow,Ex_3,379,20,0,0.0,1.0,False
M1,greenyellow,Ex_4,379,95,1,0.54861591,1.0,False
M1,greenyellow,Ex_5,379,82,1,0.63708734,1.0,False
M1,greenyellow,oligo_0,379,85,0,0.0,1.0,False
M1,greenyellow,Inh_0,379,159,0,0.0,0.43611,False
M1,greenyellow,oligo_1,379,398,1,0.12790607,0.1782007,False
M1,greenyellow,Inh_1,379,222,0,0.0,0.1808896,False
M1,greenyellow,Ex_6,379,1,0,0.0,1.0,False
M1,greenyellow,Ex_7,379,46,1,1.14884368,1.0,False
M1,greenyellow,Ex_8,379,30,0,0.0,1.0,False
M1,greenyellow,Ex_9,379,123,0,0.0,0.6575243,False
M1,greenyellow,Inh_2,379,172,1,0.30038011,1.0,False
M1,greenyellow,Micro,379,234,3,0.66856497,1.0,False
M1,greenyellow,Ex_10,379,175,4,1.21111973,1.0,False
M1,greenyellow,Ex_11,379,6,1,10.35836234,0.4780008,False
M1,greenyellow,AST_0,379,518,6,0.59929815,0.7978929,False
M1,greenyellow,OPC,379,277,3,0.56239437,1.0,False
M1,greenyellow,AST_1,379,230,0,0.0,0.1808896,False
M1,greenyellow,Ex_12,379,199,2,0.52216742,1.0,False
M1,grey60,Ex_0,154,5,0,0.0,1.0,False
M1,grey60,Ex_1,154,20,0,0.0,1.0,False
M1,grey60,Ex_2,154,59,0,0.0,1.0,False
M1,grey60,Ex_3,154,20,0,0.0,1.0,False
M1,grey60,Ex_4,154,95,0,0.0,1.0,False
M1,grey60,Ex_5,154,82,0,0.0,1.0,False
M1,grey60,oligo_0,154,85,0,0.0,1.0,False
M1,grey60,Inh_0,154,159,0,0.0,1.0,False
M1,grey60,oligo_1,154,398,4,1.31422437,1.0,False
M1,grey60,Inh_1,154,222,0,0.0,1.0,False
M1,grey60,Ex_6,154,1,0,0.0,1.0,False
M1,grey60,Ex_7,154,46,0,0.0,1.0,False
M1,grey60,Ex_8,154,30,0,0.0,1.0,False
M1,grey60,Ex_9,154,123,0,0.0,1.0,False
M1,grey60,Inh_2,154,172,0,0.0,1.0,False
M1,grey60,Micro,154,234,1,0.54922813,1.0,False
M1,grey60,Ex_10,154,175,0,0.0,1.0,False
M1,grey60,Ex_11,154,6,0,0.0,1.0,False
M1,grey60,AST_0,154,518,2,0.49205476,1.0,False
M1,grey60,OPC,154,277,0,0.0,1.0,False
M1,grey60,AST_1,154,230,0,0.0,1.0,False
M1,grey60,Ex_12,154,199,0,0.0,1.0,False
M2,brown,Ex_0,2156,5,0,0.0,1.0,False
M2,brown,Ex_1,2156,20,1,0.43452258,0.8758595,False
M2,brown,Ex_2,2156,59,5,0.76435407,0.9638342,False
M2,brown,Ex_3,2156,20,4,2.06706183,0.4255445,False
M2,brown,Ex_4,2156,95,7,0.65599364,0.5564893,False
M2,brown,Ex_5,2156,82,5,0.53534286,0.4255445,False
M2,brown,oligo_0,2156,85,3,0.3012586,0.1211048,False
M2,brown,Inh_0,2156,159,8,0.43556973,0.1211048,False
M2,brown,oligo_1,2156,398,50,1.19130192,0.4255445,False
M2,brown,Inh_1,2156,222,14,0.55311806,0.1211048,False
M2,brown,Ex_6,2156,1,0,0.0,1.0,False
M2,brown,Ex_7,2156,46,1,0.18319976,0.1788593,False
M2,brown,Ex_8,2156,30,0,0.0,0.1913963,False
M2,brown,Ex_9,2156,123,10,0.72979106,0.6009688,False
M2,brown,Inh_2,2156,172,8,0.40074846,0.1211048,False
M2,brown,Micro,2156,234,15,0.56277054,0.1211048,False
M2,brown,Ex_10,2156,175,14,0.71648861,0.4255445,False
M2,brown,Ex_11,2156,6,0,0.0,1.0,False
M2,brown,AST_0,2156,518,47,0.8204218,0.4255445,False
M2,brown,OPC,2156,277,25,0.81742453,0.5564893,False
M2,brown,AST_1,2156,230,14,0.53239079,0.1211048,False
M2,brown,Ex_12,2156,199,16,0.72017814,0.4255445,False
M2,black,Ex_0,590,5,0,0.0,1.0,False
M2,black,Ex_1,590,20,1,1.72962674,0.7091851,False
M2,black,Ex_2,590,59,0,0.0,0.7091851,False
M2,black,Ex_3,590,20,0,0.0,1.0,False
M2,black,Ex_4,590,95,2,0.70526095,1.0,False
M2,black,Ex_5,590,82,0,0.0,0.4513095,False
M2,black,oligo_0,590,85,0,0.0,0.4513095,False
M2,black,Inh_0,590,159,3,0.62967785,0.8219015,False
M2,black,oligo_1,590,398,0,0.0,0.0003107401,Absence
M2,black,Inh_1,590,222,1,0.14713317,0.08879247,False
M2,black,Ex_6,590,1,0,0.0,1.0,False
M2,black,Ex_7,590,46,2,1.49436842,0.7091851,False
