module4,module20,celltype,modulesize,markersize,intersect,or,fdr,significant
M3,royalblue,EX,116,104,0,0.0,1.0,False
M3,royalblue,Astro,116,413,1,0.4102698,1.0,False
M3,royalblue,Oligo,116,179,0,0.0,1.0,False
M3,royalblue,OPC,116,253,0,0.0,1.0,False
M3,royalblue,Microglia,116,246,0,0.0,1.0,False
M1,lightgreen,EX,141,104,4,5.75774766,0.01594462,Enrich
M1,lightgreen,Astro,141,413,1,0.33657398,0.5172199,False
M1,lightgreen,Oligo,141,179,0,0.0,0.7700867,False
M1,lightgreen,OPC,141,253,2,1.122065,0.7700867,False
M1,lightgreen,Microglia,141,246,1,0.57085751,1.0,False
M3,lightyellow,EX,141,104,2,2.7819093,0.6133482,False
M1,magenta,Astro,491,413,21,2.17500975,0.01998653,Enrich
M3,lightyellow,Oligo,141,179,1,0.78841119,1.0,False
M3,lightyellow,OPC,141,253,4,2.29527075,0.5755796,False
M3,lightyellow,Microglia,141,246,0,0.0,1.0,False
M1,grey60,EX,154,104,0,0.0,1.0,False
M1,grey60,Astro,154,413,4,1.26505035,1.0,False
M1,grey60,Oligo,154,179,0,0.0,1.0,False
M1,grey60,OPC,154,253,0,0.0,1.0,False
M1,grey60,Microglia,154,246,0,0.0,1.0,False
M4,lightcyan,EX,166,104,0,0.0,1.0,False
M4,lightcyan,Astro,166,413,1,0.28520177,1.0,False
M4,lightcyan,Oligo,166,179,0,0.0,1.0,False
M4,lightcyan,OPC,166,253,3,1.4392019,1.0,False
M4,lightcyan,Microglia,166,246,0,0.0,1.0,False
M4,midnightblue,EX,176,104,0,0.0,1.0,False
M4,midnightblue,Astro,176,413,7,1.97746257,1.0,False
M4,midnightblue,Oligo,176,179,1,0.62961024,1.0,False
M4,midnightblue,OPC,176,253,2,0.89477043,1.0,False
M4,midnightblue,Microglia,176,246,2,0.92076865,1.0,False
M4,cyan,EX,191,104,3,3.10800859,0.171585,False
M4,cyan,Astro,191,413,4,1.01282772,0.880735,False
M4,cyan,Oligo,191,179,0,0.0,0.516868,False
M4,cyan,OPC,191,253,7,3.01978238,0.05351817,False
M4,cyan,Microglia,191,246,2,0.84704428,1.0,False
M1,turquoise,OPC,4736,253,80,1.49540733,0.006034736,Enrich
M2,salmon,Astro,201,413,0,0.0,0.05033906,False
M2,salmon,Oligo,201,179,1,0.55020881,1.0,False
M2,salmon,OPC,201,253,2,0.78136533,1.0,False
M2,salmon,Microglia,201,246,0,0.0,0.226294,False
M2,tan,EX,354,104,0,0.0,0.600745,False
M2,tan,Astro,354,413,4,0.53659396,0.600745,False
M2,tan,Oligo,354,179,0,0.0,0.600745,False
M2,tan,OPC,354,253,1,0.21761929,0.600745,False
M2,tan,Microglia,354,246,2,0.45101857,0.612366,False
M1,greenyellow,EX,379,104,2,1.01342019,0.9979247,False
M1,greenyellow,Astro,379,413,4,0.50016947,0.7572024,False
M1,greenyellow,Oligo,379,179,0,0.0,0.5845732,False
M1,greenyellow,OPC,379,253,3,0.61714891,0.9979247,False
M1,greenyellow,Microglia,379,246,4,0.85267813,1.0,False
M4,purple,EX,399,104,1,0.47481385,0.7264249,False
M4,purple,Astro,399,413,9,1.09459941,0.7264249,False
M4,purple,Oligo,399,179,0,0.0,0.298684,False
M4,purple,OPC,399,253,0,0.0,0.1206465,False
M4,purple,Microglia,399,246,2,0.39896753,0.3455832,False
M1,magenta,EX,491,104,0,0.0,0.3449698,False
M1,turquoise,Microglia,4736,246,109,2.59511739,6.962518e-12,Enrich
M1,magenta,Oligo,491,179,2,0.44593591,0.5237731,False
M1,magenta,OPC,491,253,6,0.96304694,1.0,False
M1,magenta,Microglia,491,246,11,1.87620233,0.2087248,False
M2,pink,EX,537,104,0,0.0,0.4001496,False
M2,pink,Astro,537,413,8,0.71037128,0.4449399,False
M2,pink,Oligo,537,179,1,0.20176708,0.4001496,False
M2,pink,OPC,537,253,3,0.43100133,0.4001496,False
M2,pink,Microglia,537,246,3,0.44357855,0.4181277,False
M2,black,EX,590,104,1,0.31769619,0.5259857,False
M2,black,Astro,590,413,4,0.31655786,0.06390416,False
M2,black,Oligo,590,179,0,0.0,0.06390416,False
M2,black,OPC,590,253,3,0.39100372,0.2513387,False
M2,black,Microglia,590,246,3,0.40241418,0.2513387,False
M3,red,EX,865,104,0,0.0,0.03857426,Absence
M3,red,Astro,865,413,20,1.12808684,0.5425331,False
M3,red,Oligo,865,179,0,0.0,0.003515201,Absence
M3,red,OPC,865,253,1,0.08670439,0.00298535,Absence
M3,red,Microglia,865,246,3,0.27042512,0.02945366,Absence
M4,green,EX,945,104,3,0.59725178,0.5400314,False
M4,green,Astro,945,413,20,1.02602275,0.9064732,False
M4,green,Oligo,945,179,1,0.11224779,0.02219932,Absence
M4,green,OPC,945,253,3,0.23939744,0.02219932,Absence
M4,green,Microglia,945,246,7,0.58711964,0.3508133,False
M3,yellow,EX,1108,104,1,0.16449449,0.06357756,False
M1,turquoise,SST+IN,4736,113,49,2.47724612,1.405693e-05,Enrich
M1,turquoise,RELN+IN,4736,108,39,1.8243103,0.006034736,Enrich
M1,turquoise,VIP+IN,4736,98,37,1.95807702,0.004991794,Enrich
M1,turquoise,LAMP5+IN,4736,146,50,1.6820422,0.006034736,Enrich
M2,brown,EX,2156,104,8,0.68723979,0.5208053,False
M2,brown,Astro,2156,413,33,0.71299156,0.3585156,False
M2,brown,Oligo,2156,179,14,0.69896142,0.4221131,False
M2,brown,OPC,2156,253,27,0.98672813,1.0,False
M2,brown,Microglia,2156,246,16,0.57148835,0.3221889,False
