module20,celltype,modulesize,markersize,intersect,or,fdr,significant
royalblue,VLMC,116,184,0,0.0,1.0,False
royalblue,Astro,116,258,1,0.66294452,1.0,False
royalblue,Micro,116,290,0,0.0,1.0,False
royalblue,OPC,116,170,0,0.0,1.0,False
royalblue,PVALB,116,90,0,0.0,1.0,False
royalblue,VIP,116,85,0,0.0,1.0,False
royalblue,Oligo,116,292,0,0.0,1.0,False
royalblue,L6B,116,91,0,0.0,1.0,False
royalblue,Endo,116,284,0,0.0,1.0,False
royalblue,SMC,116,216,0,0.0,1.0,False
royalblue,PC,116,272,0,0.0,1.0,False
royalblue,SST,116,97,0,0.0,1.0,False
royalblue,Immune,116,177,0,0.0,1.0,False
royalblue,RB,116,262,0,0.0,1.0,False
lightgreen,VLMC,141,184,4,3.1861578,0.08628388,False
lightgreen,Astro,141,258,3,1.66830697,0.4690503,False
lightgreen,Micro,141,290,2,0.97607031,1.0,False
lightgreen,OPC,141,170,3,2.55874955,0.1840463,False
lightgreen,PVALB,141,90,5,8.53357196,0.001610319,Enrich
lightgreen,VIP,141,85,2,3.42196295,0.1840463,False
lightgreen,Oligo,141,292,0,0.0,0.3343159,False
lightgreen,L6B,141,91,3,4.87451748,0.07193141,False
lightgreen,Endo,141,284,4,2.03792192,0.1912321,False
lightgreen,SMC,141,216,3,2.00160263,0.2477065,False
lightgreen,PC,141,272,4,2.1305179,0.1840463,False
lightgreen,SST,141,97,3,4.56189938,0.07193141,False
lightgreen,Immune,141,177,2,1.61555545,0.4130291,False
lightgreen,RB,141,262,3,1.64220456,0.4690503,False
lightyellow,VLMC,141,184,1,0.76667556,1.0,False
lightyellow,Astro,141,258,11,6.70503974,1.316072e-05,Enrich
lightyellow,Micro,141,290,2,0.97607031,1.0,False
lightyellow,OPC,141,170,2,1.68347397,1.0,False
lightyellow,PVALB,141,90,0,0.0,1.0,False
lightyellow,VIP,141,85,0,0.0,1.0,False
lightyellow,Oligo,141,292,0,0.0,1.0,False
lightyellow,L6B,141,91,0,0.0,1.0,False
lightyellow,Endo,141,284,29,19.85634149,2.484801e-24,Enrich
lightyellow,SMC,141,216,16,12.5546429,2.138793e-11,Enrich
lightyellow,PC,141,272,25,17.07233894,6.413802e-20,Enrich
lightyellow,SST,141,97,0,0.0,1.0,False
lightyellow,Immune,141,177,0,0.0,1.0,False
lightyellow,RB,141,262,30,22.822106,2.107481e-26,Enrich
grey60,VLMC,154,184,0,0.0,1.0,False
grey60,Astro,154,258,2,1.0051399,1.0,False
grey60,Micro,154,290,2,0.89200037,1.0,False
grey60,OPC,154,170,0,0.0,1.0,False
grey60,PVALB,154,90,0,0.0,1.0,False
grey60,VIP,154,85,0,0.0,1.0,False
grey60,Oligo,154,292,4,1.80762484,1.0,False
