Unnamed: 0,age2,age3,age4,age5,age6,age7,age8,aggregate,Gene name
ENSMFAG00000039202_PNCK,7.727085,8.030376,9.656526,8.31416,8.868937,9.182417,11.227057,8.820466,PNCK
ENSMFAG00000002708_DOK4,7.691517,7.73497,9.426781,8.379931,8.885157,9.638383,10.367809,8.392459,DOK4
ENSMFAG00000040311_TMEM130,6.429127,7.222663,9.448429,7.98619,8.822409,9.578662,12.449113,7.891118,TMEM130
ENSMFAG00000030653_L1CAM,6.433319,7.32106,9.195159,7.74459,8.527919,9.285285,12.277067,7.805181,L1CAM
ENSMFAG00000035907_CRIP2,6.968338,7.330136,9.517329,7.645877,8.437298,8.744475,11.647402,7.945371,CRIP2
ENSMFAG00000044973_HSD11B1L,7.651819,7.837717,8.938597,8.358661,8.691638,9.050453,9.756274,8.356775,HSD11B1L
ENSMFAG00000006791_CHCHD6,7.627402,7.601658,8.982619,8.239929,8.56867,9.330996,9.347815,7.758554,CHCHD6
ENSMFAG00000038013_IL27RA,7.625363,7.439423,8.735488,8.097604,8.376376,9.112688,9.066637,7.952822,IL27RA
ENSMFAG00000030805_CORO1A,6.488213,6.929604,9.080851,7.596913,8.416471,8.653237,10.761848,7.617728,CORO1A
ENSMFAG00000002494_CEP170B,8.063478,7.878486,8.611884,7.849064,7.962978,8.702741,8.691429,7.948463,CEP170B
ENSMFAG00000003076_SLC1A6,6.690031,7.263728,8.718481,7.521054,8.053781,8.945788,10.142341,7.494582,SLC1A6
ENSMFAG00000045552_AMZ1,6.558355,7.182328,8.574343,7.667377,8.310212,8.703723,10.199166,7.591583,AMZ1
ENSMFAG00000035398_STUM,6.664423,7.159844,8.457238,7.359308,8.006711,8.270653,10.262026,7.766746,STUM
ENSMFAG00000031217_DOC2A,6.96953,7.272815,8.517042,7.191542,7.655998,8.147913,10.265508,7.236459,DOC2A
ENSMFAG00000044895_BEGAIN,7.221095,7.238551,7.972155,7.90102,8.227102,8.259069,8.734271,7.96865,BEGAIN
ENSMFAG00000031298_SEMA6B,7.784105,7.626005,8.224796,7.516405,7.634511,8.409047,8.342525,7.700165,SEMA6B
ENSMFAG00000000465_AGAP2,6.540317,6.878384,8.284115,7.67576,8.250008,8.382325,9.302529,7.542397,AGAP2
ENSMFAG00000031347_SYT17,6.446511,6.914721,8.162132,7.050514,7.53176,7.966471,9.551891,7.338114,SYT17
ENSMFAG00000043088_BAIAP2,6.713478,7.082687,7.979706,7.692662,8.042711,7.714483,8.279637,7.873381,BAIAP2
ENSMFAG00000000466_PRKCD,5.954105,6.495408,8.319399,7.211202,7.715627,8.235342,9.489462,7.079493,PRKCD
ENSMFAG00000042590_KCNQ2,7.727325,7.343281,7.826776,7.150133,7.237641,7.818797,7.84937,7.370667,KCNQ2
ENSMFAG00000037062_PFKL,6.984985,6.865761,7.811657,7.283967,7.588338,7.783492,8.392578,7.15928,PFKL
ENSMFAG00000042546_RBP4,5.999982,6.396217,7.992404,7.238802,7.96416,7.742943,9.272244,7.683256,RBP4
ENSMFAG00000043929_NUDT10,6.291995,6.755377,7.83196,6.792973,7.396255,7.659211,9.828068,7.34318,NUDT10
ENSMFAG00000002756_CYP46A1,6.089061,6.113793,7.725083,7.584696,8.29352,7.72488,8.874099,7.358902,CYP46A1
ENSMFAG00000033459_LOC107126380,5.769899,6.264934,8.105285,6.868097,7.481722,7.746066,9.918473,6.886377,LOC107126380
ENSMFAG00000042304_DPF1,7.002579,7.064885,7.774511,6.807828,6.956719,7.816182,8.536545,6.774184,DPF1
ENSMFAG00000000803_SP5,6.866705,6.885036,7.692776,6.761342,7.136862,7.550582,8.770262,7.200005,SP5
ENSMFAG00000044081_ANKRD63,5.997702,6.414072,7.821899,6.958184,7.680636,7.383915,9.301861,7.065387,ANKRD63
ENSMFAG00000025968_FIGNL2,6.923607,6.791862,7.626154,6.846912,7.308178,7.615504,8.423378,6.923723,FIGNL2
ENSMFAG00000042263_VSTM2B,6.645979,6.952256,7.613596,6.859786,7.162372,7.777146,7.854408,6.839019,VSTM2B
ENSMFAG00000037713_MTA3,5.656263,6.277147,7.497647,6.54701,7.263054,7.659018,9.928791,7.00974,MTA3
ENSMFAG00000034526_CACNA1H,6.760436,6.769454,7.88876,6.622902,6.951858,7.50812,7.913109,6.591817,CACNA1H
ENSMFAG00000031651_LARP1,5.553576,6.200575,7.666143,6.810129,7.353383,7.789228,8.879458,6.523192,LARP1
ENSMFAG00000044581_TMEM132A,6.138527,6.705576,7.430539,6.716706,7.08513,7.455995,8.678121,6.842156,TMEM132A
ENSMFAG00000002426_EXOC3L4,6.887098,6.684763,7.491857,6.939627,7.068798,7.356851,7.764678,6.837038,EXOC3L4
ENSMFAG00000043993_KIF17,7.032023,6.671557,7.162229,6.836153,7.030849,7.624171,7.772132,6.859276,KIF17
ENSMFAG00000044241_MED29,5.773844,6.165827,7.531301,6.825883,7.263567,7.901628,8.660431,6.819286,MED29
ENSMFAG00000036907_PTPRF,5.767109,6.009622,7.302497,6.887969,7.60805,7.544202,8.677617,7.154859,PTPRF
ENSMFAG00000042082_PID1,6.487071,6.539752,7.686069,6.877429,7.144084,6.962282,7.971408,6.90239,PID1
ENSMFAG00000043754_CMTM4,7.197405,6.599923,7.371932,6.683221,6.8854,7.279731,7.579679,6.976511,CMTM4
ENSMFAG00000001634_ATP9A,5.823693,6.156723,7.369576,6.455898,6.88191,8.021371,8.678705,6.151479,ATP9A
ENSMFAG00000032206_DLG4,6.636409,6.452889,7.065454,7.00485,7.185287,7.434319,7.555496,6.793279,DLG4
ENSMFAG00000042553_PRKCG,5.759104,6.058044,7.68685,6.646586,7.173315,7.508008,8.442183,6.598273,PRKCG
ENSMFAG00000034582_AGAP3,6.066799,5.965329,7.139463,6.739257,7.131095,7.386283,8.352169,6.404911,AGAP3
ENSMFAG00000017458_SSTR4,6.315906,6.122797,7.444104,6.582123,6.99488,7.171019,8.022935,6.794498,SSTR4
ENSMFAG00000040164_CNR1,6.944392,6.650724,7.358886,6.472947,6.69596,7.325324,7.187676,6.743693,CNR1
ENSMFAG00000037531_TNPO2,6.004021,6.391773,7.018596,6.374779,6.733586,7.444207,8.563259,6.253525,TNPO2
ENSMFAG00000040762_FADS3,5.99038,6.390279,7.30487,6.258846,6.746055,7.018883,8.709078,6.559046,FADS3
ENSMFAG00000030169_KCNJ12,6.149247,6.408757,7.209347,6.519682,6.832393,7.311809,7.650675,6.702645,KCNJ12
ENSMFAG00000037763_NBL1,6.203416,6.344116,7.212767,6.454025,6.577263,7.331732,7.841226,6.320504,NBL1
ENSMFAG00000031045_DNAJA4,6.635078,6.409994,7.28315,6.388226,6.639928,6.676411,7.879558,6.910969,DNAJA4
ENSMFAG00000040208_PRRG3,5.583525,6.229879,7.024649,6.320611,6.826636,7.166241,8.752128,6.4161,PRRG3
