Unnamed: 0,ExcN,IhnN,Micro,Astro,Oligo,OPC,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Gene1005Pos+Neg,1005,1005,1005,1005,1005,1005,,,,,,,,,,,,,,,,
HighExpGenes,566,364,235,521,400,278,,,,,,,,,,,,,,,,
Shared,43,33,17,35,118,32,,,,,,,,,,,,,,,,
Odds  ratio ,1.891185,2.291943,1.767158,1.642368,10.60253,3.001685,,,,,,,,,,,,,,,,
p (FDR-corrected),0.000283,5.65e-05,0.033,0.008,1.94e-66,3.24E-07,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,ExcN,IhnN,Micro,Astro,Oligo,OPC,,,,,,,,,,,,,,,,
Gene1005Pos,532,532,532,532,532,532,,,,,,,,,,,,,,,,
HighExpGenes,566,364,235,521,400,278,,,,,,,,,,,,,,,,
Shared,31,22,4,11,3,11,,,,,,,,,,,,,,,,
Odds  ratio ,2.61242,2.87642,0.7493839,0.9344083,0.32571604,1.81075764,,,,,,,,,,,,,,,,
p (FDR-corrected),7.81e-06,2.95e-05,0.823,1,0.039,0.063,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,ExcN,IhnN,Micro,Astro,Oligo,OPC,,,,,,,,,,,,,,,,
Gene1005Neg,473,473,473,473,473,473,,,,,,,,,,,,,,,,
HighExpGenes,566,364,235,521,400,278,,,,,,,,,,,,,,,,
Shared,12,11,13,24,115,21,,,,,,,,,,,,,,,,
Odds  ratio ,1.0632285,1.5413353,2.917229,2.435016,25.91026,4.152598,,,,,,,,,,,,,,,,
p (FDR-corrected),0.761,0.18,0.000972,0.000176,8.41e-102,2.18e-07,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Ex_0,Ex_1,Ex_2,Ex_3,Ex_4,Ex_5,Ex_6,Ex_7,Ex_8,Ex_9,Ex_10,Ex_11,Ex_12,Inh_0,Inh_1,Inh_2,Micro,AST_0,AST_1,oligo_0,oligo_1,OPC
Gene1005Pos+Neg,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005
HighExpGenes,5,20,59,20,95,82,10,46,30,123,175,6,200,159,222,172,235,520,232,85,398,277
Shared,0,0,5,2,8,6,0,2,2,14,12,1,10,16,18,15,17,35,11,47,118,32
Odds  ratio ,0,0,1.908021,2.286735,1.897529,1.6266986,0,0.9343358,1.4693245,2.663554,1.5196355,4.1143343,1.0828074,2.321238,1.828661,1.978691,1.613483,1.500979,1.0235208,26.61139,9.680809,2.740371
p (FDR-corrected),1,1,0.3633058,0.3897058,0.1863685,0.4127733,1,1,0.8921612,0.009390645,0.3000083,0.3897058,0.9516981,0.01543543,0.07133016,0.06170023,0.1498687,0.0723962,1,3.125845e-39,4.144315e-61,1.492382e-05
,,,,,,,,,,,,,,,,,,,,,,
,Ex_0,Ex_1,Ex_2,Ex_3,Ex_4,Ex_5,Ex_6,Ex_7,Ex_8,Ex_9,Ex_10,Ex_11,Ex_12,Inh_0,Inh_1,Inh_2,Micro,AST_0,AST_1,oligo_0,oligo_1,OPC
Gene1005Pos,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532
HighExpGenes,5,20,59,20,95,82,10,46,30,123,175,6,200,159,222,172,235,520,232,85,398,277
Shared,0,0,5,2,2,6,0,0,1,13,3,0,10,12,10,10,4,11,3,0,3,11
Odds  ratio ,0,0,3.703642,4.4261668,0.8537689,3.1602509,0,0,1.3705004,4.7868846,0.6911547,0,2.1115751,3.294307,1.8905431,2.4796752,0.6855325,0.8555264,0.517712,0,0.2977631,1.6562986
p (FDR-corrected),1,1,0.0682512767,0.2089965135,1,0.0682512767,1,0.980589666,0.889985953,0.0002347746,1,1,0.104252373,0.0063488378,0.2036994938,0.0682512767,0.980589666,1,0.7109894877,0.5535582537,0.076732318,0.2491472326
,,,,,,,,,,,,,,,,,,,,,,
,Ex_0,Ex_1,Ex_2,Ex_3,Ex_4,Ex_5,Ex_6,Ex_7,Ex_8,Ex_9,Ex_10,Ex_11,Ex_12,Inh_0,Inh_1,Inh_2,Micro,AST_0,AST_1,oligo_0,oligo_1,OPC
Gene1005Neg,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473
HighExpGenes,5,20,59,20,95,82,10,46,30,123,175,6,200,159,222,172,235,520,232,85,398,277
Shared,0,0,0,0,6,0,0,2,1,1,9,1,0,4,8,5,13,24,8,47,115,21
Odds  ratio ,0,0,0,0,3.0462374,0,0,2.0409112,1.5461038,0.3659285,2.4566231,8.9751656,0,1.1575939,1.6865245,1.3451070999999999,2.669321,2.2304071,1.6104614,61.4277263,23.7186899,3.7994495
p (FDR-corrected),1,1,0.8303226,1,0.05611624,0.676253,1,0.4872975,0.7106217,0.7270249,0.05488465,0.3032522,0.06772412,0.9542942,0.3460231,0.676253,0.009131575,0.003454251,0.3460231,9.333553e-55,2.530392e-96,6.362768e-06
