Unnamed: 0,ExcN,SST..IN,PVALB..IN,RELN..IN,VIP..IN,LAMP5..IN,NPY.LAMP5..IN,Astro,Oligo,OPC,Micro
Gene1005Pos+Neg,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005
HighExpGenes,104,113,91,108,99,147,149,421,181,254,246
Shared,8,10,9,14,12,9,8,24,89,40,36
Odds  ratio ,1.881638,2.195692,2.482109,3.383269,3.12796,1.4712693,1.2785423,1.3687032,23.76811,4.337091,3.962232
p (FDR-corrected),0.1189665,0.04657529,0.02815429,0.0005421782,0.002229366,0.3288006,0.4188692,0.1742877,1.067046e-71,4.504149e-12,3.581372e-10
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,ExcN,SST..IN,PVALB..IN,RELN..IN,VIP..IN,LAMP5..IN,NPY.LAMP5..IN,Astro,Oligo,OPC,Micro
Gene1005Pos,532,532,532,532,532,532,532,532,532,532,532
HighExpGenes,104,113,91,108,99,147,149,421,181,254,246
Shared,7,8,3,8,8,2,3,2,0,6,5
Odds  ratio ,3.158991,3.340411,1.4817014,3.508188,3.856743,0.5969122,0.8908681,0.20410162,0,1.050234,0.8991667
p (FDR-corrected),0.02027555,0.01499225,0.7264624,0.01499225,0.01499225,1,1,0.01977566,0.06931035,1,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,ExcN,SST..IN,PVALB..IN,RELN..IN,VIP..IN,LAMP5..IN,NPY.LAMP5..IN,Astro,Oligo,OPC,Micro
Gene1005Neg,473,473,473,473,473,473,473,473,473,473,473
HighExpGenes,104,113,91,108,99,147,149,421,181,254,246
Shared,1,2,6,6,4,7,5,22,89,34,31
Odds  ratio ,0.473867,0.8809745,3.484462,2.90161473,2.0688087,2.46781526,1.706081,2.780025,57.95349,8.066985,7.477685
p (FDR-corrected),0.7992445,1,0.02194039,0.03965942,0.1891922,0.04539741,0.2792344,0.000129214,5.235812e-102,1.052492e-17,1.322173e-15
