Unnamed: 0,Glutamatergic excitatory subtypes,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,GABAergic inhibitory subtypes,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Glial subtypes,Unnamed: 21,Unnamed: 22,Unnamed: 23,Non-neural subtypes,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,L2.3.IT,L3.5.IT.1,L3.5.IT.2,L3.5.IT.3,L5.6.NP,L5.ET,L6.CT,L6.IT.1,L6.IT.2,L6B,LAMP5.LHX6,LAMP5.RELN,ADARB2.KCNG1,PVALB,PVALB.ChC,SST,SST.HGF,SST.NPY,VIP,Astro,OPC,Oligo,Micro,Immune,Endo,PC,RB,SMC,VLMC
Gene1005Pos+Neg,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005
HighExpGenes,69,49,51,49,108,58,86,54,97,91,135,140,95,90,111,97,98,113,85,258,170,292,290,177,284,272,262,216,184
Shared,4,5,4,3,5,3,8,1,8,4,7,8,10,4,8,10,5,9,8,10,20,100,24,10,13,12,12,8,8
Odds  ratio ,1.3858372,2.563788,1.9181266,1.4684462,1.092458,1.2276947,2.317748,0.4238812,2.030187,1.0344236,1.2318249,1.3662459,2.662904,1.0465056,1.7531632,2.601641,1.2104715,1.9552196,2.347718,0.9061463,3.03974,12.89479,2.054775,1.3504931,1.0801291,1.0387289,1.0807211,0.8641342,1.0227086
p (FDR-corrected),0.8793351,0.1907243,0.4135805,0.8793351,0.8793351,0.8793351,0.1240854,0.8793351,0.2009712,0.8793351,0.8793351,0.8183707,0.04797222,0.8793351,0.3908389,0.04797222,0.8793351,0.1907243,0.1240854,0.8793351,0.0005649663,1.511302e-61,0.01781095,0.772478,0.8793351,0.8793351,0.8793351,0.8793351,0.8793351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L2.3.IT,L3.5.IT.1,L3.5.IT.2,L3.5.IT.3,L5.6.NP,L5.ET,L6.CT,L6.IT.1,L6.IT.2,L6B,LAMP5.LHX6,LAMP5.RELN,ADARB2.KCNG1,PVALB,PVALB.ChC,SST,SST.HGF,SST.NPY,VIP,Astro,OPC,Oligo,Micro,Immune,Endo,PC,RB,SMC,VLMC
Gene1005Pos,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532
HighExpGenes,69,49,51,49,108,58,86,54,97,91,135,140,95,90,111,97,98,113,85,258,170,292,290,177,284,272,262,216,184
Shared,4,3,2,2,4,3,5,1,8,2,4,6,8,3,6,10,4,6,7,6,8,1,6,2,3,4,3,3,2
Odds  ratio ,2.6822348,2.8396101,1.7736796,1.8493847,1.6736763,2.3740546,2.6937364,0.8182557,3.9436744,0.9748579,1.327183,1.9533072,4.0346337,1.4987961,2.4959794,5.062353,1.8525964,2.4488888,3.9317439,1.0333709,2.1598394,0.1475176,0.9156433,0.4939392,0.4601551,0.6448804,0.4997206,0.6088642,0.4747982
p (FDR-corrected),0.203602275,0.258647284,0.487711853,0.487711853,0.487711853,0.317636355,0.162754603,1,0.015231771,1,0.665796499,0.317636355,0.015231771,0.605063981,0.162754603,0.001954239,0.487711853,0.162754603,0.022308083,0.928675675,0.192330678,0.095420731,1,0.605063981,0.466242136,0.665796499,0.487711853,0.74249828,0.605063981
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L2.3.IT,L3.5.IT.1,L3.5.IT.2,L3.5.IT.3,L5.6.NP,L5.ET,L6.CT,L6.IT.1,L6.IT.2,L6B,LAMP5.LHX6,LAMP5.RELN,ADARB2.KCNG1,PVALB,PVALB.ChC,SST,SST.HGF,SST.NPY,VIP,Astro,OPC,Oligo,Micro,Immune,Endo,PC,RB,SMC,VLMC
Gene1005Neg,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473
HighExpGenes,69,49,51,49,108,58,86,54,97,91,135,140,95,90,111,97,98,113,85,258,170,292,290,177,284,272,262,216,184
Shared,0,2,2,1,1,0,3,0,0,2,3,2,2,1,2,0,1,3,1,4,12,99,18,8,10,8,9,5,6
Odds  ratio ,0,2.0862614,2.0009571,1.019248,0.4560735,0,1.7731015,0,0,1.0997824,1.1125664,0.7077838,1.0523278,0.5487387,0.8972165,0,0.503308,1.3363427,0.5815271,0.7684705,3.7860116,31.4495728,3.3256574,2.3383148,1.8023049,1.4907186,1.754602,1.1609762,1.6573315
p (FDR-corrected),0.9933058,0.6073382,0.6073382,1,0.9933058,0.9933058,0.6073382,0.9933058,0.6073382,0.9933058,0.9933058,1,0.9933058,1,1,0.6073382,1,0.9933058,1,1,0.001653364,1.546261e-93,0.0003665257,0.1930699,0.4772039,0.6073382,0.5476645,0.9933058,0.6073382
