Group,Category,Term,Description,Log(p-FDR-corrected),InTerm_InList,Genes,Symbols
synaptic signaling,GO Biological Processes,GO:0099536,synaptic signaling,-14.7285590791,67/657,"40,351,409,575,613,808,1268,1607,1621,1742,1960,2185,2556,2895,2902,2906,2911,2912,2982,3269,3350,3354,3362,3785,4137,4761,4885,5026,5100,5413,5582,5924,6511,6543,6722,6804,6853,6861,7476,7532,8448,8525,8851,8973,9066,9145,9148,9256,9568,10858,11178,23096,23349,23373,23542,50944,56853,57338,57596,58512,80331,84062,84502,84687,152330,266743,375790","ASIC2,APP,ARRB2,ADGRB1,BCR,CALM3,CNR1,DGKB,DBH,DLG4,EGR3,PTK2B,GABRA3,GRID2,GRIN1,GRIN2D,GRM1,GRM2,GUCY1A1,HRH1,HTR1A,HTR1E,HTR6,KCNQ2,MAPT,NEUROD2,NPTX2,P2RX5,PCDH8,SEPTIN5,PRKCG,RASGRF2,SLC1A6,SLC8A2,SRF,STX1A,SYN1,SYT5,WNT7A,YWHAG,DOC2A,DGKZ,CDK5R1,CHRNA6,SYT7,SYNGR1,NEURL1,TSPOAP1,GABBR2,CYP46A1,LZTS1,IQSEC2,PHF24,CRTC1,MAPK8IP2,SHANK1,CELF4,JPH3,BEGAIN,DLGAP3,DNAJC5,DTNBP1,JPH4,PPP1R9B,CNTN4,NPAS4,AGRN"
,GO Biological Processes,GO:0007268,chemical synaptic transmission,-14.7285590791,65/632,"40,351,409,575,613,808,1268,1607,1621,1742,1960,2185,2556,2895,2902,2906,2911,2912,2982,3269,3350,3354,3362,3785,4137,4761,4885,5026,5100,5413,5582,5924,6511,6543,6722,6804,6853,6861,7476,7532,8448,8525,8973,9066,9145,9148,9256,9568,10858,11178,23096,23349,23373,23542,50944,56853,57338,57596,58512,80331,84062,84502,84687,152330,266743","ASIC2,APP,ARRB2,ADGRB1,BCR,CALM3,CNR1,DGKB,DBH,DLG4,EGR3,PTK2B,GABRA3,GRID2,GRIN1,GRIN2D,GRM1,GRM2,GUCY1A1,HRH1,HTR1A,HTR1E,HTR6,KCNQ2,MAPT,NEUROD2,NPTX2,P2RX5,PCDH8,SEPTIN5,PRKCG,RASGRF2,SLC1A6,SLC8A2,SRF,STX1A,SYN1,SYT5,WNT7A,YWHAG,DOC2A,DGKZ,CHRNA6,SYT7,SYNGR1,NEURL1,TSPOAP1,GABBR2,CYP46A1,LZTS1,IQSEC2,PHF24,CRTC1,MAPK8IP2,SHANK1,CELF4,JPH3,BEGAIN,DLGAP3,DNAJC5,DTNBP1,JPH4,PPP1R9B,CNTN4,NPAS4"
,GO Biological Processes,GO:0098916,anterograde trans-synaptic signaling,-14.7285590791,65/632,"40,351,409,575,613,808,1268,1607,1621,1742,1960,2185,2556,2895,2902,2906,2911,2912,2982,3269,3350,3354,3362,3785,4137,4761,4885,5026,5100,5413,5582,5924,6511,6543,6722,6804,6853,6861,7476,7532,8448,8525,8973,9066,9145,9148,9256,9568,10858,11178,23096,23349,23373,23542,50944,56853,57338,57596,58512,80331,84062,84502,84687,152330,266743","ASIC2,APP,ARRB2,ADGRB1,BCR,CALM3,CNR1,DGKB,DBH,DLG4,EGR3,PTK2B,GABRA3,GRID2,GRIN1,GRIN2D,GRM1,GRM2,GUCY1A1,HRH1,HTR1A,HTR1E,HTR6,KCNQ2,MAPT,NEUROD2,NPTX2,P2RX5,PCDH8,SEPTIN5,PRKCG,RASGRF2,SLC1A6,SLC8A2,SRF,STX1A,SYN1,SYT5,WNT7A,YWHAG,DOC2A,DGKZ,CHRNA6,SYT7,SYNGR1,NEURL1,TSPOAP1,GABBR2,CYP46A1,LZTS1,IQSEC2,PHF24,CRTC1,MAPK8IP2,SHANK1,CELF4,JPH3,BEGAIN,DLGAP3,DNAJC5,DTNBP1,JPH4,PPP1R9B,CNTN4,NPAS4"
,GO Biological Processes,GO:0099537,trans-synaptic signaling,-14.6399421525,65/638,"40,351,409,575,613,808,1268,1607,1621,1742,1960,2185,2556,2895,2902,2906,2911,2912,2982,3269,3350,3354,3362,3785,4137,4761,4885,5026,5100,5413,5582,5924,6511,6543,6722,6804,6853,6861,7476,7532,8448,8525,8973,9066,9145,9148,9256,9568,10858,11178,23096,23349,23373,23542,50944,56853,57338,57596,58512,80331,84062,84502,84687,152330,266743","ASIC2,APP,ARRB2,ADGRB1,BCR,CALM3,CNR1,DGKB,DBH,DLG4,EGR3,PTK2B,GABRA3,GRID2,GRIN1,GRIN2D,GRM1,GRM2,GUCY1A1,HRH1,HTR1A,HTR1E,HTR6,KCNQ2,MAPT,NEUROD2,NPTX2,P2RX5,PCDH8,SEPTIN5,PRKCG,RASGRF2,SLC1A6,SLC8A2,SRF,STX1A,SYN1,SYT5,WNT7A,YWHAG,DOC2A,DGKZ,CHRNA6,SYT7,SYNGR1,NEURL1,TSPOAP1,GABBR2,CYP46A1,LZTS1,IQSEC2,PHF24,CRTC1,MAPK8IP2,SHANK1,CELF4,JPH3,BEGAIN,DLGAP3,DNAJC5,DTNBP1,JPH4,PPP1R9B,CNTN4,NPAS4"
,GO Biological Processes,GO:0050804,modulation of chemical synaptic transmission,-12.596847763,47/390,"351,409,575,613,808,1268,1607,1742,2185,2895,2902,2906,2911,2912,3269,4137,4761,4885,5413,5582,5924,6543,6722,6804,6853,7476,7532,8525,9066,9145,9148,10858,11178,23096,23349,23373,23542,50944,56853,57338,57596,58512,84062,84502,84687,152330,266743","APP,ARRB2,ADGRB1,BCR,CALM3,CNR1,DGKB,DLG4,PTK2B,GRID2,GRIN1,GRIN2D,GRM1,GRM2,HRH1,MAPT,NEUROD2,NPTX2,SEPTIN5,PRKCG,RASGRF2,SLC8A2,SRF,STX1A,SYN1,WNT7A,YWHAG,DGKZ,SYT7,SYNGR1,NEURL1,CYP46A1,LZTS1,IQSEC2,PHF24,CRTC1,MAPK8IP2,SHANK1,CELF4,JPH3,BEGAIN,DLGAP3,DTNBP1,JPH4,PPP1R9B,CNTN4,NPAS4"
,GO Biological Processes,GO:0099177,regulation of trans-synaptic signaling,-12.596847763,47/390,"351,409,575,613,808,1268,1607,1742,2185,2895,2902,2906,2911,2912,3269,4137,4761,4885,5413,5582,5924,6543,6722,6804,6853,7476,7532,8525,9066,9145,9148,10858,11178,23096,23349,23373,23542,50944,56853,57338,57596,58512,84062,84502,84687,152330,266743","APP,ARRB2,ADGRB1,BCR,CALM3,CNR1,DGKB,DLG4,PTK2B,GRID2,GRIN1,GRIN2D,GRM1,GRM2,HRH1,MAPT,NEUROD2,NPTX2,SEPTIN5,PRKCG,RASGRF2,SLC8A2,SRF,STX1A,SYN1,WNT7A,YWHAG,DGKZ,SYT7,SYNGR1,NEURL1,CYP46A1,LZTS1,IQSEC2,PHF24,CRTC1,MAPK8IP2,SHANK1,CELF4,JPH3,BEGAIN,DLGAP3,DTNBP1,JPH4,PPP1R9B,CNTN4,NPAS4"
,GO Biological Processes,GO:0048167,regulation of synaptic plasticity,-7.344900004,25/172,"351,575,1742,2185,2895,2902,2906,3269,4137,4761,5924,6543,6722,7532,9066,9145,9148,10858,11178,23373,50944,57338,84502,152330,266743","APP,ADGRB1,DLG4,PTK2B,GRID2,GRIN1,GRIN2D,HRH1,MAPT,NEUROD2,RASGRF2,SLC8A2,SRF,YWHAG,SYT7,SYNGR1,NEURL1,CYP46A1,LZTS1,CRTC1,SHANK1,JPH3,JPH4,CNTN4,NPAS4"
,GO Biological Processes,GO:0042391,regulation of membrane potential,-6.6082569776,38/404,"40,88,351,409,808,1268,1742,2185,2281,2556,2895,2902,2906,2911,3762,3775,3781,4137,4878,5026,6332,6511,6543,6804,7476,8912,8973,23373,23416,23542,50801,50944,54112,55022,56853,81033,138429,266743","ASIC2,ACTN2,APP,ARRB2,CALM3,CNR1,DLG4,PTK2B,FKBP1B,GABRA3,GRID2,GRIN1,GRIN2D,GRM1,KCNJ5,KCNK1,KCNN2,MAPT,NPPA,P2RX5,SCN7A,SLC1A6,SLC8A2,STX1A,WNT7A,CACNA1H,CHRNA6,CRTC1,KCNH3,MAPK8IP2,KCNK4,SHANK1,GPR88,PID1,CELF4,KCNH6,PIP5KL1,NPAS4"
,GO Biological Processes,GO:0060079,excitatory postsynaptic potential,-4.6625004545,16/100,"351,409,1742,2185,2895,2902,2906,5026,6543,6804,7476,8973,23542,50944,56853,266743","APP,ARRB2,DLG4,PTK2B,GRID2,GRIN1,GRIN2D,P2RX5,SLC8A2,STX1A,WNT7A,CHRNA6,MAPK8IP2,SHANK1,CELF4,NPAS4"
,GO Biological Processes,GO:0099565,"chemical synaptic transmission, postsynaptic",-4.4094202763,16/105,"351,409,1742,2185,2895,2902,2906,5026,6543,6804,7476,8973,23542,50944,56853,266743","APP,ARRB2,DLG4,PTK2B,GRID2,GRIN1,GRIN2D,P2RX5,SLC8A2,STX1A,WNT7A,CHRNA6,MAPK8IP2,SHANK1,CELF4,NPAS4"
