Num,Crab.eating.macaque.gene.stable.ID,Crab.eating.macaque.gene.name,Human.Gene.stable.ID,Human.Gene.name,Human.Entrez.Gene,pls1Neg,pls1Pos,GO.0099536.synaptic.signaling,GO.0007272.ensheathment.of.neurons,GO.0050808.synapse.organization,GO.0061564.axon.development,GO.0007612.learning,GO.0016198.axon.choice.point.recognition,GO.0034765.regulation.of.ion.transmembran,GO.1903305.regulation.of.regulated.secret,GO.0044057.regulation.of.system.process,GO.0019932.second.messenger.mediated.sign,GO.0022029.telencephalon.cell.migration,GO.0040008.regulation.of.growth,hsa04080.Neuroactive.ligand.receptor.in,GO.0090066.regulation.of.anatomical.struc,GO.0046328.regulation.of.JNK.cascade,GO.0046849.bone.remodeling,GO.0007422.peripheral.nervous.system.deve,GO.0035235.ionotropic.glutamate.receptor,GO.0015701.bicarbonate.transport,GO.0046467.membrane.lipid.biosynthetic.pr,TotalEvidenceCount
1.0,ENSMFAG00000000059,GEMIN8,ENSG00000046647,GEMIN8,54960.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,ENSMFAG00000000064,MCMBP,ENSG00000197771,MCMBP,79892.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,ENSMFAG00000000118,FAM234B,ENSG00000084444,FAM234B,57613.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,ENSMFAG00000000142,TMCC3,ENSG00000057704,TMCC3,57458.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,ENSMFAG00000000143,EIF4EBP2,ENSG00000148730,EIF4EBP2,1979.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.0,ENSMFAG00000000154,SGSM2,ENSG00000141258,SGSM2,9905.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,ENSMFAG00000000196,ENSMFAG00000000196,ENSG00000169756,LIMS1,3987.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,ENSG00000256671,LIMS4,100288695.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,ENSG00000256977,LIMS3,96626.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,ENSG00000284337,AC013271.1,100271835.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.0,ENSMFAG00000000236,DOCK11,ENSG00000147251,DOCK11,139818.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.0,ENSMFAG00000000254,UBXN6,ENSG00000167671,UBXN6,80700.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,ENSMFAG00000000282,PSD,ENSG00000059915,PSD,5662.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,ENSMFAG00000000304,ASPA,ENSG00000108381,ASPA,443.0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.0,ENSMFAG00000000316,ST18,ENSG00000147488,ST18,9705.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,ENSMFAG00000000328,SLC30A3,ENSG00000115194,SLC30A3,7781.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,ENSMFAG00000000375,ADAMTS4,ENSG00000158859,ADAMTS4,9507.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,ENSMFAG00000000411,TMEM38B,ENSG00000095209,TMEM38B,55151.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
