Region,roi173,NeocortexRegion,Lobe,002,034,067,079,92,qbt,xq,xz,zs,total_sample_count
1-2,1-2,Yes,Parietal,1,4,0,0,1,1,3,2,0,12
10m,10m,Yes,Frontal,1,4,0,0,1,1,3,2,0,12
10o,10o,Yes,Frontal,0,4,0,0,2,1,3,2,0,12
11l,11l,Yes,Frontal,1,3,0,0,2,1,1,2,0,10
11m,11m,Yes,Frontal,0,0,0,0,2,1,3,1,0,7
12l,12l,Yes,Frontal,0,2,0,0,1,0,2,0,0,5
12m,12m,Yes,Frontal,0,2,0,0,1,1,1,1,1,7
12o,12o,Yes,Frontal,0,2,0,0,2,1,0,1,0,6
12r,12r,Yes,Frontal,0,3,0,0,1,1,2,1,0,8
13a,13a,Yes,Frontal,0,1,2,1,2,0,0,0,0,6
13b,13b,Yes,Frontal,1,2,0,0,4,1,1,1,0,10
13l,13l,Yes,Frontal,0,2,0,0,0,1,3,1,2,9
13m,13m,Yes,Frontal,0,2,0,1,0,1,1,1,1,7
14c,14c,Yes,Frontal,0,2,0,0,2,1,0,2,1,8
14r,14r,Yes,Frontal,1,3,0,0,2,0,3,1,0,10
23a,23a,Yes,Cingulate,0,0,0,1,0,0,0,0,0,1
23b,23b,Yes,Cingulate,0,1,0,1,0,0,2,0,0,4
23c,23c,Yes,Cingulate,0,1,0,0,0,0,4,0,0,5
24a,24a,Yes,Cingulate,0,0,1,0,0,0,0,1,0,2
24a',24a',Yes,Cingulate,0,2,0,0,0,0,1,0,0,3
24b,24b,Yes,Cingulate,0,2,0,0,0,0,0,1,0,3
24b',24b',Yes,Cingulate,0,0,0,1,0,0,2,0,0,3
24c,24c,Yes,Cingulate,0,2,0,0,2,2,2,4,0,12
24c',24c',Yes,Cingulate,0,1,0,1,0,0,2,0,1,5
25,25,Yes,Frontal,0,2,0,0,2,0,0,0,0,4
31,31,Yes,Cingulate,0,1,0,0,0,0,0,0,0,1
32,32,Yes,Frontal,0,2,0,0,2,1,1,1,1,8
36c,36c,Yes,Temporal,0,2,0,0,0,0,0,0,0,2
3a/b,3a/b,Yes,Parietal,1,2,0,0,2,1,3,2,0,11
44,44,Yes,Frontal,0,1,0,0,2,0,2,0,0,5
45,45,Yes,Frontal,0,2,0,0,1,1,4,2,0,10
46d,46d,Yes,Frontal,0,3,0,0,1,2,2,2,0,10
46v,46v,Yes,Frontal,0,3,0,0,0,2,2,2,0,9
5,5,Yes,Parietal,0,3,0,0,2,1,3,1,0,10
7a,7a_(Opt/PG),Yes,Parietal,0,3,0,0,1,2,2,1,1,10
7b,7b_(PFG/PF),Yes,Parietal,0,2,0,0,3,1,2,1,0,9
7m,7m(PGm),Yes,Parietal,1,3,0,0,0,0,1,1,0,6
7op,7op,Yes,Parietal,0,3,0,0,3,1,2,1,0,10
8A,8Av,Yes,Frontal,0,3,0,0,0,1,3,2,0,9
8Bd,8Bd,Yes,Frontal,0,2,0,0,0,1,2,2,2,9
8Bm,8Bm,Yes,Frontal,0,2,0,0,0,0,1,0,1,4
8Bs,8Bs,Yes,Frontal,0,3,0,0,0,1,3,2,0,9
9d,9d,Yes,Frontal,0,3,0,0,2,1,2,1,0,9
9m,9m,Yes,Frontal,0,2,0,0,2,1,2,1,0,8
A1,A1,Yes,Temporal,0,2,0,0,2,1,3,1,0,9
AL,AL,Yes,Temporal,1,2,0,0,2,0,3,2,0,10
Amy,amy,No,Subcortical,1,2,0,2,1,0,2,0,0,8
Cd,Striatum,No,Subcortical,0,3,0,0,3,0,2,0,0,8
CL,CL,Yes,Temporal,0,1,0,1,1,1,2,1,0,7
cla,Claustrum,No,Subcortical,0,0,0,0,1,0,0,0,0,1
CM,CM,Yes,Temporal,0,1,0,0,1,0,3,1,0,6
F1,F1_(4),Yes,Frontal,1,3,0,0,2,1,3,2,0,12
F2,F2,Yes,Frontal,0,4,1,0,1,2,3,1,0,12
F3,F3,Yes,Frontal,1,3,2,0,0,1,3,0,0,10
F4,F4,Yes,Frontal,0,2,0,0,1,2,0,2,2,9
F5,F5,Yes,Frontal,0,2,0,0,2,1,2,0,0,7
F6,F6,Yes,Frontal,0,2,1,0,1,0,1,2,1,8
F7,F7,Yes,Frontal,0,2,1,0,0,1,1,2,0,7
FST,FST,Yes,Temporal,0,1,0,1,0,2,3,0,1,8
G,G,Yes,Insula,1,1,1,0,0,2,1,2,2,10
GP,GPeGPi,No,Subcortical,0,0,0,1,0,0,5,0,3,9
HC,HC,No,Subcortical,0,3,0,0,1,0,4,0,0,8
Ia,Ia,Yes,Insula,0,0,0,1,0,0,2,0,1,4
Ial,Ial,Yes,Insula,0,2,0,0,1,1,1,2,1,8
Iapl,Iapl,Yes,Insula,0,2,0,0,0,1,1,1,3,8
Iapm,Iapm,Yes,Insula,0,1,0,0,0,1,1,1,3,7
Id,Id,Yes,Insula,0,1,0,0,0,1,5,2,1,10
Ig,Ig,Yes,Insula,0,2,0,0,1,1,4,2,0,10
IPa,IPa,Yes,Temporal,0,0,0,0,1,1,3,1,0,6
LIPd,LIPd,Yes,Parietal,0,2,0,0,0,3,3,1,1,10
LIPv,LIPv,Yes,Parietal,0,2,0,0,0,1,4,2,0,9
ML,ML,Yes,Temporal,0,2,0,1,2,0,1,0,0,6
MST,MST,Yes,Temporal,0,1,0,1,0,2,2,1,1,8
MT,MT,Yes,Temporal,0,0,0,0,0,1,0,0,0,1
,Striatum,No,Subcortical,0,2,0,2,0,0,1,0,2,7
PGa,PGa,Yes,Temporal,0,0,0,0,1,2,4,2,0,9
Pi,Pi,Yes,Insula,0,0,0,0,0,1,1,1,1,4
Pir,Pir,No,Subcortical,0,1,1,0,0,0,1,0,1,4
PL,PL,No,Subcortical,1,0,0,0,0,0,0,0,0,1
PrCO,PrCO,Yes,Frontal,0,2,0,0,2,2,0,1,1,8
pu,Striatum,No,Subcortical,1,3,0,0,2,0,3,0,0,9
R,R,Yes,Temporal,0,2,0,0,2,1,2,1,0,8
Ri,Ri,Yes,Insula,0,1,0,0,1,0,1,0,0,3
RM,RM,Yes,Temporal,0,2,0,0,2,0,4,2,0,10
RT,RT,Yes,Temporal,0,2,0,0,0,0,2,0,0,4
RTL,RTL,Yes,Temporal,0,2,0,0,0,0,3,0,1,6
RTM,RTM,Yes,Temporal,0,2,0,0,0,0,2,0,2,6
SII,SII,Yes,Parietal,0,2,0,0,2,2,2,1,0,9
STG,STG,Yes,Temporal,0,4,0,0,4,1,5,1,0,15
