Region,roi173,NeocortexRegion,Lobe,002,034,067,079,92,qbt,xq,xz,zs,RIN,total_reads,uniquely_mapped,uniquely_mapped_percent,TOTAL_READS,PF_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PF_BASES,PF_ALIGNED_BASES.1,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,WINDOW_SIZE,TOTAL_CLUSTERS,ALIGNED_READS,AT_DROPOUT,GC_DROPOUT,Full_name,Dictionary_lobe,Regional_map
1-2,1-2,Yes,Parietal,1,4,0,0,1,1,3,2,0,8.06666666666667,50345837.5,43181732.9166667,85.2083333333333,95296004.6666667,95296004.6666667,90722449.4166667,0.951417916666667,12761335561.5,86302964.4166667,12147914112.0833,11867762374.0,0.0061121666666666,0.0060614166666666,0.0002586666666666,90657039.6666667,0.999193416666667,0,0.500018166666667,0.0056109166666666,13426282341.0,12761335561.5,3824485410.25,1220735483.25,3650641707.41667,4065441441.83333,0,33988508.75,800027.666666667,30.985925,9.648525,27.5670166666667,31.7983166666667,40.6344583333333,38.229625,97.6068583333333,0.40089775,0.643555166666667,0.670693166666667,0.883608,100,51236372.5833333,97879167.0833333,35.8126029166667,0.06847125,somatosensory areas 1 and 2,Parietal,S1
10m,10m,Yes,Frontal,1,4,0,0,1,1,3,2,0,8.14166666666667,54468031.75,45002512.8333333,81.3725,103931076.0,103931076.0,94612119.8333333,0.904639,13365921002.5833,89943966.3333333,12716548047.75,12431780270.1667,0.0059940833333333,0.0059564166666666,0.0002459166666666,94546282.1666667,0.999171166666667,0,0.5000205,0.0055791666666666,14586737462.6667,13365921002.5833,3733584209.08333,1224457261.08333,4211608579.66667,4196184617.0,0,33267750.75,883704.166666667,29.04835,9.08015,29.8743083333333,31.996775,38.1284833333333,34.4593916666667,97.5919,0.378833833333333,0.663652166666667,0.704714333333333,0.878623083333333,100,55776358.25,102213156.416667,34.1748493333333,0.0510430833333333,"frontal polar,area 10m[10mc+10mr]",Frontal,PFCm
10o,10o,Yes,Frontal,0,4,0,0,2,1,3,2,0,7.61666666666667,52827588.4166667,42851782.0833333,80.2783333333333,103331949.333333,103331949.333333,89703729.6666667,0.865077416666667,12640008058.6667,85626333.8333333,12076293099.3333,11779756445.5833,0.0064323333333333,0.0063958333333333,0.0002444166666666,89621090.0,0.998904333333333,0,0.500024583333333,0.00604825,14367705835.5,12640008058.6667,3647811593.91667,1133510174.0,3976791502.0,3881814810.0,0,32263205.8333333,807829.333333333,30.1086833333333,8.92055,29.7958833333333,31.1744666666667,39.0292,33.90085,97.638375,0.4009065,0.650693333333333,0.676203916666667,0.8927255,100,55113765.0833333,96575275.5,34.4387096666667,0.0580653333333333,"frontal polar anterior part,area 10o",Frontal,PFCpol
11l,11l,Yes,Frontal,1,3,0,0,2,1,1,2,0,7.97,54164982.3,47461414.9,87.047,100516675.5,100516675.5,99637603.9,0.9931338,14123671156.2,94871789.4,13460163395.3,13180323829.7,0.0057243,0.0056852,0.0002619,99582715.6,0.9994121,0,0.5000154,0.0056556,14363143189.0,14123671156.2,3900319548.1,1313778989.5,4619454659.4,4290081037.6,0,34926645.6,918325.6,28.34897,9.31671,31.3445,30.98964,37.66568,37.16211,97.41672,0.3837604,0.6499595,0.6898734,0.8796249,100,54032590.1,107146326.6,31.0338818,0.2521051,"obrital prefrontal area,area 11l",Frontal,PFCoi
11m,11m,Yes,Frontal,0,0,0,0,2,1,3,1,0,7.81428571428571,54153471.2857143,45731482.5714286,84.8314285714286,98779515.4285714,98779515.4285714,96772846.5714286,0.981659714285714,13631269534.2857,91387156.0,12882656135.7143,12592106534.5714,0.0059668571428571,0.005938,0.0002535714285714,96692146.8571429,0.999195857142857,0,0.500013285714286,0.0057524285714285,14003944289.1429,13631269534.2857,3816461003.28571,1274046953.85714,4275799995.71429,4264893678.28571,0,34262464.8571429,850567.857142857,28.3443142857143,9.31871428571429,30.7489714285714,31.5875714285714,37.6630142857143,36.6500857142857,97.3541571428571,0.369994857142857,0.667063428571429,0.707127428571429,0.891679285714286,100,53752766.4285714,105469453.714286,32.868826,0.129344714285714,"orbital prefrontal area,area 11m",Frontal,PFCom
12l,12l,Yes,Frontal,0,2,0,0,1,0,2,0,0,8.08,65922136.0,52528625.8,79.8,121353319.2,121353319.2,112961123.6,0.941038,15565301160.8,104977646.2,14464073177.6,14166118261.4,0.00616,0.0061818,0.0002282,112875101.6,0.999235,0,0.5000264,0.0058994,16722232504.0,15565301160.8,5104969939.2,1388576562.4,3694483178.8,5377270806.0,0,44752246.6,612423.8,32.90024,8.9379,23.6546,34.50722,41.83816,39.2121,98.6281,0.3870872,0.654618,0.6773394,0.8958452,100,66967821.2,125503534.6,45.1798294,0.0,"lateral prefrontal cortex,area 12l,lateral part",Frontal,PFCvl
12m,12m,Yes,Frontal,0,2,0,0,1,1,1,1,1,8.44285714285714,56911841.1428571,45178839.7142857,79.8942857142857,108476410.857143,108476410.857143,96202870.4285714,0.895460285714286,13548372434.4286,90280545.7142857,12723430135.0,12420987478.4286,0.0060467142857142,0.0060145714285714,0.0002524285714285,96118414.0,0.999020428571429,0,0.500040571428571,0.0057088571428571,14595591284.1429,13548372434.4286,3946397840.85714,1340833935.57143,3839857238.85714,4421211860.85714,0,35592281.8571429,761484.142857143,29.4699,9.71991428571429,27.6055571428571,33.2040714285714,39.1898285714286,36.7552,97.7113285714286,0.369071428571429,0.688951571428571,0.713496571428571,0.892027571428571,100,56809623.2857143,105307757.857143,34.0364577142857,0.272534714285714,"lateral prefrontal cortex,area 12m,medial part",Frontal,PFCol
12o,12o,Yes,Frontal,0,2,0,0,2,1,0,1,0,8.31666666666667,58461165.1666667,50287750.1666667,85.8533333333333,107193900.833333,107193900.833333,106162498.166667,0.991548166666667,15067711351.1667,100529916.666667,14274029628.8333,14003989819.6667,0.0056351666666666,0.0055881666666666,0.000263,106114519.666667,0.99953,0,0.5000175,0.005911,15343615670.0,15067711351.1667,4251766828.66667,1452338442.0,4739839172.5,4623764797.33333,0,37885530.0,1162183.0,28.6017333333333,9.48315,31.0541666666667,30.8609333333333,38.0848666666667,37.5087333333333,96.8822,0.366827,0.661563666666667,0.709921666666667,0.878103833333333,100,57810088.1666667,114556368.166667,32.0747818333333,0.253834333333333,"lateral prefrontal cortex,area 12o,orbital part",Frontal,PFCol
12r,12r,Yes,Frontal,0,3,0,0,1,1,2,1,0,8.0875,52386537.0,44783366.625,85.1875,95845161.875,95845161.875,94879198.375,0.991142375,13367086307.0,89525192.625,12620655426.375,12378145761.5,0.00571275,0.005672625,0.00025525,94834876.75,0.999517875,0,0.5000215,0.00581525,13620979175.375,13367086307.0,4063192965.0,1279525177.5,3780613578.625,4243713549.75,0,36029479.5,745403.5,30.9440375,9.548475,27.3537875,32.1534375,40.4925125,39.9115125,97.739,0.369877625,0.675573,0.697197375,0.888776125,100,52081702.125,103167399.875,36.889535625,0.05922925,"lateral prefrontal cortex,area 12r,rostal part?",Frontal,PFCol
13a,13a,Yes,Frontal,0,1,2,1,2,0,0,0,0,8.66666666666667,52084663.1666667,42810837.6666667,82.2183333333333,99271507.6666667,99271507.6666667,90507291.8333333,0.914565666666667,12439667474.6667,85505342.6666667,11754075399.0,11410414040.0,0.0071105,0.0070725,0.0002456666666666,90383693.0,0.998612666666667,0,0.500016,0.0061943333333333,13640910330.6667,12439667474.6667,3743872375.83333,1076206566.0,3782284279.5,3837303600.0,0,33530336.1666667,471252.833333333,30.0971166666667,8.66833333333333,30.388,30.84655,38.7654333333333,35.31425,98.58815,0.352589166666667,0.653418666666667,0.712747,0.863129666666667,100,53756741.0,98730833.0,37.2065216666667,0.0,"orbitomedial prefrontal cortex,area 13a",Frontal,PFCom
