Region,NeocortexRegion,Lobe,RIN,total_reads,uniquely_mapped,uniquely_mapped_percent,PCT_PF_READS_ALIGNED,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_5PRIME_TO_3PRIME_BIAS,AT_DROPOUT,GC_DROPOUT
1-2,Yes,Parietal,8.06666666666667,50345837.5,43181732.9166667,85.2083333333333,0.951417916666667,40.6344583333333,38.229625,97.6068583333333,0.883608,35.8126029166667,0.06847125
10m,Yes,Frontal,8.14166666666667,54468031.75,45002512.8333333,81.3725,0.904639,38.1284833333333,34.4593916666667,97.5919,0.878623083333333,34.1748493333333,0.0510430833333333
10o,Yes,Frontal,7.61666666666667,52827588.4166667,42851782.0833333,80.2783333333333,0.865077416666667,39.0292,33.90085,97.638375,0.8927255,34.4387096666667,0.0580653333333333
11l,Yes,Frontal,7.97,54164982.3,47461414.9,87.047,0.9931338,37.66568,37.16211,97.41672,0.8796249,31.0338818,0.2521051
11m,Yes,Frontal,7.81428571428571,54153471.2857143,45731482.5714286,84.8314285714286,0.981659714285714,37.6630142857143,36.6500857142857,97.3541571428571,0.891679285714286,32.868826,0.129344714285714
12l,Yes,Frontal,8.08,65922136.0,52528625.8,79.8,0.941038,41.83816,39.2121,98.6281,0.8958452,45.1798294,0.0
12m,Yes,Frontal,8.44285714285714,56911841.1428571,45178839.7142857,79.8942857142857,0.895460285714286,39.1898285714286,36.7552,97.7113285714286,0.892027571428571,34.0364577142857,0.272534714285714
12o,Yes,Frontal,8.31666666666667,58461165.1666667,50287750.1666667,85.8533333333333,0.991548166666667,38.0848666666667,37.5087333333333,96.8822,0.878103833333333,32.0747818333333,0.253834333333333
12r,Yes,Frontal,8.0875,52386537.0,44783366.625,85.1875,0.991142375,40.4925125,39.9115125,97.739,0.888776125,36.889535625,0.05922925
13a,Yes,Frontal,8.66666666666667,52084663.1666667,42810837.6666667,82.2183333333333,0.914565666666667,38.7654333333333,35.31425,98.58815,0.863129666666667,37.2065216666667,0.0
13b,Yes,Frontal,7.89,53666812.7,45374928.4,84.592,0.9762616,37.9584,37.51294,97.99212,0.9074912,36.2063622,0.0523569
13l,Yes,Frontal,8.33333333333333,58698168.6666667,45832888.5555556,79.1877777777778,0.856605,41.1975,36.0017777777778,97.5155666666667,0.878864555555556,36.7356517777778,0.299549555555556
13m,Yes,Frontal,8.0,55652724.1428571,46358819.0,83.2842857142857,0.890617285714286,38.4770285714286,34.4746714285714,97.0198,0.863055,32.9734117142857,0.039702
14c,Yes,Frontal,7.85,54518509.75,45489560.375,83.805,0.945642875,34.3419875,32.4081625,96.504425,0.87557775,28.689331375,0.188390375
14r,Yes,Frontal,8.32,55914859.2,46178197.0,82.326,0.9979434,39.62564,39.24208,98.34632,0.867502,35.6212894,0.116668
23a,Yes,Cingulate,8.9,50695982.0,39735353.0,78.38,0.824212,36.1168,30.0839,98.1795,0.824818,31.49587,0.0
23b,Yes,Cingulate,8.45,53375958.25,44612928.75,83.57,0.8695965,40.9251,35.807375,98.497225,0.83796675,39.2208775,0.0
23c,Yes,Cingulate,8.24,52792407.2,44100940.6,83.666,0.875771,45.84674,40.25232,98.63042,0.8235112,40.5153154,0.0
24a,Yes,Cingulate,8.0,48821974.5,42759029.5,86.45,0.898597,34.26095,30.6721,96.5623,0.8411065,23.0907775,0.0
24a',Yes,Cingulate,8.45,64616038.6666667,51888658.0,80.4133333333333,1.0,42.1836,41.8052333333333,98.7356666666667,0.860778666666667,44.964111,0.0459996666666667
24b,Yes,Cingulate,8.0,52597802.3333333,45600395.6666667,86.75,0.993203,39.4139,38.8978666666667,97.3607666666667,0.895414333333333,32.0590496666667,0.0079076666666666
24b',Yes,Cingulate,8.1,59792138.0,45782696.6666667,79.27,0.968439333333333,41.9928333333333,40.3965,98.7328666666667,0.842765666666667,45.1917836666667,0.0215623333333333
24c,Yes,Cingulate,7.71818181818182,53355454.0833333,47033921.9166667,88.2325,0.97230275,35.900825,35.2792583333333,96.56135,0.88725575,27.98481425,0.0611070833333333
24c',Yes,Cingulate,8.46,46573373.4,34012420.0,74.166,0.8973888,43.13648,39.15086,98.85916,0.9056428,47.4769854,0.0186602
25,Yes,Frontal,8.525,52343291.5,43382831.25,82.82,0.936271,38.5722,35.854225,98.49535,0.87337825,38.68256675,0.0
31,Yes,Cingulate,8.4,41641432.0,34804062.0,83.58,1.0,51.9849,51.553,98.6137,0.817574,44.427974,0.0
32,Yes,Frontal,7.95,56911136.875,45133469.5,80.89625,0.91493925,37.938825,34.8812875,97.499725,0.8704055,33.699974625,0.020546875
36c,Yes,Temporal,8.5,52368975.5,44046340.0,84.04,1.0,48.8405,48.3797,99.07925,0.8695875,49.733289,0.069617
3a/b,Yes,Parietal,8.08181818181818,52529843.5454545,44987253.8181818,85.5090909090909,0.963853636363636,38.7766454545455,36.9470363636364,97.0179272727273,0.876685636363636,29.1049173636364,0.0185344545454545
44,Yes,Frontal,8.56,52996856.2,43620583.2,82.024,1.0,44.51398,44.12632,98.53098,0.8951434,43.3144394,0.0
45,Yes,Frontal,8.27,54619843.0,47014038.0,86.035,0.9695095,40.27276,38.83344,96.88473,0.872653,35.0095344,0.3691008
46d,Yes,Frontal,8.24,53956674.5,46651451.6,86.263,0.9811561,38.90862,37.85506,96.54382,0.8696013,32.3989944,0.2619557
46v,Yes,Frontal,8.21111111111111,51592924.4444444,45113241.3333333,87.1622222222222,0.977117555555556,38.7701666666667,37.5803666666667,96.5557777777778,0.857108333333333,31.5633687777778,0.271008888888889
5,Yes,Parietal,8.4,53910759.2,43826611.9,81.769,0.9951662,41.40173,40.89351,96.9091,0.8908535,41.5025081,0.0487587
7a,Yes,Parietal,8.02,56302660.5,46978352.6,83.525,0.9805044,38.78807,37.69002,96.88813,0.8974141,35.1021703,0.2143985
7b,Yes,Parietal,8.2,61052420.4444444,50434352.0,82.9288888888889,0.974864666666667,39.7005888888889,39.1886666666667,96.9310333333333,0.909882,37.7316115555556,0.0823375555555556
7m,Yes,Parietal,8.23333333333333,51757873.3333333,43380912.0,83.8933333333333,0.996347,38.0096333333333,37.5765166666667,97.4610333333333,0.8980225,37.6647611666667,0.102675666666667
7op,Yes,Parietal,8.21,58782111.2,49172793.4,83.376,0.9773072,39.1179,38.61447,96.93366,0.886693,35.2833933,0.1056206
8A,Yes,Frontal,7.96666666666667,54792509.5555556,46973346.6666667,85.8077777777778,0.991656888888889,40.3877,39.8062666666667,96.5682777777778,0.853869888888889,32.5265803333333,0.120187333333333
8Bd,Yes,Frontal,8.15555555555556,52048204.3333333,42140676.3333333,81.3766666666667,0.885157,38.9565111111111,34.8310888888889,96.5031444444444,0.863407444444444,34.4374486666667,0.139181888888889
8Bm,Yes,Frontal,8.55,50495262.5,39888878.0,78.41,0.89166025,44.980775,40.39125,98.689625,0.869431,45.959231,0.0119275
8Bs,Yes,Frontal,8.08888888888889,53022091.7777778,45867075.3333333,86.1377777777778,0.979823333333333,42.7700444444444,41.6414555555556,96.7430666666667,0.837235777777778,34.6321556666667,0.16196
9d,Yes,Frontal,7.92222222222222,53071078.8888889,43837490.1111111,82.7266666666667,0.9709,38.9697444444444,38.4627666666667,97.2830222222222,0.889102888888889,38.2617195555556,0.320227555555556
9m,Yes,Frontal,8.65,55829781.5,46263002.625,82.905,0.968698375,40.670675,40.1874,97.8646375,0.90699475,37.140465875,0.21816975
A1,Yes,Temporal,8.48888888888889,53038994.4444444,43826681.1111111,82.8777777777778,0.977685333333333,40.0597444444444,39.5534111111111,96.6328222222222,0.897576111111111,37.4691987777778,0.149362555555556
AL,Yes,Temporal,8.45555555555556,53785069.1,45455574.4,84.405,0.9730109,41.95231,40.37197,97.2715,0.9091898,41.9881748,0.0873376
Amy,No,Subcortical,8.4125,52798173.25,43939271.25,83.14,0.961173625,41.0224375,39.185,98.7448875,0.868244625,40.369119875,0.07086325
Cd,No,Subcortical,8.3125,46161597.75,36576354.25,79.18,0.94024325,40.0125375,37.4808375,98.373925,0.876129875,40.468221375,0.019692125
CL,Yes,Temporal,8.67142857142857,53357584.8571429,45003585.5714286,84.5685714285714,0.947081,38.6079714285714,37.3087,96.1454714285714,0.896484571428571,34.282347,0.125446857142857
cla,No,Subcortical,8.1,51123311.0,43217783.0,84.54,1.0,38.4544,38.1682,98.3261,0.871389,49.538658,0.0
CM,Yes,Temporal,8.28333333333333,49334941.5,40445305.8333333,81.9183333333333,0.995868,39.9850333333333,39.52165,97.0573666666667,0.884214333333333,39.8545146666667,0.132901833333333
F1,Yes,Frontal,8.025,54771672.0,46990020.75,85.3091666666667,0.9464025,42.1179833333333,39.433375,97.3229416666667,0.87404025,36.2144379166667,0.0497483333333333
F2,Yes,Frontal,7.94166666666667,56047754.9166667,47896219.5,85.0458333333333,0.965242083333333,41.9935833333333,40.25935,97.4760916666667,0.868471083333333,34.2802594166667,0.0186774166666667
F3,Yes,Frontal,8.13,51883962.2,42710974.0,81.798,0.9471433,42.41695,39.90987,98.08056,0.8810466,41.6508803,0.023719
F4,Yes,Frontal,7.9,50256399.2222222,42164674.7777778,83.4888888888889,0.953700888888889,37.589,35.6159333333333,95.8115333333333,0.863980555555556,29.5664306666667,0.103426666666667
F5,Yes,Frontal,8.25714285714286,53713544.1428571,45711700.8571429,85.1857142857143,0.980142,43.7274,43.2364142857143,97.6296,0.871740857142857,38.5138541428571,0.0173791428571429
F6,Yes,Frontal,8.2125,52136155.0,42830143.5,81.99625,0.911205875,38.914125,35.676125,96.8353375,0.869930375,34.296431625,0.010736875
F7,Yes,Frontal,7.8,53566068.1428571,47161642.2857143,87.7757142857143,0.952887,40.1025714285714,38.0229,95.9541714285714,0.851457285714286,30.518826,0.265291
FST,Yes,Temporal,8.225,54283207.875,44161025.25,81.795,0.9625465,40.394325,38.4722625,96.9532625,0.881911375,35.707991625,0.169706875
G,Yes,Insula,8.15,54025743.7,45177623.0,83.234,0.9451339,33.97113,31.85984,96.13531,0.8570696,30.379708,0.7094152
GP,No,Subcortical,8.47777777777778,52206057.6666667,37271987.7777778,72.2988888888889,0.859514888888889,40.1914555555556,34.8786222222222,98.3079444444444,0.900546333333333,46.9590388888889,0.150668
HC,No,Subcortical,8.4625,53727271.5,43417498.625,80.495,0.973957,45.144975,43.5409,98.894975,0.877048375,48.96145125,0.211887875
Ia,Yes,Insula,8.85,53360470.0,41557814.75,77.52,0.81240725,40.55665,33.585525,98.64125,0.84896525,35.42339375,0.0
Ial,Yes,Insula,8.1,52884496.0,45830600.375,85.56875,0.9811645,36.703775,36.1557375,96.8211875,0.8895715,28.906746375,0.100545375
Iapl,Yes,Insula,8.475,47839874.5,37511026.625,77.3225,0.9298005,37.854775,35.1530875,97.1678375,0.860260625,34.21996775,0.193886
Iapm,Yes,Insula,8.5,48187994.2857143,36472589.8571429,75.6671428571429,0.931443142857143,38.1488,35.5963,97.0774428571429,0.844688428571429,33.94571,0.276079857142857
Id,Yes,Insula,8.06,46691662.3,39147785.5,82.658,0.9647645,41.39868,39.81495,97.54474,0.9096393,38.8084646,0.2675663
Ig,Yes,Insula,8.3,51034045.7,42969055.1,83.527,0.9575274,43.17575,41.15274,97.35012,0.8822654,35.2333887,0.1387188
IPa,Yes,Temporal,8.16666666666667,50753882.1666667,46228720.5,90.9933333333333,0.938552166666667,39.5756166666667,36.8473333333333,96.87505,0.838451333333333,27.82167,0.0
LIPd,Yes,Parietal,7.86,52417098.0,44347554.1,83.683,0.9895988,37.12701,36.48547,96.11313,0.9007233,33.4847418,0.1611087
LIPv,Yes,Parietal,8.03333333333333,52793533.3333333,43807198.1111111,82.5211111111111,0.991598777777778,38.9298,38.3564666666667,96.1875,0.908194,39.1490266666667,0.222052444444444
ML,Yes,Temporal,8.51666666666667,52671268.6666667,41296584.8333333,78.36,0.973825666666667,40.5836666666667,39.1936166666667,98.3695333333333,0.891791666666667,41.9659111666667,0.0468753333333333
MST,Yes,Temporal,8.1125,54343952.25,45057286.0,83.18625,0.965004625,37.278575,35.71925,96.5851625,0.883806375,31.050644,0.27931
MT,Yes,Temporal,7.2,53800957.0,50935051.0,94.67,0.976031,31.2446,30.2912,94.7349,0.911226,15.771664,0.0
,No,Subcortical,8.5,49787207.2857143,37834893.2857143,75.9157142857143,0.945323857142857,38.5410142857143,36.3252857142857,98.5285571428571,0.873008142857143,39.3924082857143,0.112279285714286
PGa,Yes,Temporal,8.37777777777778,54169721.7777778,49069209.1111111,90.6011111111111,0.938577888888889,41.1831,38.2537,96.2956888888889,0.846143777777778,27.849806,0.138898111111111
Pi,Yes,Insula,8.175,53076701.0,43699106.25,80.9675,0.84919625,35.2154,29.298125,95.640475,0.8971845,29.6889885,0.18914275
Pir,No,Subcortical,8.925,44129458.0,34222472.25,77.5525,0.96527575,44.0416,42.41135,98.81255,0.860418,43.69186025,0.036367
PL,No,Subcortical,7.7,47537536.0,38688579.0,81.39,1.0,31.1852,30.8293,98.1357,1.09889,60.025356,0.021714
PrCO,Yes,Frontal,7.9625,52041380.875,43283191.5,82.9975,0.928543625,36.6907875,34.6488875,96.1400125,0.867283,31.565041625,0.076250625
pu,No,Subcortical,8.7625,47246733.4444444,38039431.6666667,80.1411111111111,0.930639222222222,40.5008111111111,37.3842222222222,98.1805666666667,0.884455555555556,43.7357137777778,0.007396
R,Yes,Temporal,8.4125,50264373.875,42951856.875,84.98875,0.9944625,38.908875,38.4185625,97.4124875,0.892484375,37.102660125,0.179303625
Ri,Yes,Insula,8.83333333333333,50898283.3333333,44592564.3333333,87.6233333333333,0.915582,45.4839333333333,41.5889,98.5001666666667,0.819700333333333,37.8745666666667,0.0
RM,Yes,Temporal,8.36,53595860.5,45492157.2,84.706,0.9603347,44.51101,42.34678,97.79367,0.8760717,39.5618002,0.0456353
RT,Yes,Temporal,8.725,47566933.0,38297484.5,80.475,0.96761675,46.158875,44.474225,98.98055,0.85451725,51.53044775,0.070728
RTL,Yes,Temporal,8.48333333333333,50799268.6666667,38964281.5,76.4166666666667,0.916250333333333,45.1542333333333,41.8309666666667,98.9114833333333,0.874453666666667,48.0209756666667,0.0392835
RTM,Yes,Temporal,8.51666666666667,51943744.1666667,37680418.3333333,73.09,0.914771833333333,44.4461,40.7836,98.8280666666667,0.871139333333333,46.4911991666667,0.050376
SII,Yes,Parietal,8.24444444444444,49035960.7777778,41685247.2222222,84.5822222222222,0.992422222222222,38.3302555555556,37.7871666666667,97.1507555555556,0.896229222222222,34.435492,0.105555666666667
STG,Yes,Temporal,8.43333333333333,52819013.0,44059618.1333333,83.1373333333333,0.978413666666667,41.2328333333333,40.0547133333333,97.8918666666667,0.889617266666667,38.6312550666667,0.0199622
TAa,Yes,Temporal,8.2,57039934.8,47959229.2,83.924,0.9954918,40.75248,40.27778,97.7562,0.8677028,33.2555958,0.037069
TEa,Yes,Temporal,7.83333333333333,57238121.6666667,54168979.3333333,94.4833333333333,0.977492333333333,31.3246,30.4186666666667,93.1069666666667,0.916056333333333,12.614475,0.265565666666667
TEad,Yes,Temporal,8.025,51140374.5,43414329.125,84.5025,0.957357,39.2814625,37.3113125,97.134625,0.877798,34.83002225,0.1753295
TEav,Yes,Temporal,8.1125,52674858.2222222,44472107.5555556,84.37,0.960207777777778,38.5930555555556,36.7191666666667,97.1961111111111,0.862809666666667,33.5711548888889,0.109079222222222
TEm,Yes,Temporal,8.25,50826052.1,41405411.9,81.215,0.9697058,40.36882,38.82602,97.70882,0.8752021,40.2000256,0.1187817
TEO,Yes,Temporal,7.9125,53709432.75,43593554.0,81.3125,0.99440675,39.173575,38.6769375,96.9681875,0.884499,39.159999125,0.013704625
TEpd,Yes,Temporal,8.4625,54108805.0,44275120.25,81.7875,0.9672085,43.2157,42.21095,98.4277625,0.89360775,42.38275825,0.0
TEpv,Yes,Temporal,8.11428571428571,54467073.8571429,45120648.7142857,82.7085714285714,0.943228285714286,42.4197428571429,40.9627571428571,97.5166285714286,0.894678285714286,38.6185667142857,0.0210668571428571
TF,Yes,Temporal,8.55,52020539.0,45776562.0,87.99,0.9108415,46.3913,42.2235,98.8279,0.8194505,35.958753,0.0
TFO,Yes,Temporal,8.4625,49658522.875,40672729.625,81.4875,0.996632375,40.8680875,40.3993125,97.686025,0.87807125,45.12375725,0.175935375
TG,Yes,Temporal,7.83333333333333,53746966.25,40092766.5,74.7975,0.82021675,39.796,32.70415,98.726475,0.87463975,36.61230375,0.0
Tha,No,Subcortical,8.05,48459030.8571429,38031054.7142857,78.41,0.964785142857143,46.5604857142857,44.5849571428571,98.7385714285714,0.854124285714286,52.2978452857143,0.419228428571429
TPO,Yes,Temporal,8.21,51932282.4545455,43058719.8181818,82.1909090909091,0.993277818181818,40.4936545454545,39.9199181818182,97.0322636363636,0.894379909090909,37.353338,0.150841727272727
Tpt,Yes,Temporal,7.88333333333333,47692911.5,39199567.1666667,81.6333333333333,0.996581,40.9421666666667,40.4849166666667,97.6202666666667,0.88408,39.2336801666667,0.123491
V1,Yes,Occipital,7.86363636363636,54065930.3636364,40760243.1818182,75.4436363636364,0.900191818181818,37.5664454545455,33.9548818181818,97.7057,0.907788454545455,41.4996211818182,0.122076818181818
V2,Yes,Occipital,8.07333333333333,53871157.4666667,42903528.0666667,80.06,0.9055464,37.7142266666667,34.13324,97.4767666666667,0.895611266666667,36.4017568666667,0.0564797333333333
V3d,Yes,Occipital,9.22,52105704.6,42811629.8,81.964,0.88588,38.27144,34.1723,97.69074,0.8333772,34.0528456,0.0
V3v,Yes,Occipital,8.1125,55673086.875,44986321.875,81.015,0.99724925,36.7354875,36.34195,97.39475,0.901109875,40.866524375,0.159287375
V4,Yes,Occipital,8.01428571428571,50150403.0,42637545.5714286,84.2757142857143,0.982427857142857,39.6811,38.664,97.4211285714286,0.857033285714286,35.8344781428571,0.193467142857143
V4v,Yes,Occipital,8.34285714285714,57902681.2857143,49591281.5714286,85.78,0.996791857142857,37.7794428571429,37.3684428571429,97.6981428571429,0.871887571428571,32.855992,0.0205567142857143
VIP,Yes,Parietal,7.98181818181818,50304991.9090909,43065997.7272727,85.42,0.982417636363636,37.3043727272727,36.3089,96.0826090909091,0.890261090909091,35.8839209090909,0.232366272727273
