signature,gene_symbol
GNP_like,DCC
GNP_like,ADAMTS6
GNP_like,BOC
GNP_like,NTN1
GNP_like,FLRT2
GNP_like,EBF3
GNP_like,CHST11
GNP_like,GLI2
GNP_like,LINC00669
GNP_like,FOXP2
GNP_like,RORA
GNP_like,PID1
GNP_like,SDK1
GNP_like,OSBPL3
GNP_like,PREX1
GNP_like,HS6ST3
GNP_like,DAB1
GNP_like,ZEB1
GNP_like,NDST3
GNP_like,ITPR1
GNP_like,RP11-154H12.3
GNP_like,NFIA
GNP_like,DOCK1
GNP_like,IGFBP5
GNP_like,CA8
GNP_like,DIAPH3
GNP_like,EPHA5
GNP_like,GLI3
GNP_like,RP11-513O17.2
GNP_like,WWOX
GNP_like,SFRP1
GNP_like,ARHGAP6
GNP_like,HS3ST3A1
GNP_like,PAX3
GNP_like,CADM1
GNP_like,BCL11A
GNP_like,CASC15
GNP_like,PCBP3
GNP_like,FOXP1
GNP_like,FREM1
GNP_like,SRGAP1
GNP_like,BRIP1
GNP_like,MKI67
GNP_like,RAD51B
GNP_like,CCSER2
GNP_like,IMMP2L
GNP_like,CCDC88C
GNP_like,SDC2
GNP_like,RNA28S5
GNP_like,GRID2
GNP_like,CNTN5
GNP_like,AC068490.2
GNP_like,GRIK2
GNP_like,FSTL4
GNP_like,EPB41L4A
GNP_like,SEMA6A
GNP_like,CNTN1
GNP_like,NRCAM
GNP_like,PBX3
GNP_like,RYR3
GNP_like,ERBB4
GNP_like,SEZ6L
GNP_like,GRIA4
GNP_like,GAP43
GNP_like,DACH1
GNP_like,PHF20L1
GNP_like,ANK3
GNP_like,PTPRD
GNP_like,FAM19A5
GNP_like,KIF5C
GNP_like,PARM1
GNP_like,RBFOX3
GNP_like,CELF2
GNP_like,GPC5
GNP_like,HS3ST5
GNP_like,RP11-123O10.4
GNP_like,CAMK4
GNP_like,NRG1
GNP_like,GPC6
GNP_like,LPPR1
GNP_like,ST18
GNP_like,RNF220
GNP_like,KCND2
GNP_like,RELN
GNP_like,KLF7
GNP_like,NAV2
GNP_like,ROBO2
GNP_like,MAP1B
GNP_like,LINC01036
GNP_like,PDE1C
GNP_like,MYO16
GNP_like,ELAVL2
GNP_like,GRIP1
GNP_like,KLHL29
GNP_like,GRIN2B
GNP_like,PAM
GNP_like,PRKCA
GNP_like,PPP2R2C
GNP_like,PPFIA2
GNP_like,VWA1
GNP_like,RCAN3
GNP_like,PLK3
GNP_like,ECHDC2
GNP_like,MAGOH
GNP_like,MCOLN3
GNP_like,TRMT13
GNP_like,DRAM2
GNP_like,CNIH4
GNP_like,MYCN
GNP_like,SRSF7
GNP_like,MTHFD2
GNP_like,SOWAHC
GNP_like,RND3
GNP_like,DAPL1
GNP_like,FAP
GNP_like,SP5
GNP_like,PDE1A
GNP_like,NAB1
GNP_like,MYO1B
GNP_like,NOP58
GNP_like,CRYGD
GNP_like,CMTM7
GNP_like,RPL14
GNP_like,GNL3
GNP_like,FLNB
GNP_like,QTRT2
GNP_like,HSPBAP1
GNP_like,GMPS
GNP_like,USP13
GNP_like,BDH1
GNP_like,UGDH
GNP_like,ABRAXAS1
GNP_like,MCUB
GNP_like,CASP6
GNP_like,LARP7
GNP_like,SEC24D
GNP_like,EXOSC9
GNP_like,GAB1
GNP_like,PDLIM3
GNP_like,PRLR
GNP_like,PPWD1
GNP_like,BTF3
GNP_like,RPS23
GNP_like,RHOBTB3
GNP_like,CHD1
GNP_like,RPS14
GNP_like,G3BP1
GNP_like,NPM1
GNP_like,FGFR4
GNP_like,TMEM14C
GNP_like,ITPR3
GNP_like,IP6K3
GNP_like,STK38
GNP_like,SRSF3
GNP_like,EEF1A1
GNP_like,MRAP2
GNP_like,CEP162
GNP_like,NT5DC1
GNP_like,TRMT11
GNP_like,EZR
GNP_like,IGF2BP3
GNP_like,C7orf31
GNP_like,NFE2L3
GNP_like,CBX3
GNP_like,CLDN4
GNP_like,ABCB4
GNP_like,ZC3HAV1
GNP_like,INSIG1
GNP_like,PLP2
GNP_like,RADX
GNP_like,TMEM164
GNP_like,RBMX
GNP_like,FDFT1
GNP_like,TEX15
GNP_like,RPS20
GNP_like,MTFR1
GNP_like,MTERF3
GNP_like,C9orf72
GNP_like,ANKS6
GNP_like,INVS
GNP_like,PHF19
GNP_like,FPGS
GNP_like,RPLP2
GNP_like,PNPLA2
GNP_like,PDE3B
GNP_like,METTL15
GNP_like,ANKRD49
GNP_like,ARHGAP42
GNP_like,PPP2R1B
GNP_like,VSTM4
GNP_like,PDLIM1
GNP_like,FGF8
GNP_like,CALHM2
UBC_like,UNC5D
UBC_like,DGKB
UBC_like,HDAC9
UBC_like,TMEM108
UBC_like,KHDRBS2
UBC_like,CACNA2D1
UBC_like,SEMA3A
UBC_like,ZFHX4
UBC_like,LMX1A
UBC_like,LINC00478
UBC_like,CELF4
UBC_like,CCSER1
UBC_like,SNCAIP
UBC_like,TRPC3
UBC_like,GRIA2
UBC_like,KIAA1239
UBC_like,GRIK1
UBC_like,EOMES
UBC_like,FRMD4B
UBC_like,CASC15
UBC_like,PTPRO
UBC_like,RPH3A
UBC_like,RMST
UBC_like,LINGO2
UBC_like,PHACTR2
UBC_like,LPHN3
UBC_like,DPYD
UBC_like,RFX3
UBC_like,MARCH1
UBC_like,KIAA1109
UBC_like,MAP2
UBC_like,EGFEM1P
UBC_like,LAMA2
UBC_like,SAMD3
UBC_like,FAM19A2
UBC_like,TNIK
UBC_like,KALRN
UBC_like,BMPR1B
UBC_like,CDH4
UBC_like,SESN3
UBC_like,ZNF536
UBC_like,RTN1
UBC_like,PLXNA4
UBC_like,MAML3
UBC_like,LDLRAD4
UBC_like,CDK14
UBC_like,DYNC1I1
UBC_like,NLGN1
UBC_like,RALYL
UBC_like,ST6GAL2
UBC_like,LRP1B
UBC_like,PTPRM
UBC_like,SPOCK3
UBC_like,STXBP5L
UBC_like,FSTL5
UBC_like,NEGR1
UBC_like,KIRREL3
UBC_like,RGS7
UBC_like,TLL1
UBC_like,ST6GALNAC3
UBC_like,CHN2
UBC_like,CNKSR2
UBC_like,GALNTL6
UBC_like,ZNF804A
UBC_like,VWC2
UBC_like,DPP6
UBC_like,ZNF385D
UBC_like,PLCB1
UBC_like,SEMA6D
UBC_like,GSG1L
UBC_like,ST6GALNAC5
UBC_like,MEGF11
UBC_like,ERICH1-AS1
UBC_like,PDE4B
UBC_like,NRXN1
UBC_like,CHL1
UBC_like,PCDH9
UBC_like,PTCHD2
UBC_like,NCAM2
UBC_like,ENOX1
UBC_like,DSCAML1
