gene_symbol	raw_counts
A1BG	28890
A2M	76995
A2ML1	58821
A3GALT2	46574
A4GALT	80183
AAAS	95832
AACS	19995
AADACL3	58404
AADAT	43208
AAGAB	2278
AAK1	28513
AAMDC	44861
AAMP	92466
AANAT	21790
AAR2	46504
AARD	18605
AARS	23438
AARS2	44739
AASDH	41674
AASDHPPT	22681
AASS	41446
AATF	9171
AATK	29647
ABAT	31514
ABCA1	12036
ABCA10	39554
ABCA12	48600
ABCA13	25734
ABCA2	61951
ABCA3	43457
ABCA4	19740
ABCA5	99066
ABCA6	14616
ABCA7	35908
ABCA8	44368
ABCA9	57284
ABCB1	41810
ABCB10	63120
ABCB11	92475
ABCB5	61550
ABCB6	46948
ABCB7	67889
ABCB8	29108
ABCB9	40709
ABCC1	48901
ABCC10	17020
ABCC11	98231
ABCC12	42977
ABCC2	33610
ABCC3	87473
ABCC4	12233
ABCC5	75804
ABCC6	4863
ABCC8	87340
ABCC9	22310
ABCD1	29921
ABCD2	99385
ABCD3	55870
ABCD4	91097
ABCE1	10319
ABCF1	13876
ABCF3	94087
ABCG1	47208
ABCG4	23733
ABCG5	7132
ABCG8	16037
ABHD1	58853
ABHD10	13021
ABHD11	18799
ABHD12	74187
ABHD12B	71917
ABHD13	11475
ABHD14B	2916
ABHD15	48644
ABHD16A	25591
ABHD16B	55822
ABHD17A	51907
ABHD17B	25367
ABHD17C	76301
ABHD18	35643
ABHD2	88100
ABHD3	21213
ABHD4	21795
ABHD5	82199
ABHD6	52629
ABHD8	12672
ABI1	1503
ABI2	79826
ABI3	10414
ABI3BP	57550
ABITRAM	56769
ABL1	60046
ABL2	57840
ABLIM1	19413
ABLIM2	48880
ABLIM3	74197
ABO	57722
ABR	86010
ABRA	96658
ABRACL	53586
ABRAXAS1	66563
ABRAXAS2	79554
ABT1	68518
ABTB1	1137
ABTB2	52009
ACAA1	3839
ACAA2	90821
ACACA	28683
ACACB	78802
ACAD10	29138
ACAD11	40912
ACAD8	46582
ACAD9	22043
ACADL	55031
ACADM	18464
ACADS	28306
ACADSB	48916
ACADVL	6583
ACAN	76115
ACAP1	86331
ACAP2	32207
ACAP3	47705
ACAT1	68892
