gene_symbol	logCPM
A1BG	8.906049
A2M	8.676523
A2ML1	9.034898
A3GALT2	4.373302
A4GALT	7.77994
AAAS	0.389401
AACS	3.42102
AADACL3	3.843779
AADAT	1.79761
AAGAB	1.165187
AAK1	7.408481
AAMDC	11.663545
AAMP	2.274952
AANAT	2.82161
AAR2	3.204905
AARD	1.908624
AARS	1.454584
AARS2	11.250519
AASDH	7.720956
AASDHPPT	4.25332
AASS	8.07061
AATF	5.625838
AATK	10.71158
ABAT	10.513468
ABCA1	1.893727
ABCA10	11.668286
ABCA12	2.244752
ABCA13	11.148415
ABCA2	10.696225
ABCA3	2.823318
ABCA4	3.828873
ABCA5	2.468748
ABCA6	3.289799
ABCA7	8.236597
ABCA8	11.23974
ABCA9	3.040213
ABCB1	0.403437
ABCB10	5.488
ABCB11	4.543283
ABCB5	6.299735
ABCB6	6.252738
ABCB7	4.759625
ABCB8	3.266299
ABCB9	4.621952
ABCC1	0.815366
ABCC10	9.816862
ABCC11	3.538453
ABCC12	10.070994
ABCC2	2.619161
ABCC3	2.757714
ABCC4	6.42899
ABCC5	8.171774
ABCC6	10.127044
ABCC8	8.612453
ABCC9	3.251492
ABCD1	2.886467
ABCD2	10.454877
ABCD3	2.101568
ABCD4	1.407882
ABCE1	0.829482
ABCF1	12.122454
ABCF3	0.978747
ABCG1	5.542043
ABCG4	7.312825
ABCG5	11.136707
ABCG8	9.319215
ABHD1	12.036232
ABHD10	2.907342
ABHD11	2.178736
ABHD12	3.202366
ABHD12B	11.57908
ABHD13	1.132541
ABHD14B	0.446295
ABHD15	6.33949
ABHD16A	5.219804
ABHD16B	5.284942
ABHD17A	5.871607
ABHD17B	4.539977
ABHD17C	5.181268
ABHD18	0.496098
ABHD2	0.919794
ABHD3	7.145763
ABHD4	8.785035
ABHD5	10.04143
ABHD6	4.871175
ABHD8	3.615638
ABI1	1.60289
ABI2	10.170904
ABI3	3.693161
ABI3BP	4.693966
ABITRAM	12.042468
ABL1	8.433593
ABL2	6.460878
ABLIM1	3.414532
ABLIM2	3.109328
ABLIM3	8.238275
ABO	4.303095
ABR	7.132613
ABRA	10.039279
ABRACL	7.103493
ABRAXAS1	10.272196
ABRAXAS2	11.606051
ABT1	11.002103
ABTB1	1.870974
ABTB2	9.949236
ACAA1	6.794902
ACAA2	10.828048
ACACA	0.578199
ACACB	10.389802
ACAD10	8.941021
ACAD11	2.206082
ACAD8	4.850319
ACAD9	1.155476
ACADL	4.450213
ACADM	4.319857
ACADS	5.898944
ACADSB	5.318951
ACADVL	5.99033
ACAN	11.467298
ACAP1	5.315401
ACAP2	2.538535
ACAP3	7.007903
ACAT1	10.563283
ACAT2	4.874155
ACBD3	9.815658
ACBD4	9.473788
ACBD5	8.835932
ACBD6	11.810946
ACBD7	0.55288
ACCS	9.614043
ACCSL	11.971669
ACD	6.737077
ACE	11.805285
ACE2	3.970649
ACER1	9.873469
ACER2	10.316622
ACER3	3.575668
ACHE	10.484566
ACIN1	8.27501
ACKR1	9.877148
ACKR2	10.167088
ACKR3	7.873921
ACKR4	9.574387
ACLY	6.783384
ACMSD	10.50892
ACO1	10.537636
ACO2	6.610271
ACOD1	11.329089
ACOT11	3.055696
ACOT12	2.174051
ACOT13	11.864946
ACOT2	10.08969
ACOT4	8.636883
ACOT6	8.539345
ACOT7	5.366776
ACOT8	1.992225
ACOT9	4.307713
ACOX1	7.47367
ACOX2	2.621789
ACOX3	11.75007
ACP1	8.70021
ACP2	10.270094
ACP4	0.394322
ACP5	11.33274
ACP6	10.617183
ACP7	8.624222
ACPP	3.258593
ACR	5.47558
ACRBP	3.508607
ACRV1	4.854934
ACSBG1	0.529703
ACSBG2	5.213915
ACSF2	5.778741
ACSF3	2.425507
ACSL1	6.484706
ACSL3	11.546442
ACSL4	9.761959
ACSL5	7.822118
ACSL6	4.377626
ACSM3	4.840709
ACSM4	8.641335
ACSM5	2.416066
ACSS1	7.01657
ACSS2	3.002425
ACSS3	4.386826
ACTA1	11.452356
ACTA2	5.326313
ACTB	5.884126
ACTBL2	6.118537
ACTC1	0.337488
ACTG1	7.473971
ACTG2	3.371281
ACTL10	6.858735
ACTL6A	5.174483
ACTL6B	0.689808
ACTL7A	0.739479
ACTL7B	11.074301
ACTL8	4.541727
ACTN1	9.407934
ACTN2	1.226032
ACTN3	4.97155
ACTN4	2.279053
ACTR10	4.592024
ACTR1A	2.152157
ACTR1B	3.105104
ACTR2	12.078456
ACTR3	8.263043
ACTR5	3.001463
ACTR6	2.304717
ACTR8	5.327208
ACTRT1	7.490224
ACTRT3	3.32818
ACVR1	4.452168
ACVR1B	8.040478
ACVR1C	8.094333
ACVR2A	6.816627
ACVR2B	7.007435
ACVRL1	8.657484
ACY3	3.434574
ACYP2	7.219568
ADA2	3.522321
ADAD2	10.676018
ADAL	2.089278
ADAM10	6.832282
ADAM11	12.133602
ADAM12	5.578264
ADAM15	5.148559
ADAM17	7.435781
ADAM18	4.731303
ADAM19	1.01326
ADAM2	5.209434
ADAM22	10.951849
ADAM23	12.0818
ADAM28	10.329463
ADAM32	4.777101
ADAM33	6.28434
ADAM5	0.503652
ADAM8	3.537268
ADAM9	0.645371
ADAMDEC1	0.51643
ADAMTS1	5.724211
ADAMTS10	7.780735
ADAMTS12	9.037132
ADAMTS13	11.216447
ADAMTS14	3.095309
ADAMTS15	7.699142
ADAMTS16	11.133562
ADAMTS17	5.507405
ADAMTS18	1.77803
ADAMTS19	8.450853
ADAMTS2	0.64632
ADAMTS20	11.315147
ADAMTS3	10.335632
ADAMTS4	8.579758
ADAMTS5	12.133683
ADAMTS6	10.06582
ADAMTS7	3.174219
ADAMTS8	4.291648
ADAMTS9	2.060959
ADAMTSL1	5.458941
ADAMTSL2	3.735931
ADAMTSL3	4.066624
ADAMTSL4	1.23477
ADAMTSL5	7.220135
ADAP1	6.847641
ADAP2	2.326001
ADAR	1.706922
ADARB1	7.033054
ADARB2	4.257577
ADAT1	10.625261
ADAT2	11.421088
ADCK1	3.705788
ADCK2	2.481561
ADCK5	5.741683
ADCY1	11.929722
ADCY10	0.660886
ADCY2	2.096
ADCY3	9.638131
ADCY4	3.103967
ADCY5	4.480362
ADCY6	0.943961
ADCY7	1.420458
ADCY8	0.966197
ADCYAP1	2.565992
ADCYAP1R1	9.996848
ADD1	7.826103
ADD2	5.010635
ADD3	10.87508
ADGB	0.512524
ADGRA1	6.361263
ADGRA2	11.942998
ADGRA3	7.811645
ADGRB1	11.03339
ADGRB2	7.31529
ADGRB3	1.121065
ADGRD1	4.597372
ADGRD2	2.00145
ADGRE1	11.379886
ADGRE2	5.785098
ADGRE5	7.782147
ADGRF1	2.604938
ADGRF3	10.764199
ADGRF4	5.71381
ADGRF5	8.553252
ADGRG1	1.585503
ADGRG2	1.282564
ADGRG3	6.86786
ADGRG4	6.479985
ADGRG5	10.227627
ADGRG6	3.721023
ADGRG7	8.977512
ADGRL1	6.589161
ADGRL2	5.512255
ADGRL3	3.460527
ADGRL4	6.635122
ADGRV1	4.322038
ADH1A	0.858695
ADH1B	8.255974
ADH5	1.0618
ADI1	8.529932
ADIG	11.825538
ADIPOQ	11.386555
ADIPOR2	8.745437
ADIRF	2.063207
ADK	9.206211
ADM	6.650843
ADM2	2.617865
ADM5	4.67115
ADNP	10.190348
ADNP2	3.651758
ADO	11.736848
ADORA1	9.50415
ADORA2A	3.011242
ADORA2B	3.664561
ADPGK	9.807057
ADPRH	4.373619
ADPRHL2	10.040191
ADPRM	1.767323
ADRA1A	9.926062
ADRA1B	7.239973
ADRA1D	10.612646
ADRA2A	2.678842
ADRA2B	4.879384
ADRA2C	9.639062
ADRB1	11.957723
ADRB2	5.472444
ADRB3	11.544359
ADRM1	7.385931
ADSL	9.137584
ADSS	7.83513
ADSSL1	11.277772
ADTRP	4.065551
AEBP1	6.309665
AEBP2	2.904711
AEN	6.292559
AFAP1	3.352956
AFAP1L1	2.58214
AFAP1L2	8.781975
AFDN	3.36192
AFF1	4.479664
AFF2	2.608143
AFF3	10.229422
AFF4	7.896012
AFG1L	9.566329
AFG3L2	2.167964
AFM	10.625196
AFMID	5.111878
AFP	9.177595
AFTPH	10.671701
AGA	10.157932
AGAP1	6.333908
AGAP2	9.808736
AGAP3	6.88786
AGBL1	11.16052
AGBL2	6.715208
AGBL3	5.709319
AGBL4	6.860695
AGBL5	5.300631
AGER	9.212994
AGFG1	8.039145
AGFG2	11.128412
AGK	9.904401
AGL	11.783931
AGMAT	1.174402
AGMO	4.380799
AGO1	4.021978
AGO2	7.8535
AGO3	7.165462
AGO4	4.496048
AGPAT1	4.138299
AGPAT2	4.00714
AGPAT3	3.279424
AGPAT4	9.377778
AGPAT5	4.044073
AGPS	10.935134
AGR2	3.117491
AGR3	5.653949
AGRN	10.421217
AGRP	5.253953
AGT	2.468487
AGTPBP1	4.613086
AGTR1	12.234041
AGTRAP	0.548658
AGXT2	2.310716
AHCTF1	12.074734
AHCY	0.988125
AHCYL1	8.940494
AHCYL2	0.368895
AHDC1	3.927563
AHI1	11.465342
AHNAK	2.982822
AHSA1	8.07476
AHSG	4.002284
AICDA	5.875243
AIDA	0.257935
AIF1	0.31089
AIF1L	1.681288
AIFM1	9.881014
AIFM2	1.282015
AIFM3	0.569829
AIG1	5.836557
AIM2	11.400305
AIMP1	8.556795
AIMP2	12.120121
AIP	11.676228
AIPL1	0.798298
AIRE	8.008307
AJAP1	7.004639
AJM1	4.607375
AJUBA	7.168791
AK1	10.233873
AK3	6.281848
AK5	4.458425
AK6	2.500128
AK7	9.834166
AK8	6.990205
AK9	12.118719
AKAIN1	5.192112
AKAP1	4.951038
AKAP10	4.489596
AKAP11	9.116223
AKAP12	7.937316
AKAP13	4.896484
AKAP14	7.395068
AKAP17A	9.241587
AKAP3	5.84909
AKAP4	9.212283
AKAP6	4.596305
AKAP7	2.243696
AKAP8	0.912769
AKAP8L	1.64986
AKAP9	4.458102
AKIP1	2.998394
AKIRIN1	10.87083
AKIRIN2	4.91648
AKNA	7.421766
AKNAD1	11.304301
AKR1A1	10.733918
AKR1B1	10.473042
AKR1C1	6.535731
AKR1C8P	6.795097
AKR1E2	10.847356
AKR7A2	2.963002
AKR7A3	8.676136
AKR7L	2.569761
AKT1	2.810616
AKT1S1	3.214254
AKT2	10.730866
AKT3	8.14163
AKTIP	1.949443
ALAD	2.158102
ALAS1	12.248744
ALAS2	2.136816
ALB	7.676665
ALCAM	4.166107
ALDH16A1	7.938051
ALDH18A1	8.557515
ALDH1A1	8.505587
ALDH1A2	10.10092
ALDH1A3	5.713311
ALDH1B1	0.919669
ALDH1L1	7.308652
ALDH1L2	5.737934
ALDH2	7.779437
ALDH3A1	11.210761
ALDH3A2	3.260006
ALDH3B1	0.678061
ALDH3B2	6.859837
ALDH4A1	10.679763
ALDH5A1	0.780303
ALDH6A1	0.48666
ALDH8A1	10.720974
ALDOB	6.339019
ALDOC	1.972858
ALG11	5.84719
ALG12	6.573127
ALG13	1.005685
ALG14	9.343485
ALG2	12.152609
ALG3	6.189225
ALG5	10.057469
ALG6	1.291737
ALG8	3.097839
ALK	2.663732
ALKAL1	1.077097
ALKAL2	3.414111
ALKBH1	6.892499
ALKBH2	0.316841
ALKBH3	2.394815
ALKBH4	2.240408
ALKBH5	9.970722
