run_id	sample_name	library_name	scientific_name	platform	monkey_id	hemisphere	brain_region_raw	replicate	include	notes	brain_region	region_full_name	lobe	regional_map	roi173	neocortex_flag	meta_lobe	region_group
SRR23470143	19R139_1_S1_L001	19R139-1_S1_L001	Macaca fascicularis	ILLUMINA					0	non-standard library name		nucleus accumbens	Subcortical	NAcc	Striatum	No	Subcortical	Subcortical
SRR23470142	19R139_2_S1_L001	19R139-2_S1_L001	Macaca fascicularis	ILLUMINA					0	non-standard library name		nucleus accumbens	Subcortical	NAcc	Striatum	No	Subcortical	Subcortical
SRR23470141	19R139_3_S1_L001	19R139-3_S1_L001	Macaca fascicularis	ILLUMINA					0	non-standard library name		nucleus accumbens	Subcortical	NAcc	Striatum	No	Subcortical	Subcortical
SRR23470140	19R139_4_S1_L001	19R139-4_S1_L001	Macaca fascicularis	ILLUMINA					0	non-standard library name		nucleus accumbens	Subcortical	NAcc	Striatum	No	Subcortical	Subcortical
SRR22507210	19R348	2_R_7m	Macaca fascicularis	ILLUMINA	2	R	7m		1		7m	area 7m in the medial parietal cortex	Parietal	PCm	7m(PGm)	Yes	Parietal	Parietal
SRR22507122	19R349	2_R_VIP	Macaca fascicularis	ILLUMINA	2	R	VIP		1		VIP	ventral intraparietal area	Parietal	PCip	VIP	Yes	Parietal	Parietal
SRR22506666	19R350	2_R_V4v	Macaca fascicularis	ILLUMINA	2	R	V4v		1		V4v	visual area 4,ventral part	Occipital	TCv	V4v	Yes	Occipital	Occipital
SRR22507148	19R352	2_R_amy	Macaca fascicularis	ILLUMINA	2	R	amy		1		Amy	amygdala	Subcortical	Amyg	amy	No	Subcortical	Subcortical
SRR22506859	19R353	2_R_PL	Macaca fascicularis	ILLUMINA	2	R	PL		1		PL				PL	No	Subcortical	Subcortical
SRR22507063	19R356	2_R_13b	Macaca fascicularis	ILLUMINA	2	R	13b		1		13b	orbitomedial prefrontal cortex,area 13b	Frontal	PFCom	13b	Yes	Frontal	Frontal
SRR22507025	19R357	2_R_11l	Macaca fascicularis	ILLUMINA	2	R	11l		1		11l	obrital prefrontal area,area 11l	Frontal	PFCoi	11l	Yes	Frontal	Frontal
SRR22507012	19R358	2_R_14r	Macaca fascicularis	ILLUMINA	2	R	14r		1		14r	orbitomedial prefrontal area,14r	Frontal	PFCom	14r	Yes	Frontal	Frontal
SRR22507026	19R359	2_R_10m	Macaca fascicularis	ILLUMINA	2	R	10m		1		10m	frontal polar,area 10m[10mc+10mr]	Frontal	PFCm	10m	Yes	Frontal	Frontal
SRR22507024	19R361	2_R_F3	Macaca fascicularis	ILLUMINA	2	R	F3		1		F3	agranular frontal area F3,SMA (supplementary motor area)	Frontal	PMCm	F3	Yes	Frontal	Frontal
SRR22506870	19R364	2_R_G	Macaca fascicularis	ILLUMINA	2	R	G		1		G	gustatory cortex	Insula	G	G	Yes	Insula	Insula
SRR22506758	19R368	2_R_3a/b	Macaca fascicularis	ILLUMINA	2	R	3a/b		1		3a/b	somatosensory areas 3a and 3b	Parietal	S1	3a/b	Yes	Parietal	Parietal
SRR22506890	19R369	2_R_F1	Macaca fascicularis	ILLUMINA	2	R	F1		1		F1	agranular frontal area F1,M1 (Primary motor cortex)	Frontal	M1	F1_(4)	Yes	Frontal	Frontal
SRR22506677	19R371	2_R_V3v	Macaca fascicularis	ILLUMINA	2	R	V3v		1		V3v	visual area 3, ventral part	Occipital	VACv	V3v	Yes	Occipital	Occipital
SRR22506835	19R372	2_R_1-2	Macaca fascicularis	ILLUMINA	2	R	1-2		1		1-2	somatosensory areas 1 and 2	Parietal	S1	1-2	Yes	Parietal	Parietal
SRR22507163	19R376	2_R_AL	Macaca fascicularis	ILLUMINA	2	R	AL		1		AL	anterior lateral, belt region of the auditory cortex	Temporal 	TCs	AL	Yes	Temporal	Temporal
SRR22506848	19R378	2_R_pu	Macaca fascicularis	ILLUMINA	2	R	pu		1		pu				Striatum	No	Subcortical	Subcortical
SRR22506598	19R416	92_R_F6	Macaca fascicularis	ILLUMINA	92	R	F6		1		F6	agranular frontal area F6,PreSMA (presupplementary motor area)	Frontal	PFCdm	F6	Yes	Frontal	Frontal
SRR22506601	19R421	92_R_F2	Macaca fascicularis	ILLUMINA	92	R	F2		1		F2	agranular frontal area F2,PMdc (dorsal premotor cortex, caudal)	Frontal	PMCdl	F2	Yes	Frontal	Frontal
SRR22506602	19R422	92_R_F1	Macaca fascicularis	ILLUMINA	92	R	F1		1		F1	agranular frontal area F1,M1 (Primary motor cortex)	Frontal	M1	F1_(4)	Yes	Frontal	Frontal
SRR22506606	19R423	92_R_cd_rep1	Macaca fascicularis	ILLUMINA	92	R	cd	rep1	1		Cd	caudate	Subcortical	Cau	Striatum	No	Subcortical	Subcortical
SRR22506618	19R425	92_R_3a/b	Macaca fascicularis	ILLUMINA	92	R	3a/b		1		3a/b	somatosensory areas 3a and 3b	Parietal	S1	3a/b	Yes	Parietal	Parietal
SRR22506789	19R426	92_R_1-2	Macaca fascicularis	ILLUMINA	92	R	1-2		1		1-2	somatosensory areas 1 and 2	Parietal	S1	1-2	Yes	Parietal	Parietal
SRR22507054	19R428	92_R_TEad	Macaca fascicularis	ILLUMINA	92	R	TEad		1		TEad	dorsal subregion of anterior TE	Temporal 	TCi	TEad	Yes	Temporal	Temporal
SRR22507053	19R429	92_R_Teav_rep1	Macaca fascicularis	ILLUMINA	92	R	Teav	rep1	1		TEav	ventral subregion of anterior TE	Temporal 	TCi	TEav	Yes	Temporal	Temporal
SRR22507042	19R432	92_R_V4	Macaca fascicularis	ILLUMINA	92	R	V4		1		V4	visual area 4,dorsal part	Occipital	VACd	V4	Yes	Occipital	Occipital
SRR22507083	19R461	92_L_5_rep1	Macaca fascicularis	ILLUMINA	92	L	5	rep1	1		5	somatosensory area 5 (complex)[PE+PEa+PEc]	Parietal	PCs	5	Yes	Parietal	Parietal
SRR22507081	19R462	92_L_7a	Macaca fascicularis	ILLUMINA	92	L	7a		1		7a	visual area 7a	Parietal	PCi	7a_(Opt/PG)	Yes	Parietal	Parietal
SRR22506801	19R464	92_L_TPO	Macaca fascicularis	ILLUMINA	92	L	TPO		1		TPO	area TPO,sts dorsal bank	Temporal 	TCc	TPO	Yes	Temporal	Temporal
SRR22506802	19R465	92_L_TFO	Macaca fascicularis	ILLUMINA	92	L	TFO		1		TFO	area TFO of the parahippocampal cortex	Temporal 	PHC	TFO	Yes	Temporal	Temporal
SRR22506806	19R466	92_L_TEO	Macaca fascicularis	ILLUMINA	92	L	TEO		1		TEO	area TEO	Temporal 	TCc	TEO	Yes	Temporal	Temporal
SRR22506800	19R467	92_L_V1_rep1	Macaca fascicularis	ILLUMINA	92	L	V1	rep1	1		V1	visual area 1, primary visual cortex	Occipital	V1	V1	Yes	Occipital	Occipital
SRR22506798	19R468	92_L_V2_rep1	Macaca fascicularis	ILLUMINA	92	L	V2	rep1	1		V2	visual area 2	Occipital	V2	V2	Yes	Occipital	Occipital
SRR22506795	19R469	92_L_V3v	Macaca fascicularis	ILLUMINA	92	L	V3v		1		V3v	visual area 3, ventral part	Occipital	VACv	V3v	Yes	Occipital	Occipital
SRR22506796	19R470	92_L_V2_rep2	Macaca fascicularis	ILLUMINA	92	L	V2	rep2	1		V2	visual area 2	Occipital	V2	V2	Yes	Occipital	Occipital
