row_type,lambda,donor,n_samples,hit1_hits,hit1_rate,hit3_hits,hit3_rate,statistic,df,p_value
donor,0.25,2,16,2,0.1250000000,5,0.3125000000,,,
donor,0.25,34,218,61,0.2798165138,117,0.5366972477,,,
donor,0.25,67,11,4,0.3636363636,6,0.5454545455,,,
donor,0.25,79,16,5,0.3125000000,6,0.3750000000,,,
donor,0.25,92,113,22,0.1946902655,39,0.3451327434,,,
donor,0.25,qbt,78,8,0.1025641026,31,0.3974358974,,,
donor,0.25,xq,222,56,0.2522522523,110,0.4954954955,,,
donor,0.25,xz,98,15,0.1530612245,37,0.3775510204,,,
donor,0.25,zs,42,9,0.2142857143,17,0.4047619048,,,
donor,0.50,2,16,2,0.1250000000,5,0.3125000000,,,
donor,0.50,34,218,61,0.2798165138,123,0.5642201835,,,
donor,0.50,67,11,4,0.3636363636,5,0.4545454545,,,
donor,0.50,79,16,5,0.3125000000,6,0.3750000000,,,
donor,0.50,92,113,22,0.1946902655,41,0.3628318584,,,
donor,0.50,qbt,78,8,0.1025641026,29,0.3717948718,,,
donor,0.50,xq,222,55,0.2477477477,109,0.4909909910,,,
donor,0.50,xz,98,15,0.1530612245,39,0.3979591837,,,
donor,0.50,zs,42,9,0.2142857143,17,0.4047619048,,,
donor,0.75,2,16,2,0.1250000000,4,0.2500000000,,,
donor,0.75,34,218,61,0.2798165138,118,0.5412844037,,,
donor,0.75,67,11,3,0.2727272727,5,0.4545454545,,,
donor,0.75,79,16,5,0.3125000000,6,0.3750000000,,,
donor,0.75,92,113,22,0.1946902655,42,0.3716814159,,,
donor,0.75,qbt,78,8,0.1025641026,27,0.3461538462,,,
donor,0.75,xq,222,55,0.2477477477,108,0.4864864865,,,
donor,0.75,xz,98,15,0.1530612245,41,0.4183673469,,,
donor,0.75,zs,42,9,0.2142857143,17,0.4047619048,,,
friedman_test,,hit1,,,,,,3.0000000000,2,0.2231301601
friedman_test,,hit3,,,,,,0.5384615385,2,0.7639669352
