region_type,level,top_k,variant,n_patients,n_correct,accuracy,wilson_lo,wilson_hi,cp_lo,cp_hi,ac_lo,ac_hi,bootstrap_lo,bootstrap_hi
# Primary report uses edema region_type with n=64 (after excluding 1 cerebellar out-of-scope case from 65 total),,,,,,,,,,,,,,
# Variant definitions: strict = exact Network match required; tolerant = adjacent Network match allowed (1-neighbor tolerance),,,,,,,,,,,,,,
"# Network Top3 strict: 20/64=31.25%, p=0.4602 (not significant vs 30% uniform null)",,,,,,,,,,,,,,
"# Broad Top3 strict: 51/64=79.69%, p<0.001 (significant)",,,,,,,,,,,,,,
"# Network Top3 tolerant: 29/64=45.31%, p=0.0069 (significant)",,,,,,,,,,,,,,
center,broad,top1,strict,65,15,0.230769,0.145137,0.346449,0.135294,0.351897,0.144084,0.347503,0.138462,0.338462
center,broad,top1,tolerant,65,15,0.230769,0.145137,0.346449,0.135294,0.351897,0.144084,0.347503,0.138462,0.338462
center,broad,top3,strict,65,34,0.523077,0.403794,0.639784,0.395442,0.648540,0.403788,0.639791,0.400000,0.646154
center,broad,top3,tolerant,65,34,0.523077,0.403794,0.639784,0.395442,0.648540,0.403788,0.639791,0.400000,0.646154
center,lobe,top1,strict,65,15,0.230769,0.145137,0.346449,0.135294,0.351897,0.144084,0.347503,0.138462,0.338462
center,lobe,top1,tolerant,65,15,0.230769,0.145137,0.346449,0.135294,0.351897,0.144084,0.347503,0.138462,0.338462
center,lobe,top3,strict,65,34,0.523077,0.403794,0.639784,0.395442,0.648540,0.403788,0.639791,0.400000,0.646154
center,lobe,top3,tolerant,65,34,0.523077,0.403794,0.639784,0.395442,0.648540,0.403788,0.639791,0.400000,0.646154
center,network,top1,strict,65,14,0.215385,0.132866,0.329668,0.123053,0.334887,0.131663,0.330871,0.123077,0.323077
center,network,top1,tolerant,65,14,0.215385,0.132866,0.329668,0.123053,0.334887,0.131663,0.330871,0.123077,0.323077
center,network,top3,strict,65,20,0.307692,0.208869,0.427979,0.199107,0.434473,0.208374,0.428474,0.200000,0.430769
center,network,top3,tolerant,65,20,0.307692,0.208869,0.427979,0.199107,0.434473,0.208374,0.428474,0.200000,0.430769
core,broad,top1,strict,65,7,0.107692,0.053154,0.206015,0.044409,0.209382,0.050248,0.208920,0.046154,0.184615
core,broad,top1,tolerant,65,13,0.200000,0.120778,0.312704,0.111016,0.317688,0.119409,0.314073,0.107692,0.307692
core,broad,top3,strict,65,46,0.707692,0.588037,0.804167,0.581741,0.813971,0.587452,0.804753,0.600000,0.815385
core,broad,top3,tolerant,65,55,0.846154,0.739445,0.914230,0.735216,0.923678,0.737452,0.916223,0.753846,0.923077
core,lobe,top1,strict,65,6,0.092308,0.042995,0.187122,0.034634,0.190166,0.039680,0.190437,0.030769,0.169231
core,lobe,top1,tolerant,65,13,0.200000,0.120778,0.312704,0.111016,0.317688,0.119409,0.314073,0.107692,0.307692
core,lobe,top3,strict,65,48,0.738462,0.620490,0.829819,0.614606,0.839671,0.619694,0.830615,0.630769,0.846154
core,lobe,top3,tolerant,65,55,0.846154,0.739445,0.914230,0.735216,0.923678,0.737452,0.916223,0.753846,0.923077
core,network,top1,strict,65,5,0.076923,0.033303,0.167761,0.025448,0.170456,0.029497,0.171568,0.015385,0.153846
core,network,top1,tolerant,65,11,0.169231,0.097211,0.278166,0.087626,0.282656,0.095451,0.279927,0.076923,0.261538
core,network,top3,strict,65,16,0.246154,0.157579,0.363060,0.147723,0.368729,0.156661,0.363978,0.153846,0.353846
core,network,top3,tolerant,65,30,0.461538,0.345901,0.581468,0.337021,0.589675,0.345883,0.581487,0.338462,0.584615
edema,broad,top1,strict,64,8,0.125000,0.064722,0.227748,0.055543,0.231526,0.062153,0.230317,0.046875,0.218750
edema,broad,top1,tolerant,64,18,0.281250,0.185932,0.401342,0.175966,0.407600,0.185262,0.402012,0.171875,0.390625
edema,broad,top3,strict,64,51,0.796875,0.682861,0.877267,0.677736,0.887171,0.681499,0.878629,0.687500,0.890625
edema,broad,top3,tolerant,64,58,0.906250,0.810169,0.956322,0.807031,0.964813,0.806830,0.959662,0.828125,0.968750
edema,lobe,top1,strict,64,9,0.140625,0.075785,0.246165,0.066374,0.250237,0.073522,0.248428,0.062500,0.234375
edema,lobe,top1,tolerant,64,20,0.312500,0.212309,0.433926,0.202421,0.440594,0.211830,0.434404,0.203125,0.437500
edema,lobe,top3,strict,64,54,0.843750,0.735717,0.912853,0.731366,0.922443,0.733722,0.914848,0.750000,0.921875
edema,lobe,top3,tolerant,64,59,0.921875,0.829802,0.966169,0.827022,0.974146,0.825963,0.970009,0.843750,0.984375
edema,network,top1,strict,64,10,0.156250,0.087147,0.264283,0.077557,0.268634,0.085152,0.266278,0.078125,0.250000
edema,network,top1,tolerant,64,16,0.250000,0.160148,0.368165,0.150156,0.373990,0.159243,0.369070,0.156250,0.359375
edema,network,top3,strict,64,20,0.312500,0.212309,0.433926,0.202421,0.440594,0.211830,0.434404,0.203125,0.437500
edema,network,top3,tolerant,64,29,0.453125,0.337293,0.574266,0.328207,0.582524,0.337264,0.574294,0.328125,0.578125
whole_tumor,broad,top1,strict,65,6,0.092308,0.042995,0.187122,0.034634,0.190166,0.039680,0.190437,0.030769,0.169231
whole_tumor,broad,top1,tolerant,65,10,0.153846,0.085770,0.260555,0.076322,0.264784,0.083777,0.262548,0.076923,0.246154
whole_tumor,broad,top3,strict,65,48,0.738462,0.620490,0.829819,0.614606,0.839671,0.619694,0.830615,0.630769,0.846154
whole_tumor,broad,top3,tolerant,65,54,0.830769,0.721834,0.902789,0.717344,0.912374,0.720073,0.904549,0.738462,0.923077
whole_tumor,lobe,top1,strict,65,7,0.107692,0.053154,0.206015,0.044409,0.209382,0.050248,0.208920,0.046154,0.184615
whole_tumor,lobe,top1,tolerant,65,12,0.184615,0.108888,0.295542,0.099200,0.300284,0.107334,0.297096,0.092308,0.292308
whole_tumor,lobe,top3,strict,65,52,0.800000,0.687296,0.879222,0.682312,0.888984,0.685927,0.880591,0.692308,0.892308
whole_tumor,lobe,top3,tolerant,65,55,0.846154,0.739445,0.914230,0.735216,0.923678,0.737452,0.916223,0.753846,0.923077
whole_tumor,network,top1,strict,65,5,0.076923,0.033303,0.167761,0.025448,0.170456,0.029497,0.171568,0.015385,0.153846
whole_tumor,network,top1,tolerant,65,9,0.138462,0.074590,0.242683,0.065320,0.246638,0.072334,0.244939,0.061538,0.230769
whole_tumor,network,top3,strict,65,15,0.230769,0.145137,0.346449,0.135294,0.351897,0.144084,0.347503,0.138462,0.338462
whole_tumor,network,top3,tolerant,65,24,0.369231,0.262292,0.490764,0.252794,0.498001,0.262072,0.490984,0.261538,0.492308
edema,manuscript_summary,top3,strict,64,"network=20,broad=51","network=0.3125,broad=0.7969",,,,,,,p_network=0.4602,p_broad=0.0000000000
