sample_id,donor_id,technical_replicate_group_or_tissue_id,network_evaluable,group_evaluable,exact_evaluable,network_single_label_subset,group_single_label_subset,exact_single_label_subset,network_truth_label_count,group_truth_label_count,exact_truth_label_count,source_group_truth_label_count_in_candidate_beam,source_group_evaluation_status,source_group_truth_in_candidate_beam,reason_network_not_evaluable,reason_group_not_evaluable,reason_exact_not_evaluable,network_top1_hit,network_top3_hit,group_top1_hit,group_top3_hit,exact_top1_hit,exact_top3_hit
H0351_2001|S010002,H0351_2001,S010002,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010003,H0351_2001,S010003,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010006,H0351_2001,S010006,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010007,H0351_2001,S010007,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010017,H0351_2001,S010017,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010021,H0351_2001,S010021,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010034,H0351_2001,S010034,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010035,H0351_2001,S010035,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010044,H0351_2001,S010044,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010046,H0351_2001,S010046,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010047,H0351_2001,S010047,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010048,H0351_2001,S010048,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010050,H0351_2001,S010050,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010052,H0351_2001,S010052,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010053,H0351_2001,S010053,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010055,H0351_2001,S010055,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010057,H0351_2001,S010057,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010059,H0351_2001,S010059,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010061,H0351_2001,S010061,True,True,True,True,True,True,1,,1,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010062,H0351_2001,S010062,True,True,True,True,True,True,1,,1,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010063,H0351_2001,S010063,True,True,True,True,True,True,1,,1,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010064,H0351_2001,S010064,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,False,True,True,True,False,False
H0351_2001|S010066,H0351_2001,S010066,True,True,True,True,True,True,1,,1,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010067,H0351_2001,S010067,True,True,True,True,True,True,1,,1,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010070,H0351_2001,S010070,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010071,H0351_2001,S010071,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010081,H0351_2001,S010081,True,True,True,True,True,True,1,,1,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010087,H0351_2001,S010087,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010097,H0351_2001,S010097,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010111,H0351_2001,S010111,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010113,H0351_2001,S010113,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010117,H0351_2001,S010117,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010127,H0351_2001,S010127,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010128,H0351_2001,S010128,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010140,H0351_2001,S010140,True,True,True,False,False,False,2,,3,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,False,True
H0351_2001|S010143,H0351_2001,S010143,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010144,H0351_2001,S010144,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
