class,support,tp,fp,fn,predicted_positive,precision,recall,f1
STG,15,2,7,13,9,0.2222222222222222,0.13333333333333333,0.16666666666666666
V2,15,3,2,12,5,0.6,0.2,0.3
1-2,12,0,8,12,8,0.0,0.0,0.0
10m,12,4,12,8,16,0.25,0.3333333333333333,0.2857142857142857
10o,12,2,7,10,9,0.2222222222222222,0.16666666666666666,0.19047619047619047
24c,12,1,9,11,10,0.1,0.08333333333333333,0.09090909090909091
F1,12,6,14,6,20,0.3,0.5,0.375
F2,12,3,7,9,10,0.3,0.25,0.2727272727272727
3a/b,11,2,7,9,9,0.2222222222222222,0.18181818181818182,0.2
TPO,11,1,4,10,5,0.2,0.09090909090909091,0.125
V1,11,9,6,2,15,0.6,0.8181818181818182,0.6923076923076923
VIP,11,3,7,8,10,0.3,0.2727272727272727,0.2857142857142857
11l,10,1,6,9,7,0.14285714285714285,0.1,0.11764705882352941
13b,10,1,3,9,4,0.25,0.1,0.14285714285714285
14r,10,7,6,3,13,0.5384615384615384,0.7,0.6086956521739131
45,10,1,2,9,3,0.3333333333333333,0.1,0.15384615384615385
46d,10,3,5,7,8,0.375,0.3,0.3333333333333333
5,10,2,13,8,15,0.13333333333333333,0.2,0.16
7a,10,0,3,10,3,0.0,0.0,0.0
7op,10,1,11,9,12,0.08333333333333333,0.1,0.09090909090909091
AL,10,1,16,9,17,0.058823529411764705,0.1,0.07407407407407407
F3,10,4,12,6,16,0.25,0.4,0.3076923076923077
G,10,1,0,9,1,1.0,0.1,0.18181818181818182
Id,10,3,7,7,10,0.3,0.3,0.3
Ig,10,2,8,8,10,0.2,0.2,0.2
LIPd,10,2,7,8,9,0.2222222222222222,0.2,0.21052631578947367
RM,10,1,3,9,4,0.25,0.1,0.14285714285714285
TEm,10,2,3,8,5,0.4,0.2,0.26666666666666666
13l,9,5,9,4,14,0.35714285714285715,0.5555555555555556,0.43478260869565216
46v,9,1,5,8,6,0.16666666666666666,0.1111111111111111,0.13333333333333333
7b,9,0,4,9,4,0.0,0.0,0.0
8A,9,1,5,8,6,0.16666666666666666,0.1111111111111111,0.13333333333333333
8Bd,9,1,6,8,7,0.14285714285714285,0.1111111111111111,0.125
8Bs,9,0,6,9,6,0.0,0.0,0.0
9d,9,0,6,9,6,0.0,0.0,0.0
A1,9,4,2,5,6,0.6666666666666666,0.4444444444444444,0.5333333333333333
F4,9,0,2,9,2,0.0,0.0,0.0
GP,9,7,0,2,7,1.0,0.7777777777777778,0.875
LIPv,9,0,8,9,8,0.0,0.0,0.0
