class,support,tp,fp,fn,predicted_positive,precision,recall,f1
Temporal,193,89,45,104,134,0.664179104477612,0.46113989637305697,0.5443425076452599
Lateral Prefrontal Cortex,107,42,24,65,66,0.6363636363636364,0.3925233644859813,0.48554913294797686
Orbitomedial Prefrontal Cortex (OMPFC),104,47,32,57,79,0.5949367088607594,0.4519230769230769,0.5136612021857924
"Parietal, and Parieto-occipital region",98,71,97,27,168,0.4226190476190476,0.7244897959183674,0.5338345864661654
Operculum/Insula,81,49,90,32,139,0.35251798561151076,0.6049382716049383,0.44545454545454544
Occipital/Temporal,70,48,16,22,64,0.75,0.6857142857142857,0.7164179104477612
Frontal (agranular frontal motor areas),65,36,23,29,59,0.6101694915254238,0.5538461538461539,0.5806451612903226
Subcortical,54,41,0,13,41,1.0,0.7592592592592593,0.8631578947368421
Cingulate gyrus,39,24,30,15,54,0.4444444444444444,0.6153846153846154,0.5161290322580645
Hippocampal formation,8,8,7,0,15,0.5333333333333333,1.0,0.6956521739130435
