reference,family,background_n,panel_n,marker_n,overlap_n,expected_overlap,fold_enrichment,p_over,overlap_genes,bh_q_7,significant_q05
Chiou2023_rhesus_primary,Excitatory neuron,21668,200,77,9,0.7107254938157652,12.663116883116883,3.810830885614746e-08,CADPS2;CDH12;CUX2;FAM81A;FSTL4;KCNIP4;OLFM1;POU6F2;PTPRT,2.667581619930322e-07,True
Chiou2023_rhesus_primary,Inhibitory neuron,21668,200,83,6,0.7661067011260846,7.831807228915662,0.00011998013727196817,CDH13;DRD2;GRIN2A;KCNIP4;PCP4;PTPRT,0.00041993048045188856,True
Chiou2023_rhesus_primary,Astrocyte,21668,200,27,1,0.24921543289643713,4.0125925925925925,0.22160700761275148,KCNIP4,0.2834885881402916,False
Chiou2023_rhesus_primary,Oligodendrocyte,21668,200,30,1,0.27690603655159685,3.611333333333333,0.24299021840596421,KCNIP4,0.2834885881402916,False
Chiou2023_rhesus_primary,OPC,21668,200,10,1,0.0923020121838656,10.834,0.08857866220316045,LHFPL3,0.20668354514070772,False
Chiou2023_rhesus_primary,Microglia,21668,200,25,0,0.23075503045966403,0.0,1.0,,1.0,False
Chiou2023_rhesus_primary,Vascular,21668,200,29,1,0.26767583533321027,3.7358620689655173,0.23592823061181298,KCNIP4,0.2834885881402916,False
Siletti2023_human_sensitivity,Excitatory neuron,21668,200,407,9,3.75669189588333,2.3957248157248157,0.013623741193638919,CHAT;ECEL1;ISL1;LHX8;MET;NTRK1;OTOS;PCSK1;TWIST1,0.04768309417773622,True
Siletti2023_human_sensitivity,Inhibitory neuron,21668,200,317,13,2.92597378622854,4.442965299684542,8.41623410338846e-06,CRHBP;DLX1;DRD2;ECEL1;HTR3A;ISL1;KCNS3;LHX8;LPL;MAFB;SIX3;SLC35D3;VIP,5.8913638723719216e-05,True
Siletti2023_human_sensitivity,Astrocyte,21668,200,35,1,0.32305704264352963,3.095428571428571,0.2773377496052872,EDNRB,0.6471214157456701,False
Siletti2023_human_sensitivity,Oligodendrocyte,21668,200,23,0,0.2122946280228909,0.0,1.0,,1.0,False
Siletti2023_human_sensitivity,OPC,21668,200,41,0,0.378438249953849,0.0,1.0,,1.0,False
Siletti2023_human_sensitivity,Microglia,21668,200,35,0,0.32305704264352963,0.0,1.0,,1.0,False
Siletti2023_human_sensitivity,Vascular,21668,200,52,0,0.47997046335610116,0.0,1.0,,1.0,False
