reference,family,marker_gene
Siletti2023_human,Excitatory neuron,AACSP1
Siletti2023_human,Excitatory neuron,ABCA12
Siletti2023_human,Excitatory neuron,ABCA13
Siletti2023_human,Excitatory neuron,ABCB11
Siletti2023_human,Excitatory neuron,ABCC9
Siletti2023_human,Excitatory neuron,AC002331.1
Siletti2023_human,Excitatory neuron,AC002480.2
Siletti2023_human,Excitatory neuron,AC004052.1
Siletti2023_human,Excitatory neuron,AC004080.1
Siletti2023_human,Excitatory neuron,AC004160.1
Siletti2023_human,Excitatory neuron,AC004704.1
Siletti2023_human,Excitatory neuron,AC004862.1
Siletti2023_human,Excitatory neuron,AC004870.4
Siletti2023_human,Excitatory neuron,AC004917.1
Siletti2023_human,Excitatory neuron,AC005064.1
Siletti2023_human,Excitatory neuron,AC005100.1
Siletti2023_human,Excitatory neuron,AC005482.1
Siletti2023_human,Excitatory neuron,AC005909.2
Siletti2023_human,Excitatory neuron,AC006065.4
Siletti2023_human,Excitatory neuron,AC006296.3
Siletti2023_human,Excitatory neuron,AC006487.1
Siletti2023_human,Excitatory neuron,AC006974.2
Siletti2023_human,Excitatory neuron,AC007422.1
Siletti2023_human,Excitatory neuron,AC007614.1
Siletti2023_human,Excitatory neuron,AC007656.2
Siletti2023_human,Excitatory neuron,AC007877.1
Siletti2023_human,Excitatory neuron,AC008127.1
Siletti2023_human,Excitatory neuron,AC008415.1
Siletti2023_human,Excitatory neuron,AC008459.1
Siletti2023_human,Excitatory neuron,AC008568.1
Siletti2023_human,Excitatory neuron,AC008662.1
Siletti2023_human,Excitatory neuron,AC008696.2
Siletti2023_human,Excitatory neuron,AC009081.2
Siletti2023_human,Excitatory neuron,AC009411.2
Siletti2023_human,Excitatory neuron,AC009878.2
Siletti2023_human,Excitatory neuron,AC009975.1
Siletti2023_human,Excitatory neuron,AC010230.1
Siletti2023_human,Excitatory neuron,AC010478.1
Siletti2023_human,Excitatory neuron,AC010511.1
Siletti2023_human,Excitatory neuron,AC011287.2
Siletti2023_human,Excitatory neuron,AC011754.1
Siletti2023_human,Excitatory neuron,AC012078.2
Siletti2023_human,Excitatory neuron,AC012409.2
Siletti2023_human,Excitatory neuron,AC012501.2
Siletti2023_human,Excitatory neuron,AC012535.1
Siletti2023_human,Excitatory neuron,AC012593.2
Siletti2023_human,Excitatory neuron,AC012668.3
Siletti2023_human,Excitatory neuron,AC015943.1
Siletti2023_human,Excitatory neuron,AC016044.1
Siletti2023_human,Excitatory neuron,AC016074.2
Siletti2023_human,Excitatory neuron,AC016598.1
Siletti2023_human,Excitatory neuron,AC016598.2
Siletti2023_human,Excitatory neuron,AC016687.2
Siletti2023_human,Excitatory neuron,AC016687.3
Siletti2023_human,Excitatory neuron,AC016766.1
Siletti2023_human,Excitatory neuron,AC016987.1
Siletti2023_human,Excitatory neuron,AC017037.5
Siletti2023_human,Excitatory neuron,AC018680.1
Siletti2023_human,Excitatory neuron,AC018697.1
Siletti2023_human,Excitatory neuron,AC018742.1
Siletti2023_human,Excitatory neuron,AC019068.1
Siletti2023_human,Excitatory neuron,AC019127.1
Siletti2023_human,Excitatory neuron,AC020637.1
Siletti2023_human,Excitatory neuron,AC020659.1
Siletti2023_human,Excitatory neuron,AC020704.1
Siletti2023_human,Excitatory neuron,AC021088.1
Siletti2023_human,Excitatory neuron,AC021134.1
Siletti2023_human,Excitatory neuron,AC021134.2
Siletti2023_human,Excitatory neuron,AC021594.2
Siletti2023_human,Excitatory neuron,AC021613.1
