reference,family,marker_gene
Chiou2023_rhesus,Excitatory neuron,ANKS1B
Chiou2023_rhesus,Excitatory neuron,ATP1B1
Chiou2023_rhesus,Excitatory neuron,C10H20ORF194
Chiou2023_rhesus,Excitatory neuron,CADM2
Chiou2023_rhesus,Excitatory neuron,CADPS2
Chiou2023_rhesus,Excitatory neuron,CALM3
Chiou2023_rhesus,Excitatory neuron,CAMK2A
Chiou2023_rhesus,Excitatory neuron,CAMK2N1
Chiou2023_rhesus,Excitatory neuron,CDH12
Chiou2023_rhesus,Excitatory neuron,CKB
Chiou2023_rhesus,Excitatory neuron,CLSTN2
Chiou2023_rhesus,Excitatory neuron,CLU
Chiou2023_rhesus,Excitatory neuron,CNTN5
Chiou2023_rhesus,Excitatory neuron,CNTNAP5
Chiou2023_rhesus,Excitatory neuron,CRTC1
Chiou2023_rhesus,Excitatory neuron,CSMD1
Chiou2023_rhesus,Excitatory neuron,CSMD3
Chiou2023_rhesus,Excitatory neuron,CUX2
Chiou2023_rhesus,Excitatory neuron,CYP46A1
Chiou2023_rhesus,Excitatory neuron,DCC
Chiou2023_rhesus,Excitatory neuron,DLG2
Chiou2023_rhesus,Excitatory neuron,DPP10
Chiou2023_rhesus,Excitatory neuron,ECHDC1
Chiou2023_rhesus,Excitatory neuron,EIF4G3
Chiou2023_rhesus,Excitatory neuron,ENC1
Chiou2023_rhesus,Excitatory neuron,ENSMMUG00000000983
Chiou2023_rhesus,Excitatory neuron,ENSMMUG00000010266
Chiou2023_rhesus,Excitatory neuron,ENSMMUG00000017966
Chiou2023_rhesus,Excitatory neuron,ENSMMUG00000052127
Chiou2023_rhesus,Excitatory neuron,ENSMMUG00000054358
Chiou2023_rhesus,Excitatory neuron,ENSMMUG00000058478
Chiou2023_rhesus,Excitatory neuron,ENSMMUG00000060287
Chiou2023_rhesus,Excitatory neuron,ENSMMUG00000062077
Chiou2023_rhesus,Excitatory neuron,EPHA6
Chiou2023_rhesus,Excitatory neuron,FAM155A
Chiou2023_rhesus,Excitatory neuron,FAM81A
Chiou2023_rhesus,Excitatory neuron,FOXK2
Chiou2023_rhesus,Excitatory neuron,FSTL4
Chiou2023_rhesus,Excitatory neuron,GABRB3
Chiou2023_rhesus,Excitatory neuron,GALNTL6
Chiou2023_rhesus,Excitatory neuron,GFAP
Chiou2023_rhesus,Excitatory neuron,GPC5
Chiou2023_rhesus,Excitatory neuron,GPHN
Chiou2023_rhesus,Excitatory neuron,GRID2
