"true_p","icc","n_donors","total_n","n_sim","bootstrap_draws","percentile_coverage","percentile_mean_width","cr1_t8_coverage","cr1_t8_mean_width","cr2_satt_coverage","cr2_satt_mean_width"
0.45,0.05,9,819,2000,999,0.854,0.163528160751465,0.8765,0.199283777583111,0.9305,0.2488699945672
0.72,0.05,9,819,2000,999,0.856,0.14715800495994,0.8835,0.180060178299797,0.936,0.22506845387332
0.92,0.05,9,819,2000,999,0.847,0.0858942968711764,0.865,0.105457447788322,0.9075,0.131684113336475
0.45,0.1,9,819,2000,999,0.862,0.227441102225795,0.8805,0.278674236520204,0.9325,0.348645490929063
0.72,0.1,9,819,2000,999,0.858,0.199690658519942,0.881,0.244800973090737,0.918,0.306122847532314
0.92,0.1,9,819,2000,999,0.803,0.11108821576094,0.8135,0.137311395086297,0.8555,0.171270462698364
0.45,0.2,9,819,2000,999,0.8795,0.316095840862746,0.9015,0.389160022157468,0.941,0.48752559955525
0.72,0.2,9,819,2000,999,0.8575,0.274413395963858,0.873,0.33808786624135,0.918,0.4231021883939
0.92,0.2,9,819,2000,999,0.764,0.142766692152145,0.765,0.17977386690301,0.8095,0.224327810499245
0.45,0.3,9,819,2000,999,0.871,0.384601149751061,0.884,0.473829930536308,0.928,0.593600270277696
0.72,0.3,9,819,2000,999,0.8535,0.336913702234826,0.8575,0.417946613760222,0.908,0.523657107652036
0.92,0.3,9,819,2000,999,0.737,0.169308493102277,0.7235,0.215249291587082,0.76,0.268244027448982
