donor,truth,predicted,count
2,Cingulate gyrus,Cingulate gyrus,0
2,Cingulate gyrus,Frontal (agranular frontal motor areas),0
2,Cingulate gyrus,Hippocampal formation,0
2,Cingulate gyrus,Lateral Prefrontal Cortex,0
2,Cingulate gyrus,Occipital/Temporal,0
2,Cingulate gyrus,Operculum/Insula,0
2,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),0
2,Cingulate gyrus,"Parietal, and Parieto-occipital region",0
2,Cingulate gyrus,Subcortical,0
2,Cingulate gyrus,Temporal,0
2,Frontal (agranular frontal motor areas),Cingulate gyrus,0
2,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),1
2,Frontal (agranular frontal motor areas),Hippocampal formation,0
2,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,0
2,Frontal (agranular frontal motor areas),Occipital/Temporal,0
2,Frontal (agranular frontal motor areas),Operculum/Insula,0
2,Frontal (agranular frontal motor areas),Orbitomedial Prefrontal Cortex (OMPFC),0
2,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region",1
2,Frontal (agranular frontal motor areas),Subcortical,0
2,Frontal (agranular frontal motor areas),Temporal,0
2,Hippocampal formation,Cingulate gyrus,0
2,Hippocampal formation,Frontal (agranular frontal motor areas),0
2,Hippocampal formation,Hippocampal formation,0
2,Hippocampal formation,Lateral Prefrontal Cortex,0
2,Hippocampal formation,Occipital/Temporal,0
2,Hippocampal formation,Operculum/Insula,0
2,Hippocampal formation,Orbitomedial Prefrontal Cortex (OMPFC),0
2,Hippocampal formation,"Parietal, and Parieto-occipital region",0
2,Hippocampal formation,Subcortical,0
2,Hippocampal formation,Temporal,0
2,Lateral Prefrontal Cortex,Cingulate gyrus,0
2,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),0
2,Lateral Prefrontal Cortex,Hippocampal formation,0
2,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,0
2,Lateral Prefrontal Cortex,Occipital/Temporal,0
2,Lateral Prefrontal Cortex,Operculum/Insula,0
2,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),0
2,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region",0
2,Lateral Prefrontal Cortex,Subcortical,0
2,Lateral Prefrontal Cortex,Temporal,0
2,Occipital/Temporal,Cingulate gyrus,0
2,Occipital/Temporal,Frontal (agranular frontal motor areas),0
2,Occipital/Temporal,Hippocampal formation,0
2,Occipital/Temporal,Lateral Prefrontal Cortex,0
2,Occipital/Temporal,Occipital/Temporal,2
2,Occipital/Temporal,Operculum/Insula,0
2,Occipital/Temporal,Orbitomedial Prefrontal Cortex (OMPFC),0
2,Occipital/Temporal,"Parietal, and Parieto-occipital region",0
2,Occipital/Temporal,Subcortical,0
2,Occipital/Temporal,Temporal,0
2,Operculum/Insula,Cingulate gyrus,0
2,Operculum/Insula,Frontal (agranular frontal motor areas),0
2,Operculum/Insula,Hippocampal formation,0
2,Operculum/Insula,Lateral Prefrontal Cortex,0
2,Operculum/Insula,Occipital/Temporal,0
2,Operculum/Insula,Operculum/Insula,0
2,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),0
2,Operculum/Insula,"Parietal, and Parieto-occipital region",0
2,Operculum/Insula,Subcortical,0
2,Operculum/Insula,Temporal,1
2,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,0
2,Orbitomedial Prefrontal Cortex (OMPFC),Frontal (agranular frontal motor areas),0
2,Orbitomedial Prefrontal Cortex (OMPFC),Hippocampal formation,0
2,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,0
2,Orbitomedial Prefrontal Cortex (OMPFC),Occipital/Temporal,0
2,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,0
2,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),0
2,Orbitomedial Prefrontal Cortex (OMPFC),"Parietal, and Parieto-occipital region",0
2,Orbitomedial Prefrontal Cortex (OMPFC),Subcortical,0
2,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,4
2,"Parietal, and Parieto-occipital region",Cingulate gyrus,0
2,"Parietal, and Parieto-occipital region",Frontal (agranular frontal motor areas),1
2,"Parietal, and Parieto-occipital region",Hippocampal formation,0
2,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,0
2,"Parietal, and Parieto-occipital region",Occipital/Temporal,3
2,"Parietal, and Parieto-occipital region",Operculum/Insula,0
2,"Parietal, and Parieto-occipital region",Orbitomedial Prefrontal Cortex (OMPFC),0
2,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region",0
2,"Parietal, and Parieto-occipital region",Subcortical,0
2,"Parietal, and Parieto-occipital region",Temporal,0
2,Subcortical,Cingulate gyrus,0
2,Subcortical,Frontal (agranular frontal motor areas),0
2,Subcortical,Hippocampal formation,0
2,Subcortical,Lateral Prefrontal Cortex,0
2,Subcortical,Occipital/Temporal,0
2,Subcortical,Operculum/Insula,0
2,Subcortical,Orbitomedial Prefrontal Cortex (OMPFC),0
2,Subcortical,"Parietal, and Parieto-occipital region",0
2,Subcortical,Subcortical,3
2,Subcortical,Temporal,0
2,Temporal,Cingulate gyrus,0
2,Temporal,Frontal (agranular frontal motor areas),0
2,Temporal,Hippocampal formation,0
2,Temporal,Lateral Prefrontal Cortex,0
2,Temporal,Occipital/Temporal,0
2,Temporal,Operculum/Insula,0
2,Temporal,Orbitomedial Prefrontal Cortex (OMPFC),0
2,Temporal,"Parietal, and Parieto-occipital region",0
2,Temporal,Subcortical,0
2,Temporal,Temporal,1
34,Cingulate gyrus,Cingulate gyrus,2
34,Cingulate gyrus,Frontal (agranular frontal motor areas),0
34,Cingulate gyrus,Hippocampal formation,0
34,Cingulate gyrus,Lateral Prefrontal Cortex,4
34,Cingulate gyrus,Occipital/Temporal,0
34,Cingulate gyrus,Operculum/Insula,2
34,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),1
34,Cingulate gyrus,"Parietal, and Parieto-occipital region",0
34,Cingulate gyrus,Subcortical,0
34,Cingulate gyrus,Temporal,1
34,Frontal (agranular frontal motor areas),Cingulate gyrus,0
34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),14
34,Frontal (agranular frontal motor areas),Hippocampal formation,0
34,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,2
34,Frontal (agranular frontal motor areas),Occipital/Temporal,0
34,Frontal (agranular frontal motor areas),Operculum/Insula,0
34,Frontal (agranular frontal motor areas),Orbitomedial Prefrontal Cortex (OMPFC),1
34,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region",0
34,Frontal (agranular frontal motor areas),Subcortical,0
34,Frontal (agranular frontal motor areas),Temporal,1
34,Hippocampal formation,Cingulate gyrus,0
34,Hippocampal formation,Frontal (agranular frontal motor areas),0
34,Hippocampal formation,Hippocampal formation,1
34,Hippocampal formation,Lateral Prefrontal Cortex,0
