sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
19R348,2,"Parietal, and Parieto-occipital region",Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
19R349,2,"Parietal, and Parieto-occipital region",Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
19R350,2,Occipital/Temporal,Occipital/Temporal,Occipital/Temporal | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R356,2,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,200
19R357,2,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,1,200
19R358,2,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R359,2,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R361,2,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Temporal,1,1,200
19R369,2,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Occipital/Temporal | Temporal",0,0,200
19R372,2,"Parietal, and Parieto-occipital region",Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Occipital/Temporal | Parietal, and Parieto-occipital region",0,1,200
19R376,2,Temporal,Temporal,Temporal | Operculum/Insula | Cingulate gyrus,1,1,200
19R378,2,Subcortical,Subcortical,Subcortical | Hippocampal formation | Frontal (agranular frontal motor areas),1,1,200
19R352,2,Subcortical,Subcortical,Subcortical | Hippocampal formation | Occipital/Temporal,1,1,200
19R353,2,Subcortical,Subcortical,Subcortical | Temporal | Frontal (agranular frontal motor areas),1,1,200
19R364,2,Operculum/Insula,Temporal,Temporal | Subcortical | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
19R368,2,"Parietal, and Parieto-occipital region",Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
19R371,2,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",1,1,200
19R627,34,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Lateral Prefrontal Cortex | Operculum/Insula,0,0,200
19R628,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",1,1,200
19R629,34,Lateral Prefrontal Cortex,Temporal,Temporal | Lateral Prefrontal Cortex | Operculum/Insula,0,1,200
19R630,34,Lateral Prefrontal Cortex,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
19R631,34,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,0,200
19R632,34,Lateral Prefrontal Cortex,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
19R633,34,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Temporal | Parietal, and Parieto-occipital region",0,0,200
19R634,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas)",1,1,200
19R635,34,Lateral Prefrontal Cortex,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R636,34,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R637,34,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R638,34,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
19R639,34,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex | Temporal,1,1,200
19R640,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Temporal,1,1,200
19R641,34,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
19R642,34,Lateral Prefrontal Cortex,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
19R643,34,Cingulate gyrus,Operculum/Insula,Operculum/Insula | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R644,34,Cingulate gyrus,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
19R645,34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Temporal,1,1,200
19R646,34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R647,34,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Temporal | Lateral Prefrontal Cortex,0,1,200
19R648,34,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",0,1,200
19R649,34,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R650,34,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Subcortical | Operculum/Insula,1,1,200
19R651,34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R652,34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R653,34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Temporal,1,1,200
19R654,34,"Parietal, and Parieto-occipital region",Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,0,200
19R655,34,"Parietal, and Parieto-occipital region",Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,0,200
19R656,34,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
19R657,34,Subcortical,Subcortical,Subcortical | Hippocampal formation | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R658,34,Subcortical,Subcortical,Subcortical | Hippocampal formation | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R659,34,Operculum/Insula,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,0,1,200
19R660,34,Temporal,Temporal,Temporal | Lateral Prefrontal Cortex | Operculum/Insula,1,1,200
19R661,34,Temporal,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,1,1,200
19R662,34,Temporal,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,0,200
19R663,34,"Parietal, and Parieto-occipital region",Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
19R664,34,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",0,1,200
19R665,34,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
19R666,34,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Operculum/Insula",1,1,200
19R667,34,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R668,34,Temporal,Temporal,"Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",1,1,200
19R669,34,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Orbitomedial Prefrontal Cortex (OMPFC)",1,1,200
19R670,34,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R671,34,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",1,1,200
19R672,34,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R673,34,Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
19R674,34,Occipital/Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,1,200
19R675,34,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Orbitomedial Prefrontal Cortex (OMPFC)",1,1,200
19R676,34,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R677,34,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",0,1,200
19R678,34,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
19R679,34,Occipital/Temporal,Subcortical,Subcortical | Hippocampal formation | Operculum/Insula,0,0,200
19R680,34,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
19R722,34,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
19R723,34,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
19R724,34,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
19R725,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R726,34,Lateral Prefrontal Cortex,Temporal,Temporal | Lateral Prefrontal Cortex | Operculum/Insula,0,1,200
19R727,34,Lateral Prefrontal Cortex,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R728,34,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R729,34,Lateral Prefrontal Cortex,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
19R730,34,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Temporal | Lateral Prefrontal Cortex,0,1,200
19R731,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Operculum/Insula,1,1,200
19R732,34,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
19R733,34,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R734,34,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
19R735,34,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R736,34,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,200
19R737,34,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,0,200
19R739,34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R740,34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R741,34,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
19R742,34,Lateral Prefrontal Cortex,Temporal,"Temporal | Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas)",0,0,200
19R743,34,Lateral Prefrontal Cortex,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,0,200
19R738,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas)",1,1,200
19R746,34,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",1,1,200
19R747,34,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
19R748,34,Operculum/Insula,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,0,200
19R749,34,Temporal,Temporal,"Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",1,1,200
19R750,34,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
19R751,34,"Parietal, and Parieto-occipital region",Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
19R752,34,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
19R753,34,Temporal,Occipital/Temporal,"Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,200
19R754,34,Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
19R755,34,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R756,34,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
19R757,34,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",1,1,200
19R758,34,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
19R759,34,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",1,1,200
19R760,34,Occipital/Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",0,1,200
19R793,34,Operculum/Insula,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,0,1,200
19R794,34,Temporal,Subcortical,Subcortical | Temporal | Lateral Prefrontal Cortex,0,1,200
19R795,34,Operculum/Insula,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R796,34,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R797,34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R798,34,Subcortical,Subcortical,Subcortical | Hippocampal formation | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R799,34,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R800,34,Temporal,Temporal,Temporal | Operculum/Insula | Cingulate gyrus,1,1,200
19R801,34,Subcortical,Subcortical,Subcortical | Hippocampal formation | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R802,34,Temporal,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
19R803,34,Subcortical,Operculum/Insula,Operculum/Insula | Temporal | Subcortical,0,1,200
19R804,34,Cingulate gyrus,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,0,200
19R805,34,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas)",1,1,200
19R806,34,Temporal,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,1,1,200
19R807,34,Subcortical,Subcortical,Subcortical | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
19R808,34,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,200
19R809,34,Operculum/Insula,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Operculum/Insula | Temporal,0,1,200
19R810,34,Cingulate gyrus,Cingulate gyrus,Cingulate gyrus | Temporal | Lateral Prefrontal Cortex,1,1,200
19R811,34,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,1,200
19R812,34,Temporal,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,1,1,200
19R813,34,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,200
19R814,34,Subcortical,Subcortical,Subcortical | Hippocampal formation | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R815,34,Temporal,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",0,1,200
19R816,34,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,200
19R817,34,Subcortical,Subcortical,Subcortical | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,1,1,200
19R818,34,Cingulate gyrus,Cingulate gyrus,Cingulate gyrus | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R819,34,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Occipital/Temporal | Subcortical",1,1,200
19R820,34,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,200
19R821,34,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
19R822,34,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
19R823,34,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
19R744,34,Frontal (agranular frontal motor areas),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,0,0,200
19R745,34,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
19R824,34,Occipital/Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",0,1,200
19R825,34,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R826,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",1,1,200
19R827,34,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
19R828,34,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",0,1,200
19R829,34,Frontal (agranular frontal motor areas),Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,0,200
