sample_id,monkey_id,truth,pred_top1,pred_top2,pred_top3,hit1,hit3,route,route_family
19R348,2,7m,V3v,TEO,V2,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R349,2,VIP,V3d,FST,V3v,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R350,2,V4v,5,7m,7op,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R356,2,13b,12r,12l,12m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R357,2,11l,12r,46v,46d,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R358,2,14r,11m,12o,13m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R359,2,10m,11m,13m,13b,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R361,2,F3,8Bd,F6,44,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R369,2,F1,3a/b,F1,5,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R372,2,1-2,5,F1,LIPv,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R376,2,AL,13b,12o,RTL,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R378,2,pu,pu,Cd,NAcc,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R352,2,Amy,Tha,GP,Cla,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R364,2,G,Iapl,Id,Pi,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R368,2,3a/b,3a/b,A1,CL,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R371,2,V3v,V2,V1,V3v,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R627,34,10m,9m,11m,10m,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R628,34,46d,12r,46v,46d,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R629,34,46v,10o,13m,9m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R630,34,12r,10o,13m,11m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R631,34,11l,10o,13m,11m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R632,34,10o,11m,10m,13b,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R633,34,9m,12l,F6,12r,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R634,34,9d,12l,12r,F5,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R635,34,12l,10o,11m,13m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R636,34,12m,13m,10o,11m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R637,34,13b,10m,11m,13b,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R638,34,14r,14r,10m,11m,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R639,34,32,12o,10m,13b,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R640,34,8Bm,F6,12l,9d,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R641,34,8Bd,12l,F5,12r,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R642,34,45,12r,12l,12m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R643,34,24b,32,24b',14c,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R644,34,24c,32,25,Ial,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R645,34,F6,F3,8Bd,F6,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R646,34,F7,8Bd,44,F3,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R647,34,8Bs,F2,44,F4,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R648,34,8A,45,8A,F4,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R649,34,12o,12o,32,13b,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R650,34,14c,32,13a,14c,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R651,34,F3,F3,F4,F1,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R652,34,F2,F1,F2,F4,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R653,34,F4,44,45,8Bd,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R654,34,3a/b,PrCO,Ig,G,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R655,34,1-2,12o,10m,PrCO,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R656,34,STG,RT,RTM,Id,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R657,34,pu,pu,Cd,NAcc,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R658,34,Cd,NAcc,Cd,Cla,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R659,34,SII,R,AL,STG,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R660,34,RM,1-2,AL,IPa,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R661,34,R,AL,SII,R,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R662,34,TEav,F1,F2,44,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R663,34,5,3a/b,LIPv,VIP,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R664,34,7b,1-2,7b,7op,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R665,34,7op,ML,7b,7op,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R666,34,A1,ML,7op,7b,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R667,34,ML,7b,7op,ML,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R668,34,STG,AL,R,TEm,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R669,34,TEpd,TEm,TEpv,TEpd,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R670,34,TEpv,TEpv,TEav,TEad,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R671,34,VIP,VIP,LIPv,5,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R672,34,Tpt,7op,Tpt,TPO,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R673,34,TEO,TEpd,V4v,TPO,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R674,34,V4,TEpd,Tpt,V4v,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R675,34,TPO,IPa,7op,Tpt,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R676,34,TFO,TEav,STG,RM,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R677,34,7m,7b,7op,Tpt,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R678,34,V3v,V4,TEO,V3v,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R679,34,V4v,7op,TPO,IPa,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R680,34,V3d,TEO,V4,7m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R722,34,V1,V2,V3v,7m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R723,34,V2,V1,V2,V3v,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R724,34,10m,10m,14r,12m,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R725,34,46d,12r,46v,46d,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R726,34,46v,12r,46d,46v,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R727,34,12r,10o,12m,12r,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R728,34,11l,46v,46d,12m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R729,34,10o,10m,11m,12m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R730,34,9m,12l,9m,8Bm,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R731,34,9d,8Bm,12l,9d,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R732,34,14r,14r,10m,11m,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R733,34,13b,10m,14r,11m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R734,34,13m,10m,11m,14r,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R735,34,13l,12m,13l,13m,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R736,34,12o,12l,12r,12m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R737,34,12l,12l,12r,12m,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R739,34,F3,F3,44,8Bd,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R740,34,F2,F2,F1,44,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R741,34,8Bs,F2,44,F4,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R742,34,8A,F2,8Bs,F1,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R743,34,44,8Bm,F5,12l,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R738,34,45,12m,12r,46v,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R746,34,1-2,TAa,AL,TEm,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R747,34,3a/b,ML,1-2,Tpt,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R748,34,SII,R,AL,TEm,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R749,34,AL,Ig,STG,G,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R750,34,STG,RTL,STG,TF,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R751,34,7b,SII,IPa,AL,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R752,34,7op,Tpt,7op,ML,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R753,34,A1,A1,3a/b,CM,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R754,34,CL,CL,CM,A1,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R755,34,TEpd,TEpv,TEm,TEad,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R756,34,TEpv,TEav,TF,STG,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R757,34,V1,V1,V2,V3d,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R758,34,V2,V2,V4,V3v,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R759,34,V3v,V4,V3v,TEO,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R760,34,V4v,TEpd,IPa,TPO,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R793,34,Ig,RM,Ig,G,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R795,34,Id,Id,Pi,Iapl,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R796,34,RTM,RTM,Pi,RT,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R797,34,F1,F4,5,45,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R798,34,NAcc,NAcc,Cd,Cla,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R799,34,F5,10m,14r,11m,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R800,34,RT,RT,RTM,RM,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R801,34,Cd,Cd,pu,NAcc,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R802,34,TAa,Id,RTM,Iapl,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R803,34,Amy,Ia,Iapm,Pi,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R804,34,24a',24c,24a',24b',0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R805,34,TEm,TEm,TEad,TAa,1,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R806,34,AL,TAa,STG,TEad,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R807,34,pu,Cla,NAcc,Amy,0,0,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
19R808,34,Iapm,Ial,Pi,Iapm,0,1,top3_beam_local_top50_top100_zfusion_w0p25,hybrid_projected_network_logcpm_exact
