sample_id,monkey_id,truth,pred_top1,pred_top2,pred_top3,hit1,hit3,route,route_family
19R348,2,"Parietal, and Parieto-occipital region",Occipital/Temporal,"Parietal, and Parieto-occipital region",Temporal,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R349,2,"Parietal, and Parieto-occipital region",Occipital/Temporal,"Parietal, and Parieto-occipital region",Temporal,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R350,2,Occipital/Temporal,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,Occipital/Temporal,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R356,2,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R357,2,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R358,2,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R359,2,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R361,2,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,Cingulate gyrus,1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R369,2,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R372,2,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R376,2,Temporal,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Temporal,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R378,2,Subcortical,Subcortical,Hippocampal formation,Operculum/Insula,1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R352,2,Subcortical,Subcortical,Hippocampal formation,Operculum/Insula,1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R353,2,Subcortical,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Temporal,0,0,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R364,2,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Cingulate gyrus,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R368,2,"Parietal, and Parieto-occipital region",Occipital/Temporal,"Parietal, and Parieto-occipital region",Temporal,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R371,2,Occipital/Temporal,Occipital/Temporal,"Parietal, and Parieto-occipital region",Temporal,1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R627,34,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R628,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Cingulate gyrus,Frontal (agranular frontal motor areas),1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R629,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R630,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R631,34,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,Lateral Prefrontal Cortex,1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R632,34,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Cingulate gyrus,0,0,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R633,34,Lateral Prefrontal Cortex,Cingulate gyrus,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R634,34,Lateral Prefrontal Cortex,Cingulate gyrus,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R635,34,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R636,34,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R637,34,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,Operculum/Insula,1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R638,34,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Cingulate gyrus,1,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
19R639,34,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,0,1,network_discriminative_correlation_top200,hybrid_projected_network_logcpm_exact
