route,sample_id,label,true_network,network_beam,network_top1_hit,network_top3_hit,pred_top1,pred_top2,pred_top3,true_rank,hit1,hit3,true_resolution_group,pred_group_top1,pred_group_top2,pred_group_top3,group_true_rank,group_hit1,group_hit3,pred_top1_resolution_tier,pred_top1_resolution_reasons,pred_top1_group_members,truth_resolution_tier,truth_group_members,n_candidate_regions,n_candidate_groups,monkey_id,route_family
top3_network_beam_local_region_candidates,19R348,7m,"Parietal, and Parieto-occipital region","Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,TEO,V3v,V4,18,0,0,7m,Temporal::PGa + RT + RTL + STG + TAa + TEO + TEm + TEpd,Occipital/Temporal::FST + MST + V3d + V3v + V4 + V4v,Occipital/Temporal::V1 + V2,6,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,PGa | RT | RTL | STG | TAa | TEO | TEm | TEpd,low_resolution,7m,46,18,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R349,VIP,"Parietal, and Parieto-occipital region","Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,V3d,FST,V2,11,0,0,"Parietal, and Parieto-occipital region::3a/b + 5 + LIPd + LIPv + VIP",Occipital/Temporal::FST + MST + V3d + V3v + V4 + V4v,Occipital/Temporal::V1 + V2,Temporal::A1 + CL + CM + ML + TPO + Tpt,5,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,FST | MST | V3d | V3v | V4 | V4v,low_resolution,3a/b | 5 | LIPd | LIPv | VIP,46,18,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R350,V4v,Occipital/Temporal,"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Occipital/Temporal",0,1,7m,5,7op,8,0,0,Occipital/Temporal::V1 + V2 + V3d + V3v + V4 + V4v,"Parietal, and Parieto-occipital region::5 + 7m + LIPd + LIPv + VIP","Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op",3a/b,4,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,5 | 7m | LIPd | LIPv | VIP,low_resolution,V1 | V2 | V3d | V3v | V4 | V4v,32,8,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R356,13b,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),0,1,12l,12r,12m,22,0,0,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d + 9m,2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v,low_resolution,11l | 12m | 12o | 13b | 13l | 13m,36,13,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R357,11l,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),0,1,12r,12l,12m,7,0,0,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d + 9m,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v,low_resolution,11l | 12m | 12o | 13b | 13l | 13m,36,13,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R358,14r,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,24c,12o,24c',26,0,0,14r,Cingulate gyrus::24b + 24c,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Cingulate gyrus::23b + 23c + 24b' + 24c',10,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,24b | 24c,low_resolution,14r,36,13,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R359,10m,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,11m,12o,10m,3,0,1,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Cingulate gyrus::24b + 24c,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10m | 11m,low_resolution,10m | 11m,36,13,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R361,F3,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Cingulate gyrus,1,1,44,8Bd,F7,4,0,0,Frontal (agranular frontal motor areas)::F1 + F2 + F3,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,F7,Frontal (agranular frontal motor areas)::F1 + F2 + F3,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,44 | 45 | 8A | 8Bd | 8Bs | 9d,low_resolution,F1 | F2 | F3,30,12,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R369,F1,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",0,1,5,F1,3a/b,2,0,1,Frontal (agranular frontal motor areas)::F1 + F2,"Parietal, and Parieto-occipital region::3a/b + 5 + LIPd + LIPv + VIP",Frontal (agranular frontal motor areas)::F1 + F2,7m,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,3a/b | 5 | LIPd | LIPv | VIP,low_resolution,F1 | F2,30,11,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R372,1-2,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",1,1,5,F1,LIPv,20,0,0,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b","Parietal, and Parieto-occipital region::3a/b + 5 + LIPd + LIPv + VIP",Frontal (agranular frontal motor areas)::F1 + F2,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs,9,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,3a/b | 5 | LIPd | LIPv | VIP,low_resolution,1-2 | 7a | 7b,30,11,2,hybrid_projected_network_logcpm_exact
