route,sample_id,label,true_network,network_beam,network_top1_hit,network_top3_hit,pred_top1,pred_top2,pred_top3,true_rank,hit1,hit3,true_resolution_group,pred_group_top1,pred_group_top2,pred_group_top3,group_true_rank,group_hit1,group_hit3,pred_top1_resolution_tier,pred_top1_resolution_reasons,pred_top1_group_members,truth_resolution_tier,truth_group_members,n_candidate_regions,n_candidate_groups,route_family
top3_network_beam_local_region_candidates,19R348,7m,"Parietal, and Parieto-occipital region","Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,V3v,TEO,V4,15,0,0,7m,Occipital/Temporal::V1 + V2 + V3d + V3v,Temporal::TEO + TEad + TEm + TEpd,Occipital/Temporal::V4 + V4v,8,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,V1 | V2 | V3d | V3v,low_resolution,7m,46,18,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R349,VIP,"Parietal, and Parieto-occipital region","Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,V3v,V3d,FST,9,0,0,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",Occipital/Temporal::FST + MST + V1 + V2 + V3d + V3v,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",Occipital/Temporal::V4 + V4v,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,FST | MST | V1 | V2 | V3d | V3v,low_resolution,1-2 | 5 | 7a | 7b | 7op | LIPd | LIPv | VIP,46,16,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R350,V4v,Occipital/Temporal,"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Occipital/Temporal",0,1,7m,5,7op,10,0,0,Occipital/Temporal::V1 + V2 + V3d + V3v + V4 + V4v,7m,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",3a/b,4,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95,7m,low_resolution,V1 | V2 | V3d | V3v | V4 | V4v,32,8,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R356,13b,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),0,1,12l,12r,12m,22,0,0,13b,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13l + 13m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d + 9m,6,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v,low_resolution,13b,36,13,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R357,11l,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),0,1,12r,12l,12m,8,0,0,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d + 9m,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v,low_resolution,11l | 12m | 12o | 13b | 13l | 13m,36,13,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R358,14r,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,24c,12o,11l,26,0,0,14r,Cingulate gyrus::24b + 24c,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13l + 13m,Cingulate gyrus::23b + 23c + 24b' + 24c',12,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,24b | 24c,low_resolution,14r,36,15,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R359,10m,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,13b,11m,10m,3,0,1,10m,13b,11m,10m,3,0,1,low_resolution,nearest_centroid_corr>=0.95,13b,low_resolution,10m,36,14,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R361,F3,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Cingulate gyrus,1,1,44,8Bd,F3,3,0,1,F3,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d + 9m,F3,F7,2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,44 | 45 | 8A | 8Bd | 8Bm | 8Bs | 9d | 9m,low_resolution,F3,30,13,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R369,F1,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",0,1,3a/b,5,F1,3,0,1,Frontal (agranular frontal motor areas)::F1 + F2,3a/b,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",Frontal (agranular frontal motor areas)::F1 + F2,3,0,1,low_resolution,nearest_centroid_corr>=0.95,3a/b,low_resolution,F1 | F2,30,12,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R372,1-2,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",1,1,F1,5,VIP,20,0,0,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",Frontal (agranular frontal motor areas)::F1 + F2,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",3a/b,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,F1 | F2,low_resolution,1-2 | 5 | 7a | 7b | 7op | LIPd | LIPv | VIP,30,11,hybrid_projected_network_logcpm_exact
