"dataset","tissue","Log10PValue","adjusted_p","Tissue.Specific.Genes","fold.change","samples"
"HPA","Cerebral Cortex",32.3582895310305,4.38238440017675e-33,76,4.93575936356971,3
"HPA","Adrenal Gland",1.28145811586572,0.0523048407470927,8,3.31370799881059,3
"HPA","Stomach",0.980608959274226,0.104566131367468,5,3.86475988700565,4
"HPA","Cervix, uterine",0.980608959274226,0.104566131367468,5,3.4353421217828,2
"HPA","Thyroid Gland",0.980608959274226,0.104566131367468,7,2.62335216572505,5
"HPA","Placenta",0.980608959274226,0.104566131367468,8,2.47344632768362,8
"HPA","Prostate",0.800614535301968,0.15826521231253,5,2.84771781147785,9
"HPA","Seminal Vesicle",0.487238054259776,0.325658145751976,4,2.52760938595406,3
"HPA","Endometrium",0.398248211991225,0.399716234953531,3,2.54619474908608,5
"HPA","Lung",0.398248211991225,0.399716234953531,4,2.21975952484427,9
"HPA","Ovary",0.311474990517726,0.488118209438507,3,2.21975952484427,3
"HPA","Appendix",0.200705458482863,0.629933263106192,3,1.84192811636014,3
"HPA","Kidney",0.200705458482863,0.629933263106192,5,1.51878283278818,9
"HPA","Duodenum",0.153194792732842,0.702757043786072,4,1.44284369114878,2
"HPA","Liver",0.153194792732842,0.702757043786072,5,1.40994497506395,10
"HPA","Colon",0.140935233089568,0.722877599256484,2,1.61814245736311,13
"HPA","Esophagus",0.140935233089568,0.722877599256484,3,1.45905541801562,3
"HPA","Small Intestine",0.14081520868362,0.723077405950622,4,1.29693814934721,4
"HPA","Rectum",0.132956531275976,0.736280788471893,2,1.39630034627301,4
"HPA","Tonsil",0.132956531275976,0.736280788471893,2,1.39630034627301,5
"HPA","Salivary Gland",0.121074971628604,0.756702255328763,1,1.6648196436332,3
"HPA","Adipose Tissue",0.114723836576897,0.767849601867872,2,1.23672316384181,5
"HPA","Smooth Muscle",0.0725747040725487,0.846107015319823,1,1.12429378531073,3
"HPA","Spleen",0.0725747040725487,0.846107015319823,3,1.03470862313458,5
"HPA","Breast",0.0725747040725487,0.846107015319823,1,1.01847789963443,4
"HPA","Heart Muscle",0.0725747040725487,0.846107015319823,2,0.951325510647545,4
"HPA","Skeletal Muscle",0.0685853741018156,0.853914967345293,3,0.886388615722797,5
"HPA","Lymph Node",0.0685853741018156,0.853914967345293,2,0.852912526787454,5
"HPA","Gallbladder",0.055538001010455,0.879958111490891,1,0.77295197740113,3
"HPA","Testis",0,1,9,0.514620603183844,10
"HPA","Fallopian Tube",0,1,2,0.453249327062443,5
"HPA","Bone Marrow",0,1,1,0.412241054613936,4
"HPA","Skin",0,1,1,0.245939265536723,3
"HPA","Pancreas",0,1,0,0,2
"HPA","Urinary Bladder",0,1,0,0,2
"GTEx","Brain",10.1030406954921,7.88786201075752e-11,33,4.14071738273551,1401
"GTEx","Breast",3.19510827973694,0.00063810437206295,14,3.54424507513627,215
"GTEx","Heart",2.80081803187962,0.00158191071640397,13,3.31050114160959,486
"GTEx","Artery",1.78859520264374,0.0162706460415355,9,3.1712210307852,747
"GTEx","Salivary Gland",1.56214532251686,0.0274065694680764,7,3.39490890624008,71
"GTEx","Kidney",1.35016749381762,0.0446511353456139,7,2.9915533926274,36
"GTEx","Adrenal Gland",1.27945815915285,0.052546263685118,8,2.5865972618972,159
"GTEx","Fallopian Tube",1.26033672137293,0.0549114963675847,5,3.37217514124294,7
"GTEx","Esophagus",1.26033672137293,0.0549114963675847,7,2.65041133908217,790
"GTEx","Thyroid",1.13160301292043,0.0738579054206649,5,3.01845047607759,360
"GTEx","Prostate",0.951918951369871,0.111707169777723,4,3.05584720763962,121
"GTEx","Cervix Uteri",0.918571459560483,0.120622559743448,5,2.50952568650637,11
"GTEx","Stomach",0.4322913196298,0.369580186572367,3,2.07186440677966,206
"GTEx","Lung",0.4322913196298,0.369580186572367,5,1.6795269185957,374
"GTEx","Bladder",0.356139539023549,0.440413335757102,1,3.5969868173258,13
"GTEx","Vagina",0.356139539023549,0.440413335757102,2,2.10555325892242,95
"GTEx","Adipose Tissue",0.356139539023549,0.440413335757102,3,1.70383586083854,610
"GTEx","Small Intestine",0.312569518076027,0.486889581886494,3,1.56013886052685,103
"GTEx","Liver",0.292135206172687,0.510346092398037,4,1.37028069231459,141
"GTEx","Nerve",0.146194729965359,0.714176030371318,2,1.20738019043104,331
"GTEx","Ovary",0.146194729965359,0.714176030371318,2,1.15876085390361,110
"GTEx","Pancreas",0.127434124222921,0.745702975093859,2,1.05923538178919,199
"GTEx","Skin",0,1,2,0.5498578574256,659
"GTEx","Testis",0,1,3,0.413710943845779,203
"GTEx","Muscle",0,1,1,0.373712916085797,469
"GTEx","Pituitary",0,1,1,0.352357892309466,126
"GTEx","Spleen",0,1,1,0.2045679706536,118
"GTEx","Colon",0,1,0,0,377
"GTEx","Uterus",0,1,0,0,93
