"dataset","gene_symbol"
"HPA","ENSMFAG00000042392"
"HPA","ENSMFAG00000046456"
"HPA","ENSMFAG00000032887"
"HPA","ENSMFAG00000030025"
"HPA","ENSMFAG00000031052"
"HPA","RF02160"
"HPA","ENSMFAG00000015786"
"HPA","ENSMFAG00000033090"
"HPA","ENSMFAG00000040743"
"HPA","VXN"
"HPA","ENSMFAG00000046600"
"HPA","ENSMFAG00000043848"
"HPA","ENSMFAG00000030665"
"HPA","ENSMFAG00000018905"
"HPA","ENSMFAG00000017288"
"HPA","ENSMFAG00000038912"
"HPA","ENSMFAG00000021768"
"HPA","ENSMFAG00000038166"
"HPA","ENSMFAG00000033848"
"HPA","TAFA2"
"HPA","CEMIP2"
"HPA","ENSMFAG00000040641"
"HPA","ENSMFAG00000018969"
"GTEx","ENSMFAG00000042392"
"GTEx","ENSMFAG00000046456"
"GTEx","ENSMFAG00000032887"
"GTEx","ENSMFAG00000030025"
"GTEx","ENSMFAG00000031052"
"GTEx","RF02160"
"GTEx","ENSMFAG00000015786"
"GTEx","ENSMFAG00000033090"
"GTEx","ENSMFAG00000040743"
"GTEx","VXN"
"GTEx","ENSMFAG00000046600"
"GTEx","ENSMFAG00000043848"
"GTEx","ENSMFAG00000030665"
"GTEx","ENSMFAG00000018905"
"GTEx","ENSMFAG00000017288"
"GTEx","ENSMFAG00000038912"
"GTEx","ENSMFAG00000021768"
"GTEx","ENSMFAG00000038166"
"GTEx","ENSMFAG00000033848"
"GTEx","TAFA2"
"GTEx","CEMIP2"
"GTEx","ENSMFAG00000040641"
"GTEx","ENSMFAG00000018969"
