"gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMFAG00000037976","GPR88","protein_coding",3828.41837590999,-0.149819227351122,0.203202503545724,1178.91291397815,4.32346731929765e-248,1.00870816026533e-243
"ENSMFAG00000041424","LPL","protein_coding",2306.17971420224,-0.23666061301953,0.18366794006226,1087.3090064343,2.53883923071796e-228,2.96168290459404e-224
"ENSMFAG00000002569","BSPRY","protein_coding",454.873620299778,-0.343116384428842,0.255010531794827,954.919657607161,9.02930381848359e-200,7.02208957963469e-196
"ENSMFAG00000043416","DRD2","protein_coding",2154.28091260945,0.225452398384058,0.288534239788686,899.849059316481,6.6678853255473e-188,3.8892108132586e-184
"ENSMFAG00000031729","PENK","protein_coding",5573.44591611833,0.0732527099719572,0.250230271568725,876.541532132427,7.00411695779259e-183,3.26826105484518e-179
"ENSMFAG00000035462","RGS9","protein_coding",1818.00991325161,-0.319864296264723,0.203091745568128,863.187963859054,5.26941988638573e-180,2.04901392282109e-176
"ENSMFAG00000043732","KLHL13","protein_coding",1354.66021793,0.133309069640319,0.0951126940047564,862.408473445754,7.75634162848386e-180,2.58518866477367e-176
"ENSMFAG00000030025","ENSMFAG00000030025","protein_coding",1261.58840889695,-0.0373991189872142,0.153145013102643,855.080165703396,2.93790274391379e-178,8.56802611478159e-175
"ENSMFAG00000039919","SYNDIG1L","protein_coding",6207.49993914218,0.111600195216099,0.294147203670552,853.322196807741,7.02513372112957e-178,1.82114883164082e-174
"ENSMFAG00000021726","OVOL2","protein_coding",1377.54409491111,-0.331516296366212,0.116308720134885,822.983974814708,2.39674467796446e-171,5.59184500815888e-168
"ENSMFAG00000031796","ADORA2A","protein_coding",2461.90353320239,-0.0785514210715593,0.29192764962854,818.026405682728,2.79886855722628e-170,5.93640020987694e-167
"ENSMFAG00000000287","TAC1","protein_coding",1728.11225975769,0.104769002642401,0.131872581450961,813.48468885602,2.65926622155147e-169,5.17027835125145e-166
"ENSMFAG00000035983","SATB2","protein_coding",21187.3657676546,-0.0578044307190206,0.101895775782995,810.695153861379,1.05996915872185e-168,1.90231849554919e-165
"ENSMFAG00000044565","FOXO1","protein_coding",2698.98931325615,-0.0290600029495617,0.0891651066161129,798.069747606265,5.53434663887228e-166,9.22298867368066e-163
"ENSMFAG00000027078","PBX3","protein_coding",1101.16133683393,0.315127345403852,0.102576118557551,793.014836335458,6.77785681825377e-165,1.05422784951119e-161
"ENSMFAG00000002748","PCP4","protein_coding",3513.11889874161,0.269413375009525,0.198457007708578,774.830553473281,5.55377833110341e-161,8.09845014018585e-158
"ENSMFAG00000035227","RHEBL1","protein_coding",431.600141274559,0.08002565651478,0.0781029652408471,767.5689477379,2.02838673373191e-159,2.78378181674702e-156
"ENSMFAG00000037536","SLC5A7","protein_coding",166.416904196142,-0.284601333799335,0.342880835951275,729.73815851603,2.78857427911528e-151,3.61445702811325e-148
"ENSMFAG00000030860","GPR149","protein_coding",394.703828632299,0.785949811184815,0.257003021312153,717.87847239045,9.90473824800569e-149,1.21624972665379e-145
