"gene_symbol","fisher_score","gene_index","gene_id","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","highest_network","pseudobulk_log2_effect_vs_other_network_mean","lrt_tested","lrt_fdr_lt_0_05"
"SATB2",3.59014743649651,17541,"ENSMFAG00000035983","protein_coding",21187.3657676546,-0.0578044307190206,0.101895775782995,810.695153861379,1.05996915872185e-168,1.90231849554919e-165,"Lateral Prefrontal Cortex",0.705041115946038,TRUE,TRUE
"ATP4A",2.46972789892396,1078,"ENSMFAG00000038036","protein_coding",3682.81044611955,0.261645411811266,0.16192173179594,583.175928514256,8.53555473187286e-120,3.68783384165418e-117,"Occipital/Temporal",0.968087168106488,TRUE,TRUE
"MEF2C",2.36736855808871,13239,"ENSMFAG00000044479","protein_coding",72490.7129381185,-0.00582085342781255,0.157327277244552,222.630938606906,5.85264437817949e-43,1.67133471220692e-41,"Lateral Prefrontal Cortex",0.659250486513441,TRUE,TRUE
"VIPR1",2.24533685163103,20707,"ENSMFAG00000044690","protein_coding",3873.81804698085,-0.13517746976915,0.153857968352619,269.911391101789,6.17783536010626e-53,2.91181973306342e-51,"Occipital/Temporal",0.562509789008976,TRUE,TRUE
"TWIST1",2.18597749816288,20370,"ENSMFAG00000045982","protein_coding",1644.22728295239,0.73066582188819,0.223327234941284,344.589770544706,8.77913143407063e-69,8.32625672716674e-67,"Lateral Prefrontal Cortex",1.27742768303181,TRUE,TRUE
"MPPED1",2.16957569275414,13785,"ENSMFAG00000033422","protein_coding",19631.1487751329,-0.0291557466424801,0.144677154451655,229.811971067344,1.80232643335016e-44,5.5401947320807e-43,"Lateral Prefrontal Cortex",0.527371793244372,TRUE,TRUE
"GFRA2",2.16543210399744,10708,"ENSMFAG00000023628","protein_coding",4121.49743751178,-0.152601359057297,0.11231775447076,414.646146733728,1.0249762718125e-83,1.58369015878526e-81,"Occipital/Temporal",0.455069785585215,TRUE,TRUE
"ENSMFAG00000042392",2.13236617213235,8427,"ENSMFAG00000042392","protein_coding",6217.89484648083,-0.127644857308746,0.163634747489272,173.244197974543,1.30093074438519e-32,1.98899182157607e-31,"Lateral Prefrontal Cortex",0.478136943303864,TRUE,TRUE
"LMO4",2.11570290474301,12702,"ENSMFAG00000034077","protein_coding",30684.976155741,-0.162909809211897,0.0877690797044112,484.188976975757,1.39412101941053e-98,3.28547853574414e-96,"Lateral Prefrontal Cortex",0.581835575761291,TRUE,TRUE
"EMX1",2.08451219618451,4168,"ENSMFAG00000003754","protein_coding",8143.26050929127,0.373776819225632,0.154790228469925,262.451682879787,2.33568139452086e-51,1.00356874061816e-49,"Occipital/Temporal",0.635871962228508,TRUE,TRUE
"ENSMFAG00000046456",2.0729062649324,9135,"ENSMFAG00000046456","lincRNA",583.31465556591,0.0962467653952969,0.166572673335703,707.399717992617,1.77413815148339e-146,1.88147350964813e-143,"Occipital/Temporal",1.46159847221738,TRUE,TRUE
"ENSMFAG00000032887",2.04086034319867,6915,"ENSMFAG00000032887","protein_coding",8232.07392084318,0.106028038460739,0.13744098201821,325.654381210062,9.32883749242038e-65,7.32832011904579e-63,"Orbitomedial Prefrontal Cortex (OMPFC)",0.591456048645373,TRUE,TRUE
"RSPO2",2.02783719750561,17401,"ENSMFAG00000031789","protein_coding",2517.76415979203,1.12355641267477,0.15434205996945,428.000965035526,1.44114068796751e-86,2.41893909287554e-84,"Occipital/Temporal",1.28700176488354,TRUE,TRUE
"KHDRBS3",2.02238873251308,12229,"ENSMFAG00000041845","protein_coding",8458.54301242644,-0.0814872543959692,0.0763661299714812,475.050509808581,1.25849662398207e-96,2.76999855982318e-94,"Lateral Prefrontal Cortex",0.494176609147461,TRUE,TRUE
"OVOL2",2.02203388869261,14949,"ENSMFAG00000021726","protein_coding",1377.54409491111,-0.331516296366212,0.116308720134885,822.983974814708,2.39674467796446e-171,5.59184500815888e-168,"Lateral Prefrontal Cortex",0.829727979747828,TRUE,TRUE
"NUAK1",2.00959482180609,14696,"ENSMFAG00000000816","protein_coding",37530.9991967218,0.0664637603030571,0.0848792700848486,649.182313649037,5.76208346083895e-134,4.6356954905115e-131,"Parietal, and Parieto-occipital region",0.482255350726232,TRUE,TRUE
"ADCY2",1.99763797378273,276,"ENSMFAG00000001655","protein_coding",17675.5088647826,-0.0163755963051797,0.100841895594736,298.85023178298,4.57676086330451e-59,2.8323715570758e-57,"Frontal (agranular frontal motor areas)",0.37726507710369,TRUE,TRUE
"ETS2",1.97709971961408,9842,"ENSMFAG00000042503","protein_coding",17225.5627256855,0.227813946549201,0.0735832016273842,442.913207827897,9.3836502548821e-90,1.83974742938365e-87,"Temporal",0.334048196644646,TRUE,TRUE
"CCK",1.96601469897303,2131,"ENSMFAG00000002130","protein_coding",15549.2591085523,-0.363722602267477,0.165537797787662,193.939591938849,6.16497195629441e-37,1.22308640061484e-35,"Lateral Prefrontal Cortex",0.798013695786169,TRUE,TRUE
"RND1",1.94236349501754,17159,"ENSMFAG00000038513","protein_coding",2293.98427014249,0.124180526008167,0.0759207494006394,607.564491345871,4.98180929502846e-125,2.52675201439802e-122,"Frontal (agranular frontal motor areas)",0.425544021000618,TRUE,TRUE
"HECW1",1.93458701374482,11285,"ENSMFAG00000003543","protein_coding",30424.8404625491,0.210006920263295,0.0897609269049227,614.117984336084,1.95239879916381e-126,1.0845575329355e-123,"Occipital/Temporal",0.653833129759683,TRUE,TRUE
"TMEM155",1.93099784127194,19672,"ENSMFAG00000039159","protein_coding",5234.26025750126,0.372371613432123,0.201991623571163,161.96150115095,2.904961183367e-30,3.85088916870088e-29,"Parietal, and Parieto-occipital region",0.809580344017089,TRUE,TRUE
"SATB1",1.8868223291066,17540,"ENSMFAG00000042093","protein_coding",20037.0507309543,-0.0575487579438519,0.0890829417314875,441.77627842766,1.64196479612987e-89,3.11452688280537e-87,"Occipital/Temporal",0.509978383905271,TRUE,TRUE
"OLFM1",1.88491755929511,14821,"ENSMFAG00000000981","protein_coding",102395.676844324,0.19713830476394,0.119321975385178,154.816331185552,8.85103417781402e-29,1.0738610421351e-27,"Lateral Prefrontal Cortex",0.347944997057315,TRUE,TRUE
"PTGS2",1.88032848086516,16213,"ENSMFAG00000029066","protein_coding",1571.91118480376,-0.261447422774809,0.21592351955132,166.482101765189,3.33296499651021e-31,4.66755140057501e-30,"Lateral Prefrontal Cortex",0.820652034483937,TRUE,TRUE
"LRRC4",1.83663744908263,12806,"ENSMFAG00000040001","protein_coding",17547.1935370704,0.258929288814229,0.0769658531699204,483.559229258898,1.90142152764541e-98,4.39228372886089e-96,"Occipital/Temporal",0.487156284794645,TRUE,TRUE
"KCNS1",1.809308302275,12171,"ENSMFAG00000043514","protein_coding",29333.7938011373,0.256802977039575,0.241977870983539,483.584063201089,1.87829378422396e-98,4.38224722797293e-96,"Occipital/Temporal",1.87704218275003,TRUE,TRUE
