"gene_id","highest_network","pseudobulk_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000044637","Occipital/Temporal",0.312329812817854,"PGBD2","protein_coding"
"ENSMFAG00000039056","Occipital/Temporal",0.297966604293416,"ZNF692","protein_coding"
"ENSMFAG00000030010","Subcortical",0.613832352298934,"ZNF672","protein_coding"
"ENSMFAG00000002737","Temporal",0.234065355082588,"SH3BP5L","protein_coding"
"ENSMFAG00000005691","Lateral Prefrontal Cortex",0.774710238978906,"ENSMFAG00000005691","miRNA"
"ENSMFAG00000040566","Hippocampal formation",2.28457543560076,"ENSMFAG00000040566","protein_coding"
"ENSMFAG00000018318","Orbitomedial Prefrontal Cortex (OMPFC)",0.334717002452119,"OR9G4","protein_coding"
"ENSMFAG00000021769","Hippocampal formation",0.498036631005846,"OR2M4","protein_coding"
"ENSMFAG00000015367","Hippocampal formation",0.948070637378032,"RF00019","misc_RNA"
"ENSMFAG00000009972","Cingulate gyrus",0.970014869673904,"RF00019","misc_RNA"
"ENSMFAG00000010714","Hippocampal formation",1.89902339648815,"ENSMFAG00000010714","protein_coding"
"ENSMFAG00000021763","Hippocampal formation",1.16092829351008,"RF00019","misc_RNA"
"ENSMFAG00000010782","Hippocampal formation",1.3078528107341,"ENSMFAG00000010782","protein_coding"
"ENSMFAG00000011078","Hippocampal formation",1.43974932294486,"ENSMFAG00000011078","protein_coding"
"ENSMFAG00000010658","Lateral Prefrontal Cortex",0.501965656741744,"RF00019","misc_RNA"
"ENSMFAG00000039110","Hippocampal formation",0.968279123218832,"ENSMFAG00000039110","protein_coding"
"ENSMFAG00000039872","Hippocampal formation",2.45659915922002,"OR2AJ1","protein_coding"
"ENSMFAG00000002322","Hippocampal formation",2.44468665404719,"ENSMFAG00000002322","pseudogene"
"ENSMFAG00000020196","Hippocampal formation",1.40546333578645,"OR2W3","protein_coding"
"ENSMFAG00000032683","Hippocampal formation",2.00527223789867,"TRIM58","protein_coding"
"ENSMFAG00000041127","Occipital/Temporal",0.671971881801302,"ENSMFAG00000041127","pseudogene"
"ENSMFAG00000003972","Hippocampal formation",1.28853110002198,"ENSMFAG00000003972","pseudogene"
"ENSMFAG00000041250","Hippocampal formation",0.48447316951329,"GCSAML","protein_coding"
"ENSMFAG00000029820","Hippocampal formation",1.08260591861362,"OR2B11","protein_coding"
"ENSMFAG00000038424","Subcortical",0.987662946654636,"NLRP3","protein_coding"
"ENSMFAG00000035433","Occipital/Temporal",0.337653955149985,"ZNF496","protein_coding"
"ENSMFAG00000044188","Parietal, and Parieto-occipital region",0.356440872487612,"ENSMFAG00000044188","protein_coding"
"ENSMFAG00000010544","Temporal",0.848118131799433,"RF00001","rRNA"
"ENSMFAG00000041032","Parietal, and Parieto-occipital region",0.453560345602666,"ZNF124","protein_coding"
"ENSMFAG00000003888","Occipital/Temporal",0.203472298218808,"ZNF669","protein_coding"
"ENSMFAG00000037311","Occipital/Temporal",0.342572273546708,"ZNF670","protein_coding"
"ENSMFAG00000003501","Frontal (agranular frontal motor areas)",0.412015859606895,"ZNF695","protein_coding"
"ENSMFAG00000045763","Occipital/Temporal",0.138033993269692,"AHCTF1","protein_coding"
"ENSMFAG00000044986","Subcortical",0.0742741858950193,"SCCPDH","protein_coding"
"ENSMFAG00000000416","Occipital/Temporal",0.218211428353015,"CNST","protein_coding"
"ENSMFAG00000000959","Parietal, and Parieto-occipital region",0.282989161664895,"TFB2M","protein_coding"
"ENSMFAG00000045761","Frontal (agranular frontal motor areas)",0.143056731082254,"SMYD3","protein_coding"
"ENSMFAG00000005001","Parietal, and Parieto-occipital region",0.760540545611987,"RF00026","snRNA"
"ENSMFAG00000023144","Hippocampal formation",0.8321098188033,"KIF26B","protein_coding"
"ENSMFAG00000008832","Lateral Prefrontal Cortex",0.451158058745411,"RF00003","snRNA"
"ENSMFAG00000039610","Subcortical",0.167971760209284,"ENSMFAG00000039610","protein_coding"
"ENSMFAG00000005303","Parietal, and Parieto-occipital region",0.515013940320187,"RF00026","snRNA"
"ENSMFAG00000015148","Occipital/Temporal",0.567067117628067,"RF00026","snRNA"
"ENSMFAG00000011293","Hippocampal formation",1.18349456936955,"RF00100","misc_RNA"
"ENSMFAG00000037308","Occipital/Temporal",0.0777657051186154,"HNRNPU","protein_coding"
"ENSMFAG00000039162","Parietal, and Parieto-occipital region",0.293910781265382,"COX20","protein_coding"
"ENSMFAG00000040697","Occipital/Temporal",0.512311782895134,"ENSMFAG00000040697","protein_coding"
"ENSMFAG00000044660","Subcortical",1.01378030693848,"ENSMFAG00000044660","protein_coding"
"ENSMFAG00000032549","Lateral Prefrontal Cortex",0.195618837661279,"DESI2","protein_coding"
"ENSMFAG00000033487","Lateral Prefrontal Cortex",0.276803144124795,"CATSPERE","protein_coding"
"ENSMFAG00000032956","Lateral Prefrontal Cortex",0.271720444783035,"ADSS","protein_coding"
"ENSMFAG00000037345","Orbitomedial Prefrontal Cortex (OMPFC)",1.82881570830745,"C1orf100","protein_coding"
"ENSMFAG00000025838","Hippocampal formation",1.59420827626628,"ENSMFAG00000025838","protein_coding"
"ENSMFAG00000046846","Hippocampal formation",0.750814965402722,"ENSMFAG00000046846","lincRNA"
"ENSMFAG00000033326","Hippocampal formation",0.601204718078641,"ZBTB18","protein_coding"
"ENSMFAG00000047108","Operculum/Insula",0.359806350304451,"ENSMFAG00000047108","lincRNA"
"ENSMFAG00000033261","Lateral Prefrontal Cortex",0.288463641459142,"AKT3","protein_coding"
"ENSMFAG00000007093","Temporal",0.405923220003971,"ENSMFAG00000007093","miRNA"
"ENSMFAG00000045247","Occipital/Temporal",0.25648889076442,"SDCCAG8","protein_coding"
"ENSMFAG00000006097","Parietal, and Parieto-occipital region",0.725641783485898,"MIR4677","miRNA"
"ENSMFAG00000002285","Occipital/Temporal",0.195038990128076,"CEP170","protein_coding"
"ENSMFAG00000038798","Cingulate gyrus",0.641445443056325,"PLD5","protein_coding"
"ENSMFAG00000009088","Cingulate gyrus",1.24474460151792,"RF00100","misc_RNA"
"ENSMFAG00000039495","Cingulate gyrus",0.682233320914749,"ENSMFAG00000039495","protein_coding"
"ENSMFAG00000006845","Cingulate gyrus",0.644384204824509,"ENSMFAG00000006845","miRNA"
"ENSMFAG00000023098","Subcortical",0.756506581235753,"EXO1","protein_coding"
"ENSMFAG00000032673","Frontal (agranular frontal motor areas)",1.64355221217196,"WDR64","protein_coding"
"ENSMFAG00000042077","Lateral Prefrontal Cortex",0.777796978296772,"OPN3","protein_coding"
"ENSMFAG00000044420","Orbitomedial Prefrontal Cortex (OMPFC)",0.706779507208928,"KMO","protein_coding"
"ENSMFAG00000045537","Lateral Prefrontal Cortex",0.144055341693365,"FH","protein_coding"
"ENSMFAG00000031055","Lateral Prefrontal Cortex",0.332344636169891,"RGS7","protein_coding"
"ENSMFAG00000034794","Occipital/Temporal",0.501629012212457,"ENSMFAG00000034794","miRNA"
"ENSMFAG00000038113","Occipital/Temporal",0.471014564319435,"ENSMFAG00000038113","protein_coding"
"ENSMFAG00000030833","Temporal",0.249834762959043,"GREM2","protein_coding"
"ENSMFAG00000000367","Temporal",0.170842431191392,"FMN2","protein_coding"
