"pseudobulk_id","PC1","PC2","network","donor_id","n_tissue_samples"
"34__Cingulate gyrus",-10.7571051764974,5.65324369501406,"Cingulate gyrus","34",10
"67__Cingulate gyrus",-19.0165782912488,-3.24404581671887,"Cingulate gyrus","67",1
"79__Cingulate gyrus",-13.9690774423478,-14.857477112792,"Cingulate gyrus","79",4
"92__Cingulate gyrus",-14.4757923798166,-7.36122267510866,"Cingulate gyrus","92",2
"qbt__Cingulate gyrus",52.8313983500594,2.40661208411298,"Cingulate gyrus","qbt",2
"xq__Cingulate gyrus",-12.9452043671189,4.06065494244302,"Cingulate gyrus","xq",13
"xz__Cingulate gyrus",51.7806476969453,5.57025622458007,"Cingulate gyrus","xz",6
"zs__Cingulate gyrus",-19.9350044018924,-26.5980151538375,"Cingulate gyrus","zs",1
"2__Frontal (agranular frontal motor areas)",-5.3204763841335,-9.07036919753413,"Frontal (agranular frontal motor areas)","2",2
"34__Frontal (agranular frontal motor areas)",-10.2071487301861,-2.59708664009791,"Frontal (agranular frontal motor areas)","34",18
"67__Frontal (agranular frontal motor areas)",-13.564805041077,-9.19658068452912,"Frontal (agranular frontal motor areas)","67",5
"92__Frontal (agranular frontal motor areas)",-11.9388680360486,-9.86126893454619,"Frontal (agranular frontal motor areas)","92",7
"qbt__Frontal (agranular frontal motor areas)",55.9766788158901,0.0713654235528232,"Frontal (agranular frontal motor areas)","qbt",8
"xq__Frontal (agranular frontal motor areas)",-11.5787078667485,-6.46148971638825,"Frontal (agranular frontal motor areas)","xq",13
"xz__Frontal (agranular frontal motor areas)",54.3542401470713,-0.943404391950275,"Frontal (agranular frontal motor areas)","xz",9
"zs__Frontal (agranular frontal motor areas)",-16.8024050077268,-24.5882271451788,"Frontal (agranular frontal motor areas)","zs",3
"34__Hippocampal formation",-20.1327218378983,36.0310290891359,"Hippocampal formation","34",3
"92__Hippocampal formation",-26.5636469129511,32.6253820655982,"Hippocampal formation","92",1
"xq__Hippocampal formation",-23.1887964794364,43.5613865026115,"Hippocampal formation","xq",4
"34__Lateral Prefrontal Cortex",-9.58583335265454,-5.23627499468407,"Lateral Prefrontal Cortex","34",33
"92__Lateral Prefrontal Cortex",-15.6102879604615,-11.12463465328,"Lateral Prefrontal Cortex","92",12
"qbt__Lateral Prefrontal Cortex",54.2044117451259,5.61752074078451,"Lateral Prefrontal Cortex","qbt",12
