"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","gene_type"
"ENSMFAG00000002126",163.540208300514,-0.324857331748422,0.108590972203208,3756.55906483158,0,0,"RXRG","protein_coding"
"ENSMFAG00000037711",34.1978707019509,-1.34561794946314,0.185651967423179,1735.11079651565,0,0,"FAM163A","protein_coding"
"ENSMFAG00000041045",151.286783978565,0.150078949013496,0.167028008359648,2243.36233228599,0,0,"RGS16","protein_coding"
"ENSMFAG00000035700",1244.6580407442,0.306640902475552,0.0792423194542036,2627.69982071254,0,0,"RGS8","protein_coding"
"ENSMFAG00000039305",29.3618905005791,-0.24103256250914,0.31273776705772,2316.73370656145,0,0,"PTPN7","protein_coding"
"ENSMFAG00000037976",622.746293630076,-0.224911494605433,0.139715628980526,3631.37972554705,0,0,"GPR88","protein_coding"
"ENSMFAG00000032159",232.286753470281,-0.203071978854491,0.103114686406668,3558.6727797905,0,0,"KANK4","protein_coding"
"ENSMFAG00000030860",66.4342095095078,0.562114879535306,0.142604293734262,3518.03824010514,0,0,"GPR149","protein_coding"
"ENSMFAG00000039633",74.8364384945378,0.105602381653787,0.151375951147109,2304.27268564469,0,0,"MME","protein_coding"
"ENSMFAG00000004057",363.782302581009,-0.0214173365995431,0.0802181543448402,1982.03321630536,0,0,"ENTPD3","protein_coding"
"ENSMFAG00000002063",131.89885062188,-0.0413873046795694,0.0985766130117428,1862.03274123368,0,0,"SEMA3F","protein_coding"
"ENSMFAG00000003197",4078.05550235196,-0.155879639666084,0.0688974857605871,1962.31740152196,0,0,"ADCY5","protein_coding"
"ENSMFAG00000037060",36.9162247079942,-0.744212738305817,0.18147384009254,1898.43524234587,0,0,"DRD3","protein_coding"
"ENSMFAG00000002748",554.170592573449,0.259895884784168,0.116742034419861,3401.35901038551,0,0,"PCP4","protein_coding"
"ENSMFAG00000000287",292.109905974787,0.0901960206253344,0.104590391998972,1712.87722555259,0,0,"TAC1","protein_coding"
"ENSMFAG00000001357",127.471735571314,-0.058583069722768,0.0595596942094925,1829.83845395819,0,0,"LHFPL3","protein_coding"
"ENSMFAG00000028602",638.170967100216,3.21873873130201,0.159303557987405,1983.38619412135,0,0,"MET","protein_coding"
"ENSMFAG00000041411",672.538991170206,0.39642737913791,0.0808601066266875,2915.07129886671,0,0,"STRIP2","protein_coding"
"ENSMFAG00000036123",950.764429277772,0.657222062788632,0.120942185250608,1742.87320426157,0,0,"SV2C","protein_coding"
"ENSMFAG00000028493",145.49472094218,0.13980427429553,0.0955665139653052,2402.27591609042,0,0,"ANKRD34B","protein_coding"
"ENSMFAG00000038737",2208.50047796196,0.0194831298371734,0.135470522656633,1827.32140948396,0,0,"RGS14","protein_coding"
"ENSMFAG00000040970",422.368388554262,-1.83957879719824,0.18042610054497,1721.84896747033,0,0,"CA12","protein_coding"
"ENSMFAG00000043586",285.347752663968,-0.245408751004752,0.115016445060984,3492.79869262408,0,0,"COCH","protein_coding"
"ENSMFAG00000046342",28.6251893893668,-0.139559474353611,0.135993587502223,2044.32134893099,0,0,"NKX2-1","protein_coding"
"ENSMFAG00000030025",197.228752535736,0.031687363091915,0.0766631668735858,5161.53604487203,0,0,"ENSMFAG00000030025","protein_coding"
"ENSMFAG00000039919",972.590978730132,0.070666931371064,0.129653563719319,6676.48494034496,0,0,"SYNDIG1L","protein_coding"
"ENSMFAG00000036626",7.63407560378382,-0.643488578984976,0.30787478170944,1597.1648065122,0,0,"TSHR","protein_coding"
"ENSMFAG00000046363",698.839862192447,0.144607654206538,0.116551652752127,2275.34879254543,0,0,"CCDC88C","protein_coding"
"ENSMFAG00000046132",1105.73408869323,0.0297739304661959,0.103849484951044,2684.10935063794,0,0,"PDE10A","protein_coding"
"ENSMFAG00000002164",111.607494879631,-0.337511349140845,0.176616581797849,2687.54182841346,0,0,"ENSMFAG00000002164","pseudogene"
"ENSMFAG00000036990",61.4331553585458,-0.118372989187246,0.135682493990092,3900.14200142373,0,0,"SLC35D3","protein_coding"
"ENSMFAG00000010683",419.485830767575,0.0358448894779491,0.12432433235339,2199.72919187348,0,0,"TPBG","protein_coding"
"ENSMFAG00000043732",218.169713495464,0.151874385059292,0.0656430068279122,2368.20233766824,0,0,"KLHL13","protein_coding"
"ENSMFAG00000039094",24.2430199292077,0.344369985017055,0.1373688941943,1908.94857604421,0,0,"STK26","protein_coding"
"ENSMFAG00000041424",341.165240503644,-0.139070664359649,0.0986491183829271,5577.31948357009,0,0,"LPL","protein_coding"
"ENSMFAG00000031729",900.53912231307,-0.094662834608909,0.146625505978367,3861.87551474178,0,0,"PENK","protein_coding"
"ENSMFAG00000045036",90.2904745043486,-0.0556802960569508,0.0995843280909648,1794.10799568814,0,0,"ANO2","protein_coding"
"ENSMFAG00000042942",184.544389572163,-0.336823145520094,0.0738863200961102,2699.90273042485,0,0,"SRGAP1","protein_coding"
"ENSMFAG00000001392",16.8282047664431,-0.223616637456702,0.172996529942815,1586.56747018083,0,0,"ST8SIA6","protein_coding"
"ENSMFAG00000040667",25.2427186168249,-0.385436148192933,0.144148873661053,1587.1690742211,0,0,"MYO3A","protein_coding"
"ENSMFAG00000003838",1897.7741415882,0.202816141458522,0.0624391236908907,1666.61134836379,0,0,"INPP5A","protein_coding"
"ENSMFAG00000035983",3701.35027890454,-0.126833131948648,0.0581177400275964,2200.91722721541,0,0,"SATB2","protein_coding"
"ENSMFAG00000028402",233.438986414562,-0.693878359872389,0.144234271523392,2696.21037843283,0,0,"LRRC10B","protein_coding"
"ENSMFAG00000043416",344.31200321935,-0.00689482934817557,0.14744247110531,5273.84983785822,0,0,"DRD2","protein_coding"
"ENSMFAG00000002569",68.9780376579602,-0.321556900577073,0.155313757313473,4083.13183619932,0,0,"BSPRY","protein_coding"
"ENSMFAG00000002145",860.765244546711,0.262533867392129,0.0547903854727473,2277.84030915641,0,0,"ABCA1","protein_coding"
"ENSMFAG00000018905",49.8887665899238,-0.870511417220135,0.08885578231334,1578.6897194096,0,0,"ENSMFAG00000018905","protein_coding"
"ENSMFAG00000027078",178.239562605082,0.356263872434569,0.0700699684734468,2283.8018292149,0,0,"PBX3","protein_coding"
"ENSMFAG00000037536",23.2650419698439,-0.450022900558059,0.248945160924773,2350.94539799787,0,0,"SLC5A7","protein_coding"
"ENSMFAG00000044088",52.2477149742001,0.247396426536598,0.285457149492374,2120.116243181,0,0,"SIX3","protein_coding"
"ENSMFAG00000033090",769.391818982229,-0.042107428571391,0.0756170085285082,2171.04410040237,0,0,"ENSMFAG00000033090","protein_coding"
"ENSMFAG00000044565",410.016622806004,-0.0242063605382864,0.0603342536738892,2272.85784984145,0,0,"FOXO1","protein_coding"
"ENSMFAG00000019768",23.1291894707536,-0.173246987193146,0.184958207200072,2026.46750316083,0,0,"ENSMFAG00000019768","protein_coding"
"ENSMFAG00000032114",126.404563935567,0.111244323385078,0.0971676095429529,1717.51561999796,0,0,"DACH1","protein_coding"
"ENSMFAG00000001921",779.432173267104,-0.0784382363208416,0.0509271911378082,2141.76505642446,0,0,"EDNRB","protein_coding"
"ENSMFAG00000035829",286.938133945488,-0.138648648214751,0.0579595362534994,1579.45032086657,0,0,"GPC5","protein_coding"
"ENSMFAG00000031796",385.916629057803,-0.322486140368437,0.141798915409797,5448.57476915005,0,0,"ADORA2A","protein_coding"
"ENSMFAG00000038394",147.925500758018,0.084688321471628,0.0905213786311857,1565.83916364069,0,0,"RFLNB","protein_coding"
"ENSMFAG00000001154",227.203559297952,0.0295932392190099,0.143709537252169,2419.44203232533,0,0,"ATP2A3","protein_coding"
"ENSMFAG00000045616",195.81659015207,0.166417217553859,0.108937736019328,2176.19005481058,0,0,"PIK3R5","protein_coding"
"ENSMFAG00000041728",4136.84268576506,0.281167221578006,0.098682294984739,2598.59623480126,0,0,"PPP1R1B","protein_coding"
"ENSMFAG00000002771",140.514786017892,0.489442458378731,0.161003081960031,1811.32577562558,0,0,"PNMT","protein_coding"
"ENSMFAG00000001149",166.230598649317,0.0093069746703159,0.0889385637287924,2288.20176411918,0,0,"ARHGAP27","protein_coding"
"ENSMFAG00000035462",265.444096465213,-0.386275513905832,0.10730456512889,4577.15379926887,0,0,"RGS9","protein_coding"
"ENSMFAG00000043089",1071.34357160932,0.00896364794867724,0.0630063853459461,1657.22696307166,0,0,"CACNG4","protein_coding"
"ENSMFAG00000002118",34.9111213474822,0.100881098095436,0.144437593973966,1582.001459156,0,0,"DNAH17","protein_coding"
"ENSMFAG00000031370",274.423841817353,-0.0246404158163464,0.0826447418255327,2071.90356553842,0,0,"CARHSP1","protein_coding"
"ENSMFAG00000006757",27.010627396205,-0.747467530124543,0.231516676575794,2713.574240025,0,0,"GPR139","protein_coding"
"ENSMFAG00000032048",18.9744427508147,0.126770542093015,0.201573847377445,1678.13996984111,0,0,"IRX3","protein_coding"
"ENSMFAG00000034225",707.134050564131,-0.146073252239595,0.0715527212210254,1689.71759612687,0,0,"ZFHX3","protein_coding"
"ENSMFAG00000044213",1459.3088635447,-0.360991619033589,0.070282604519577,1664.54054690029,0,0,"GNAL","protein_coding"
"ENSMFAG00000016787",575.443341676786,-0.109151316166302,0.112191581359233,1655.16581090279,0,0,"LINGO3","protein_coding"
"ENSMFAG00000003910",485.047313646536,0.27363421417192,0.0831691376172094,1959.13714159557,0,0,"GNG7","protein_coding"
"ENSMFAG00000033353",12.3841039927182,-0.34738090989096,0.195337346142608,1673.7288864663,0,0,"ACSBG2","protein_coding"
"ENSMFAG00000038912",132.680930600553,1.66971579435449,0.15383185914853,2236.45651860668,0,0,"ENSMFAG00000038912","protein_coding"
"ENSMFAG00000034405",43.8129740261016,0.279530110402513,0.143179359842999,2855.30777928259,0,0,"ECEL1","protein_coding"
"ENSMFAG00000046226",2503.75719980224,0.772385629563676,0.0795653954793089,1530.86564842688,4.94065645841247e-324,1.26480805335359e-321,"RORB","protein_coding"
"ENSMFAG00000031010",1018.6237157933,-0.0250948035721944,0.107680222473425,1528.24632740827,1.48219693752374e-323,3.74995825193506e-321,"RASD2","protein_coding"
"ENSMFAG00000032487",947.49114383455,-0.601410781545335,0.0932951894781847,1525.83517076554,4.94065645841247e-323,1.23417598331143e-320,"BCL11B","protein_coding"
"ENSMFAG00000041845",1388.18985610653,-0.101623464280617,0.0412866207130505,1522.50788399354,2.56914135837448e-322,6.33688597355983e-320,"KHDRBS3","protein_coding"
"ENSMFAG00000042203",19.0326168437629,-0.377092152480986,0.182188150384512,1514.35796575947,1.49603077560729e-320,3.64440606735754e-318,"TRH","protein_coding"
"ENSMFAG00000019272",585.178050422273,0.249423023003793,0.0966405276047876,1511.33283615919,6.74152573750381e-320,1.62224132703438e-317,"RASGRP2","protein_coding"
"ENSMFAG00000025079",844.206274658858,-0.0462347704147762,0.0601180978880583,1507.45545193905,4.64337715930979e-319,1.10389299698537e-316,"C10H20orf27","protein_coding"
"ENSMFAG00000042358",647.576495300767,0.0104477787983282,0.0601319871605031,1497.14608324771,7.85356276437554e-317,1.844839291058e-314,"TANC1","protein_coding"
"ENSMFAG00000045768",228.922084424963,-0.106954838074709,0.0631250237370378,1493.48006955162,4.86866452274031e-316,1.13021751014141e-313,"RAB34","protein_coding"
"ENSMFAG00000008697",14.1640669430939,-0.332117432422166,0.426416602867103,1489.60635773568,3.34682717672853e-315,7.67902254082199e-313,"SLC18A3","protein_coding"
"ENSMFAG00000017288",34.739979562041,-0.820828074125064,0.0892451795511116,1487.70733365164,8.61122011993454e-315,1.95306431501927e-312,"ENSMFAG00000017288","protein_coding"
"ENSMFAG00000045585",322.95353379675,-0.247188533424338,0.0686837633961711,1477.78509082549,1.20086534373687e-312,2.69266760938815e-310,"HEYL","protein_coding"
"ENSMFAG00000032788",34.0033260998707,-0.0325266300977914,0.145844988558721,1451.82120267561,4.90426965595467e-307,1.08731515563256e-304,"REM2","protein_coding"
"ENSMFAG00000040830",119.57414201837,0.146656194867427,0.11263003366434,1448.61676803412,2.41576358633078e-306,5.29642745394211e-304,"FHDC1","protein_coding"
"ENSMFAG00000033604",1064.89607821036,0.344311455166204,0.0612786036900697,1440.92513662861,1.10965986414059e-304,2.40613279551891e-302,"TSHZ3","protein_coding"
"ENSMFAG00000032509",37.8220954519781,-0.771435330375401,0.163767331030322,1439.92229721467,1.82766628152697e-304,3.91994685511849e-302,"ONECUT2","protein_coding"
"ENSMFAG00000001459",27.5769828619717,0.120534533006525,0.112839564892714,1439.25410017244,2.548528478025e-304,5.40726493853649e-302,"CD86","protein_coding"
"ENSMFAG00000003901",74.1010308059027,-0.106027034008578,0.130402424323554,1435.12836899946,1.9852864405854e-303,4.16741191974799e-301,"SMOC2","protein_coding"
"ENSMFAG00000038026",810.01311668525,-0.206984521550101,0.0681099708454675,1430.00617569563,2.53901926393088e-302,5.27367664377727e-300,"DGKH","protein_coding"
"ENSMFAG00000040001",3015.46334264545,0.226969931739935,0.0438233948912112,1426.05159363292,1.81630645378319e-301,3.7332665568802e-299,"LRRC4","protein_coding"
