"gene_id","highest_network","donor_centered_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000044637","Occipital/Temporal",0.295490596032862,"PGBD2","protein_coding"
"ENSMFAG00000039056","Occipital/Temporal",0.35095779257899,"ZNF692","protein_coding"
"ENSMFAG00000030010","Subcortical",0.34685056415982,"ZNF672","protein_coding"
"ENSMFAG00000002737","Temporal",0.157190464610903,"SH3BP5L","protein_coding"
"ENSMFAG00000005691","Subcortical",0.485181297217659,"ENSMFAG00000005691","miRNA"
"ENSMFAG00000040566","Subcortical",0.345694194966847,"ENSMFAG00000040566","protein_coding"
"ENSMFAG00000010714","Hippocampal formation",0.855643194610573,"ENSMFAG00000010714","protein_coding"
"ENSMFAG00000010782","Subcortical",0.461454065959068,"ENSMFAG00000010782","protein_coding"
"ENSMFAG00000011078","Hippocampal formation",0.554298224056675,"ENSMFAG00000011078","protein_coding"
"ENSMFAG00000039110","Hippocampal formation",0.442495086256126,"ENSMFAG00000039110","protein_coding"
"ENSMFAG00000039872","Hippocampal formation",0.744954768859216,"OR2AJ1","protein_coding"
"ENSMFAG00000002322","Hippocampal formation",0.806287861918038,"ENSMFAG00000002322","pseudogene"
"ENSMFAG00000032683","Hippocampal formation",1.56021015461889,"TRIM58","protein_coding"
"ENSMFAG00000041250","Hippocampal formation",0.567580535757717,"GCSAML","protein_coding"
"ENSMFAG00000029820","Hippocampal formation",0.625709746746654,"OR2B11","protein_coding"
"ENSMFAG00000038424","Subcortical",0.741973255674436,"NLRP3","protein_coding"
"ENSMFAG00000035433","Occipital/Temporal",0.470686003420853,"ZNF496","protein_coding"
"ENSMFAG00000044188","Temporal",0.209980438844204,"ENSMFAG00000044188","protein_coding"
"ENSMFAG00000041032","Parietal, and Parieto-occipital region",0.300794871997803,"ZNF124","protein_coding"
"ENSMFAG00000003888","Occipital/Temporal",0.191369201258179,"ZNF669","protein_coding"
"ENSMFAG00000037311","Occipital/Temporal",0.323851630820128,"ZNF670","protein_coding"
"ENSMFAG00000003501","Frontal (agranular frontal motor areas)",0.284524008310603,"ZNF695","protein_coding"
"ENSMFAG00000045763","Subcortical",0.252247792769448,"AHCTF1","protein_coding"
"ENSMFAG00000044986","Subcortical",0.377438467659851,"SCCPDH","protein_coding"
"ENSMFAG00000000416","Occipital/Temporal",0.198583727765391,"CNST","protein_coding"
"ENSMFAG00000000959","Occipital/Temporal",0.183433770234589,"TFB2M","protein_coding"
"ENSMFAG00000045761","Frontal (agranular frontal motor areas)",0.128969858244492,"SMYD3","protein_coding"
"ENSMFAG00000005001","Occipital/Temporal",0.420109449150523,"RF00026","snRNA"
"ENSMFAG00000023144","Hippocampal formation",0.387373955096114,"KIF26B","protein_coding"
"ENSMFAG00000039610","Hippocampal formation",0.503049325568357,"ENSMFAG00000039610","protein_coding"
"ENSMFAG00000005303","Subcortical",0.452568214276296,"RF00026","snRNA"
"ENSMFAG00000015148","Subcortical",0.300968752299774,"RF00026","snRNA"
"ENSMFAG00000037308","Occipital/Temporal",0.0675577881765663,"HNRNPU","protein_coding"
"ENSMFAG00000039162","Subcortical",0.551536064579502,"COX20","protein_coding"
"ENSMFAG00000040697","Occipital/Temporal",0.381288566600626,"ENSMFAG00000040697","protein_coding"
