"gene_symbol","fisher_score","gene_index","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","highest_network","donor_centered_log2_effect_vs_other_network_mean","lrt_tested","lrt_fdr_lt_0_05","effect_n_donors","effect_se","effect_ci95_low","effect_ci95_high"
"SATB2",3.59014743649651,17541,"ENSMFAG00000035983",3701.35027890454,-0.126833131948648,0.0581177400275964,2200.91722721541,0,0,"protein_coding","Lateral Prefrontal Cortex",0.769530804770776,TRUE,TRUE,6,0.0667343565377221,0.212917170764371,0.556009420221863
"ATP4A",2.46972789892396,1078,"ENSMFAG00000038036",624.905059397729,0.207156089388506,0.102303094071448,1332.62916357875,2.77185871391654e-281,4.97221055845465e-279,"protein_coding","Parietal, and Parieto-occipital region",1.1211598009791,TRUE,TRUE,7,0.111320854300942,0.481555077680467,1.02633971301758
"MEF2C",2.36736855808871,13239,"ENSMFAG00000044479",12382.7884113658,-0.0110561318766195,0.0714537721918602,1097.1198194991,1.94031796458973e-230,2.18779166155911e-228,"protein_coding","Orbitomedial Prefrontal Cortex (OMPFC)",0.605100582409578,TRUE,TRUE,9,0.139106286586519,0.123440057871604,0.764999402074421
"VIPR1",2.24533685163103,20707,"ENSMFAG00000044690",592.718725219946,-0.254042979083998,0.0796427964733453,1055.39886997428,1.94375176663703e-221,1.99760988850426e-219,"protein_coding","Cingulate gyrus",0.698832448813737,TRUE,TRUE,8,0.13110678852013,0.0565420325578838,0.676578615924178
"TWIST1",2.18597749816288,20370,"ENSMFAG00000045982",311.878392197336,0.732337108157042,0.115392694040627,1187.84852941735,5.09267758348738e-250,7.22940389045849e-248,"protein_coding","Parietal, and Parieto-occipital region",1.34964928508041,TRUE,TRUE,7,0.113319135320753,0.344412679429619,0.89897654978532
"MPPED1",2.16957569275414,13785,"ENSMFAG00000033422",3263.57046052933,-0.113317496963687,0.0875256540306231,770.163268325221,5.60940410127467e-160,2.45966137169671e-158,"protein_coding","Lateral Prefrontal Cortex",0.675757673754877,TRUE,TRUE,6,0.0765935470457707,0.22616085742872,0.619940818954348
"GFRA2",2.16543210399744,10708,"ENSMFAG00000023628",668.530154387426,-0.180511242844508,0.0662931085223105,1262.24038824045,4.41714455902657e-266,6.91738860624701e-264,"protein_coding","Occipital/Temporal",0.667278637351843,TRUE,TRUE,9,0.072112055665533,0.316455107399516,0.6490365045251
"ENSMFAG00000042392",2.13236617213235,8427,"ENSMFAG00000042392",1000.523595562,-0.195380834843532,0.0889251603599781,749.60638019872,1.48516120125175e-155,6.11799599647173e-154,"protein_coding","Lateral Prefrontal Cortex",0.678265295374743,TRUE,TRUE,6,0.0892989654154158,0.212464393417908,0.671564990293875
"LMO4",2.11570290474301,12702,"ENSMFAG00000034077",5235.27939712183,-0.190351716185802,0.0595588579562387,1216.06976243836,4.11542549055031e-256,6.105682389439e-254,"protein_coding","Lateral Prefrontal Cortex",0.501111503334176,TRUE,TRUE,6,0.0729603334743603,0.230394575458174,0.605495591360491
"EMX1",2.08451219618451,4168,"ENSMFAG00000003754",1343.33812514587,0.264067653329838,0.121363764846185,530.20154888194,1.95092546377718e-108,3.24583990314092e-107,"protein_coding","Occipital/Temporal",1.01698428141401,TRUE,TRUE,9,0.128538873489995,0.488332175531525,1.08115452313635
