"sample_id","PC1","PC2","network","donor_id"
"19R348",-2.26909105958008,-10.3948744838612,"Parietal, and Parieto-occipital region","2"
"19R349",-3.41969143074349,-15.3299879866088,"Parietal, and Parieto-occipital region","2"
"19R350",-2.04690768198199,-2.13158564792829,"Occipital/Temporal","2"
"19R356",6.28844038091421,5.84472353131198,"Orbitomedial Prefrontal Cortex (OMPFC)","2"
"19R357",1.25277754411432,1.3646782679914,"Orbitomedial Prefrontal Cortex (OMPFC)","2"
"19R358",1.1382659620195,6.15742481902472,"Orbitomedial Prefrontal Cortex (OMPFC)","2"
"19R359",3.62688372564212,8.82889866269707,"Orbitomedial Prefrontal Cortex (OMPFC)","2"
"19R361",8.45604620444671,3.66497321729743,"Frontal (agranular frontal motor areas)","2"
"19R369",-0.549456712146796,-2.73292038395281,"Frontal (agranular frontal motor areas)","2"
"19R372",7.31071329263199,-2.64702849498196,"Parietal, and Parieto-occipital region","2"
"19R376",13.0072505837989,5.06839416853205,"Temporal","2"
"19R378",10.046615575396,-15.8365314603328,"Subcortical","2"
"19R416",1.10579564949456,1.801572572818,"Frontal (agranular frontal motor areas)","92"
"19R421",10.5435952126549,-6.81814504834075,"Frontal (agranular frontal motor areas)","92"
"19R422",5.54684987711775,-13.1205660512002,"Frontal (agranular frontal motor areas)","92"
"19R423",3.84919700873306,-17.3874221978715,"Subcortical","92"
"19R425",-5.9835290758563,-18.1343885139415,"Parietal, and Parieto-occipital region","92"
"19R426",-3.77026028986213,-9.48600260229162,"Parietal, and Parieto-occipital region","92"
"19R428",-5.66861035152354,-3.92141875806018,"Temporal","92"
"19R429",-5.78114909511226,-0.796646408224078,"Temporal","92"
"19R432",-7.58739550498612,-16.8276271207241,"Occipital/Temporal","92"
"19R461",10.167569280853,-13.5197402123391,"Parietal, and Parieto-occipital region","92"
"19R462",5.73367143350922,-11.5510343761341,"Parietal, and Parieto-occipital region","92"
"19R464",9.49288468205067,-12.9718721914788,"Temporal","92"
"19R465",11.8028459408596,5.18405438798978,"Temporal","92"
"19R466",9.45691123746148,-11.9002810610998,"Temporal","92"
"19R467",7.3748849841899,-15.2174419378819,"Occipital/Temporal","92"
"19R468",10.3056478456952,-4.77873607475392,"Occipital/Temporal","92"
"19R469",12.9112990554895,-8.44836958862505,"Occipital/Temporal","92"
"19R470",10.2179045889167,-7.3116274874978,"Occipital/Temporal","92"
"19R471",9.65452639425436,-14.2324320974228,"Frontal (agranular frontal motor areas)","92"
"19R472",2.91645510554158,-15.7942489541125,"Occipital/Temporal","92"
"19R495",13.0116854972785,0.680714378831002,"Lateral Prefrontal Cortex","92"
"19R496",11.1020142204381,-10.3261530310348,"Lateral Prefrontal Cortex","92"
"19R497",10.1416776052823,-11.0763242541458,"Lateral Prefrontal Cortex","92"
"19R498",10.5432379533862,-9.06310911100144,"Lateral Prefrontal Cortex","92"
"19R499",11.4423110352336,2.90987871449326,"Orbitomedial Prefrontal Cortex (OMPFC)","92"
"19R500",12.7257699962515,2.38471118083932,"Orbitomedial Prefrontal Cortex (OMPFC)","92"
"19R501",12.0354080971302,-5.92171715408124,"Frontal (agranular frontal motor areas)","92"
"19R502",10.6490951347697,-0.54773483507391,"Temporal","92"
"19R503",11.4880896331078,5.90351565310969,"Temporal","92"
"19R504",9.7111623327451,0.156455507605771,"Temporal","92"
"19R505",13.2763124103669,7.11729393113419,"Operculum/Insula","92"
"19R506",11.9550324774917,-13.013459005996,"Operculum/Insula","92"
"19R507",11.0302136586309,-9.80679068033195,"Temporal","92"
"19R508",10.3640699706435,-11.7254585027917,"Temporal","92"
"19R509",11.9747650373202,-6.51600116606828,"Temporal","92"
"19R510",8.47923984366588,-9.0983909951996,"Temporal","92"
"19R511",11.1816524100946,-3.67705519140853,"Hippocampal formation","92"
"19R512",10.1473136460862,-4.30402354837211,"Parietal, and Parieto-occipital region","92"
"19R513",8.83612529298821,-15.4165606427105,"Parietal, and Parieto-occipital region","92"
"19R514",10.8681041382899,5.47524542934168,"Temporal","92"
"19R515",8.10501920578412,-17.7348328179219,"Temporal","92"
"19R516",11.0587832068809,-10.609849876282,"Subcortical","92"
"19R517",7.54493464244463,-18.2636245236234,"Occipital/Temporal","92"
"19R518",10.9740115462485,-17.2474499197334,"Subcortical","92"
"19R519",11.4123687765921,-4.8968728806821,"Subcortical","92"
"19R352",-3.81145641509927,-2.56143769972944,"Subcortical","2"
"19R353",13.663584722248,-4.73846754621239,"Subcortical","2"
"19R364",12.9626841445605,6.46802732237889,"Operculum/Insula","2"
"19R368",-3.09177359215052,-5.15791576596356,"Parietal, and Parieto-occipital region","2"
"19R371",12.8614316094392,-1.37243830152389,"Occipital/Temporal","2"
"19R578",12.3340581846903,-2.72828617021606,"Frontal (agranular frontal motor areas)","92"
"19R579",13.1158595568185,-2.8994371642642,"Operculum/Insula","92"
"19R580",6.73173981410509,0.366939977988577,"Operculum/Insula","92"
"19R581",11.6174632917456,-3.01447891460407,"Cingulate gyrus","92"
"19R582",11.4239657272529,-7.09096897967912,"Parietal, and Parieto-occipital region","92"
"19R583",12.3285292887435,-7.3296142634286,"Parietal, and Parieto-occipital region","92"
"19R584",11.8538995627671,-13.7677812445627,"Temporal","92"
"19R585",9.78461239220485,-11.3267473728271,"Temporal","92"
"19R586",11.5900355528283,-11.1443681401394,"Temporal","92"
"19R587",12.4935882092158,-4.13844258785484,"Temporal","92"
"19R588",17.8312186687167,-0.475400497380858,"Lateral Prefrontal Cortex","92"
