block_id	donor_id	region	network	n_tissue_samples
2::7m	2	7m	Parietal, and Parieto-occipital region	1
2::VIP	2	VIP	Parietal, and Parieto-occipital region	1
2::V4v	2	V4v	Occipital/Temporal	1
2::13b	2	13b	Orbitomedial Prefrontal Cortex (OMPFC)	1
2::11l	2	11l	Orbitomedial Prefrontal Cortex (OMPFC)	1
2::14r	2	14r	Orbitomedial Prefrontal Cortex (OMPFC)	1
2::10m	2	10m	Orbitomedial Prefrontal Cortex (OMPFC)	1
2::F3	2	F3	Frontal (agranular frontal motor areas)	1
2::F1	2	F1	Frontal (agranular frontal motor areas)	1
2::1-2	2	1-2	Parietal, and Parieto-occipital region	1
2::AL	2	AL	Temporal	1
2::pu	2	pu	Subcortical	1
92::F6	92	F6	Frontal (agranular frontal motor areas)	1
92::F2	92	F2	Frontal (agranular frontal motor areas)	1
92::F1	92	F1	Frontal (agranular frontal motor areas)	2
92::cd	92	cd	Subcortical	3
92::3a/b	92	3a/b	Parietal, and Parieto-occipital region	2
92::1-2	92	1-2	Parietal, and Parieto-occipital region	1
92::TEad	92	TEad	Temporal	1
92::TEav	92	TEav	Temporal	2
92::V4	92	V4	Occipital/Temporal	1
92::5	92	5	Parietal, and Parieto-occipital region	2
92::7a	92	7a	Parietal, and Parieto-occipital region	1
92::TPO	92	TPO	Temporal	1
92::TFO	92	TFO	Temporal	1
92::TEO	92	TEO	Temporal	2
92::V1	92	V1	Occipital/Temporal	4
92::V2	92	V2	Occipital/Temporal	4
92::V3v	92	V3v	Occipital/Temporal	1
92::9m	92	9m	Lateral Prefrontal Cortex	2
92::9d	92	9d	Lateral Prefrontal Cortex	2
92::46d	92	46d	Lateral Prefrontal Cortex	1
92::12l	92	12l	Lateral Prefrontal Cortex	1
92::11m	92	11m	Orbitomedial Prefrontal Cortex (OMPFC)	2
92::11l	92	11l	Orbitomedial Prefrontal Cortex (OMPFC)	2
92::F4	92	F4	Frontal (agranular frontal motor areas)	1
92::TG	92	TG	Temporal	1
92::STG	92	STG	Temporal	4
92::PrCo	92	PrCo	Operculum/Insula	2
92::SII	92	SII	Operculum/Insula	2
92::RM	92	RM	Temporal	2
92::R	92	R	Temporal	2
92::AL	92	AL	Temporal	2
92::HC	92	HC	Hippocampal formation	1
92::7op	92	7op	Parietal, and Parieto-occipital region	3
92::VIP	92	VIP	Parietal, and Parieto-occipital region	2
92::TEpd	92	TEpd	Temporal	2
92::cla	92	cla	Subcortical	1
92::thalamus	92	thalamus	Subcortical	1
92::amy	92	amy	Subcortical	1
2::amy	2	amy	Subcortical	1
2::PL	2	PL	Subcortical	1
2::G	2	G	Operculum/Insula	1
2::3a/b	2	3a/b	Parietal, and Parieto-occipital region	1
2::V3v	2	V3v	Occipital/Temporal	1
92::F5	92	F5	Frontal (agranular frontal motor areas)	2
92::Ial	92	Ial	Operculum/Insula	1
92::24c	92	24c	Cingulate gyrus	2
92::7b	92	7b	Parietal, and Parieto-occipital region	3
92::A1	92	A1	Temporal	2
92::CL	92	CL	Temporal	1
92::TEpv	92	TEpv	Temporal	2
92::12m	92	12m	Orbitomedial Prefrontal Cortex (OMPFC)	1
92::13b	92	13b	Orbitomedial Prefrontal Cortex (OMPFC)	4
92::14r	92	14r	Orbitomedial Prefrontal Cortex (OMPFC)	2
92::32	92	32	Orbitomedial Prefrontal Cortex (OMPFC)	2
92::44	92	44	Lateral Prefrontal Cortex	2
92::12o	92	12o	Orbitomedial Prefrontal Cortex (OMPFC)	2
92::13a	92	13a	Orbitomedial Prefrontal Cortex (OMPFC)	2
92::14c	92	14c	Orbitomedial Prefrontal Cortex (OMPFC)	2
92::25	92	25	Orbitomedial Prefrontal Cortex (OMPFC)	2
92::45	92	45	Lateral Prefrontal Cortex	1
92::12r	92	12r	Lateral Prefrontal Cortex	1
92::ML	92	ML	Temporal	2
34::10m	34	10m	Orbitomedial Prefrontal Cortex (OMPFC)	4
34::46d	34	46d	Lateral Prefrontal Cortex	3
34::46v	34	46v	Lateral Prefrontal Cortex	3
34::12r	34	12r	Lateral Prefrontal Cortex	3
34::11l	34	11l	Orbitomedial Prefrontal Cortex (OMPFC)	3
34::10o	34	10o	Lateral Prefrontal Cortex	4
34::9m	34	9m	Lateral Prefrontal Cortex	2
34::9d	34	9d	Lateral Prefrontal Cortex	3
34::12l	34	12l	Lateral Prefrontal Cortex	2
34::12m	34	12m	Orbitomedial Prefrontal Cortex (OMPFC)	2
34::13b	34	13b	Orbitomedial Prefrontal Cortex (OMPFC)	2
34::14r	34	14r	Orbitomedial Prefrontal Cortex (OMPFC)	3
34::32	34	32	Orbitomedial Prefrontal Cortex (OMPFC)	2
34::8Bm	34	8Bm	Lateral Prefrontal Cortex	2
34::8Bd	34	8Bd	Lateral Prefrontal Cortex	2
34::45	34	45	Lateral Prefrontal Cortex	2
34::24b	34	24b	Cingulate gyrus	2
34::24c	34	24c	Cingulate gyrus	2
34::F6	34	F6	Frontal (agranular frontal motor areas)	2
34::F7	34	F7	Frontal (agranular frontal motor areas)	2
34::8Bs	34	8Bs	Lateral Prefrontal Cortex	3
34::8A	34	8A	Lateral Prefrontal Cortex	3
34::12o	34	12o	Orbitomedial Prefrontal Cortex (OMPFC)	2
34::14c	34	14c	Orbitomedial Prefrontal Cortex (OMPFC)	2
34::F3	34	F3	Frontal (agranular frontal motor areas)	3
34::F2	34	F2	Frontal (agranular frontal motor areas)	4
34::F4	34	F4	Frontal (agranular frontal motor areas)	2
34::3a/b	34	3a/b	Parietal, and Parieto-occipital region	2
34::1-2	34	1-2	Parietal, and Parieto-occipital region	4
34::STG	34	STG	Temporal	4
34::pu	34	pu	Subcortical	3
34::cd	34	cd	Subcortical	3
34::SII	34	SII	Operculum/Insula	2
34::RM	34	RM	Temporal	2
34::R	34	R	Temporal	2
34::TEav	34	TEav	Temporal	2
34::5	34	5	Parietal, and Parieto-occipital region	3
34::7b	34	7b	Parietal, and Parieto-occipital region	2
34::7op	34	7op	Parietal, and Parieto-occipital region	3
34::A1	34	A1	Temporal	2
34::ML	34	ML	Temporal	2
34::TEpd	34	TEpd	Temporal	3
34::TEpv	34	TEpv	Temporal	2
34::VIP	34	VIP	Parietal, and Parieto-occipital region	2
34::Tpt	34	Tpt	Temporal	2
34::TEO	34	TEO	Temporal	4
34::V4	34	V4	Occipital/Temporal	3
34::TPO	34	TPO	Temporal	4
34::TFO	34	TFO	Temporal	3
34::7m	34	7m	Parietal, and Parieto-occipital region	3
34::V3v	34	V3v	Occipital/Temporal	3
34::V4v	34	V4v	Occipital/Temporal	4
34::V3d	34	V3d	Occipital/Temporal	1
34::V1	34	V1	Occipital/Temporal	4
34::V2	34	V2	Occipital/Temporal	4
34::13m	34	13m	Orbitomedial Prefrontal Cortex (OMPFC)	2
34::13l	34	13l	Orbitomedial Prefrontal Cortex (OMPFC)	2
34::44	34	44	Lateral Prefrontal Cortex	1
34::AL	34	AL	Temporal	2
34::CL	34	CL	Temporal	1
34::Ig	34	Ig	Operculum/Insula	2
34::36c	34	36c	Temporal	2
34::Id	34	Id	Operculum/Insula	1
34::RTM	34	RTM	Temporal	2
34::F1	34	F1	Frontal (agranular frontal motor areas)	3
34::NARegion	34	NARegion	Subcortical	2
34::F5	34	F5	Frontal (agranular frontal motor areas)	2
34::RT	34	RT	Temporal	2
34::TAa	34	TAa	Temporal	2
34::amy	34	amy	Subcortical	2
34::24a'	34	24a'	Cingulate gyrus	2
34::TEm	34	TEm	Temporal	2
34::Iapm	34	Iapm	Operculum/Insula	1
34::PrCo	34	PrCo	Operculum/Insula	2
34::24c'	34	24c'	Cingulate gyrus	1
34::Iapl	34	Iapl	Operculum/Insula	2
34::TEad	34	TEad	Temporal	2
34::Ial	34	Ial	Operculum/Insula	2
34::G	34	G	Operculum/Insula	1
34::Pir	34	Pir	Subcortical	1
34::RTL	34	RTL	Temporal	2
34::LIPd	34	LIPd	Parietal, and Parieto-occipital region	2
34::LIPv	34	LIPv	Parietal, and Parieto-occipital region	2
34::7a	34	7a	Parietal, and Parieto-occipital region	3
34::HC	34	HC	Hippocampal formation	3
34::thalamus	34	thalamus	Subcortical	2
92::CM	92	CM	Temporal	1
34::31	34	31	Cingulate gyrus	1
92::TAa	92	TAa	Temporal	1
34::MST	34	MST	Occipital/Temporal	1
