gene_symbol,fg_score,fg_rank,between_variance,within_variance,permutation_exceed_count,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200,in_recomputed_top200
A1BG,9.656341495708256,6946,0.29708884533988994,0.03076618084690931,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
A2M,25.001123981803655,1843,1.1759444728447437,0.047035654224561296,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
A2ML1,16.714992278632547,3615,0.8640133555900629,0.051690911610210145,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
A3GALT2,3.8885738608440055,12989,0.09969035877462604,0.02563673044576036,1,0.0003999200159968006,0.0006602763567981313,True,True,False,False
A4GALT,6.034178501764413,9966,0.24687042163435136,0.04091200835712445,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AAAS,24.951380532115337,1854,0.7145486020147161,0.02863762794933145,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AACS,73.5096685772962,72,1.7935003892446808,0.024398146378011635,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
AADACL3,12.852447634329934,5112,0.016301602941680038,0.0012683556378522897,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AADAT,42.37593661138553,506,2.4393548609053624,0.05756461407606015,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
AAGAB,7.251426085876131,8810,0.1299970599301059,0.01792709266788845,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AAK1,26.040776233898463,1694,0.7083026934711003,0.027199743460078137,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AAMDC,11.129789060208347,6017,0.3682686483059941,0.03308854597476168,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AAMP,2.4630192153745827,16080,0.04586635197418398,0.01862199330711123,44,0.008998200359928014,0.012369029080690238,True,False,False,False
AANAT,3.6793596154909656,13352,0.0680188690937828,0.01848659533409331,57,0.011597680463907219,0.015679699275718578,True,False,False,False
AAR2,2.644171753240686,15587,0.02921537031006654,0.011048958462150881,22,0.004599080183963208,0.006588619466189408,True,True,False,False
AARD,1.4098635020800487,18973,0.0021713632422292375,0.001540113025403315,582,0.11657668466306739,0.13619364874531428,False,False,False,False
AARS,12.721557533777585,5166,0.17589743350529544,0.013826711534549695,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AARS2,8.87981909494464,7468,0.11824034818022172,0.013315615793270608,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AASDH,2.226328166070753,16670,0.10178197526141576,0.04571740794968654,165,0.033193361327734455,0.041940273674811956,True,False,False,False
AASDHPPT,1.4307780834924035,18911,0.0760930343091511,0.05318296448575301,980,0.19616076784643072,0.22117976363097572,False,False,False,False
AASS,13.743595260904616,4733,0.48323582841276685,0.03516079175813907,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AATF,9.229685306936716,7203,0.2841388921178267,0.030785318282458084,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
AATK,2.1456139265059964,16890,0.10057441055196376,0.04687441102677957,126,0.02539492101579684,0.032631035318169126,True,False,False,False
ABAT,35.64491395521012,846,0.26375490659279155,0.007399500261806627,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA1,63.020108372331734,131,2.865195256319235,0.04546476831157089,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ABCA10,13.452414882906059,4852,1.0213807149678216,0.07592544456397475,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA12,29.66177411459322,1296,3.286832739467881,0.11081037938432212,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA13,26.825464929021244,1601,1.3442182664066478,0.050109774488857055,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA2,7.588364795578008,8485,0.3253760355159377,0.042878270667996495,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA3,32.17775373978951,1078,0.6704437111038489,0.02083561813381872,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA4,6.223782058536035,9781,0.7019548109178955,0.112785881973057,4,0.0009998000399920016,0.0015583129957233988,True,True,False,False
ABCA5,3.9856511293762114,12803,0.4077738737966557,0.10231046840368202,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA6,11.498950907946472,5803,0.9156564613679841,0.07962955522713824,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA7,5.35026394614108,10770,0.2535059342206627,0.04738193914729503,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA8,15.833329164112076,3921,3.034033677046651,0.1916232200610292,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCA9,9.596357605892113,6988,0.6993956054266351,0.07288135125702631,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCB1,8.828485067686795,7507,0.26164592689584365,0.02963654994090038,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCB10,2.5611958584932677,15815,0.043869724752881284,0.017128599905956006,38,0.007798440311937612,0.010819349768156242,True,False,False,False
ABCB11,5.16354779356154,11032,0.02059518671037862,0.003988562883175185,5,0.0011997600479904018,0.001850936327508439,True,True,False,False
ABCB5,0.29591935219784754,21626,0.0006963901247573673,0.0023533005205359147,4850,0.97000599880024,0.9713508633886495,False,False,False,False
ABCB6,27.51445465722538,1512,0.381179482076468,0.013853780192289679,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCB7,6.769668230811086,9227,0.30326338993603547,0.04479736848241655,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCB8,2.3961537055378903,16250,0.03813110168718604,0.01591345231214593,62,0.01259748050389922,0.01692683911437978,True,False,False,False
ABCB9,7.415417505350793,8631,0.18455957609717288,0.024888619124927756,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCC1,3.3640358564675648,13986,0.08562328217340223,0.025452537424185812,2,0.0005998800239952009,0.0009667683421292684,True,True,False,False
ABCC10,6.3058021595727585,9690,0.19049739138550056,0.030209848565941347,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCC11,3.1856555311117596,14371,0.03880866576293915,0.01218230707224018,2,0.0005998800239952009,0.0009667683421292684,True,True,False,False
ABCC12,6.332826938929106,9661,0.05509043260724928,0.008699174919865375,3,0.0007998400319936012,0.0012624514724094806,True,True,False,False
ABCC2,5.72318221224052,10296,0.23434518170508284,0.040946647473856845,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCC3,18.250608457281633,3168,1.9758500455656351,0.10826213644790705,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCC4,27.133481627880524,1564,1.5539366866984752,0.057270070854708865,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCC5,8.557206179257793,7702,0.16360600437541897,0.019119081085124383,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCC6,7.7285242007686845,8365,0.20145497490655936,0.02606641221376786,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCC8,47.60084473465099,343,2.6856250645763504,0.05641968338038558,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCC9,5.116160622318805,11084,0.2422364010895969,0.047347291809263316,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCD1,8.214628943853569,7961,0.21962647385017056,0.026736008796625212,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ABCD2,8.350834738547576,7868,0.3323499682395798,0.03979840281081129,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
