gene_symbol,fg_score,fg_rank,between_variance,within_variance,permutation_exceed_count,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200,in_recomputed_top200
SATB2,198.46265327377608,1,9.26149134220033,0.04666615710713954,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
MET,154.7770386772111,2,46.05455094343582,0.297554144912364,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ATP4A,136.98516767417442,3,16.9742416175259,0.1239129793091778,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
GFRA2,127.55320056912257,4,6.387740772424593,0.050079021681866745,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
TWIST1,117.6501357067329,5,13.755284122238196,0.11691684725315324,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
RSPO2,116.36889337380615,6,10.912110814076394,0.09377170594322849,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
HECW1,114.94378146993287,7,4.3631105699717825,0.03795863825547861,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
OVOL2,114.12065259624676,8,8.51657206365163,0.07462777971114758,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
NUAK1,111.79421522472288,9,4.650529103048807,0.041599003810334975,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
VIPR1,108.87964652054099,10,8.415838537901493,0.07729486380649955,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SIX3,103.27949785942205,11,16.441562957338483,0.15919482826032702,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
LMO4,102.83547212088082,12,5.304332511962664,0.05158075685569682,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ETS2,101.00929439897658,13,2.239194006527053,0.02216818768765497,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
LRRC4,99.87400245748034,14,2.6973300468604013,0.027007319039493972,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
MPPED1,98.55857863722174,15,10.203007528707708,0.10352225736409558,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000042392,97.8150087462284,16,9.211523235169444,0.09417289202434938,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
TSHZ3,97.65096066318453,17,4.684240312985844,0.047969208952618594,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
EMX1,97.57012363342598,18,15.553994130717838,0.15941348207627,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ECM1,96.41529657243353,19,5.678093514780272,0.058892030128866,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
FMN1,95.95527735826116,20,5.955427762645877,0.06206460933730372,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
KCNS1,95.47238085722738,21,39.2936713782806,0.41157107501401763,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CAMK2G,94.96826496814664,22,4.041941790831402,0.04256096331237031,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
RND1,92.96219211080432,23,2.673813839757739,0.028762369404422207,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
OTOS,91.76553771209538,24,5.715529479436984,0.06228404152889585,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CCK,90.55365193675388,25,13.62177170111002,0.15042762499614554,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
LPL,87.94808200717465,26,11.963712257210611,0.13603152115078318,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
MEF2C,87.00455397572671,27,7.777722087488322,0.08939441514305883,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
MCHR1,84.75112591786441,28,3.895204193349281,0.04596049083304231,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
RORB,83.91282788984505,30,9.179416311358171,0.10939227890496069,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ETV5,83.65474264569885,31,1.6453012673932854,0.01966774840028096,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000038912,83.60007176769821,32,15.927461498702302,0.19051970083183245,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000038166,83.04680023896668,33,5.638628119150342,0.06789698426016683,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ADCY2,82.20398425330774,34,3.6275640811898007,0.044128800958987476,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PTPRT,82.1692071637385,35,3.5182476923598003,0.04281709647820894,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
KHDRBS3,82.1637107697314,36,2.6809400608270177,0.03262923758036439,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
TESPA1,81.96730513206604,37,15.11963158459864,0.1844592882560282,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000018905,81.73021935058354,38,4.2809790167187005,0.052379379786724405,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
GRM2,80.97595095733726,39,6.914633608917967,0.08539118982130238,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
HCN1,80.71425690439207,40,3.871737264795166,0.04796843341119722,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
MICAL2,80.26969665354302,41,3.496801883341153,0.043563153050608185,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
