gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
A1BG,5.155014095620763,32,0.09648570240105948,0.018716854903051392,0.000999000999000999,0.6764485514485514,False,False,False
A2M,6.180962697126385,31,0.2205025487388803,0.03567445683368514,0.000999000999000999,0.6982694724630208,False,False,False
A2ML1,4.36822053385978,10029,0.23036757415683826,0.05273715662681505,0.005994005994005994,0.012950256444124227,True,False,False
A3GALT2,3.045542595578604,12720,0.06742631962305826,0.022139335455533954,0.015984015984015984,0.02722811779415553,True,False,False
A4GALT,6.704889690497469,9,0.22571919973244334,0.03366485402488392,0.000999000999000999,1.0,False,False,False
AAAS,8.4901681472955,8,0.1684889217282398,0.01984517077912403,0.000999000999000999,1.0,False,False,False
AACS,16.275749773356896,7,0.426108954214333,0.02618059366791,0.000999000999000999,1.0,False,False,True
AADACL3,3.706735117350037,11643,0.01040190272370416,0.00280620689826613,0.013986013986013986,0.026028424894696475,True,False,False
AADAT,21.39547486776169,6,1.0618442386697815,0.04962937402782305,0.000999000999000999,1.0,False,False,True
AAGAB,3.990644074938172,7778,0.15244791725476048,0.038201321512413164,0.001998001998001998,0.005566046193456839,True,True,False
AAK1,27.171299270107934,5,0.21979556697571206,0.008089244944739305,0.000999000999000999,1.0,False,False,False
AAMDC,4.995689744287451,9066,0.09830790371659257,0.019678534655221475,0.003996003996003996,0.009550564150167062,True,True,False
AAMP,1.7150169048602533,17240,0.012301991729300911,0.00717309231429079,0.0999000999000999,0.12555889586052,False,False,False
AANAT,5.0594127753538745,8597,0.027424403236313292,0.005420461595025201,0.002997002997002997,0.007553688605218208,True,True,False
AAR2,5.698499889119457,4,0.022751829082248255,0.003992589723602682,0.000999000999000999,1.0,False,False,False
AARD,1.1081087669665586,19835,0.00048756232046463235,0.00043998500319750324,0.33466533466533466,0.3655925622146948,False,False,False
AARS,3.1324676481861595,9744,0.03927858854652574,0.012539174105945936,0.004995004995004995,0.011107529580435984,True,False,False
AARS2,2.74276058461511,12717,0.018999174229547135,0.006927016126931629,0.015984015984015984,0.027234541034965663,True,False,False
AASDH,1.6939536131004256,17411,0.09180515532863155,0.05419578061589622,0.10789210789210789,0.13427179333790096,False,False,False
AASDHPPT,3.9124537985408665,9733,0.1892908357370729,0.04838160560084572,0.004995004995004995,0.011120083040354282,True,False,False
AASS,2.312926361660606,13930,0.0848674948357192,0.03669268209884706,0.024975024975024976,0.038848445165745954,True,False,False
AATF,5.028466402678285,28,0.06663837507808872,0.013252216373153347,0.000999000999000999,0.7730840587983445,False,False,False
AATK,3.7101492241298715,10039,0.24239094133088943,0.0653318477469715,0.006993006993006993,0.015093582580384055,True,False,False
ABAT,18.99322721434733,7735,0.10741867194090753,0.005655620332256771,0.000999000999000999,0.0027984943304917445,True,True,False
ABCA1,21.8483420197851,7734,0.8578552092618847,0.03926407733829967,0.000999000999000999,0.0027988561735652505,True,True,True
ABCA10,5.858375904883013,7733,0.635140254124213,0.10841574624992202,0.000999000999000999,0.0027992181102228946,True,True,False
ABCA12,13.638473750214677,7732,0.9215690947248416,0.06757126751998904,0.000999000999000999,0.0027995801405009887,True,True,False
ABCA13,14.174025990055531,7731,0.389363020170789,0.027470168229104794,0.000999000999000999,0.0027999422644358614,True,True,False
ABCA2,5.923591578652718,7730,0.7275835379279861,0.12282809660850293,0.000999000999000999,0.002800304482063861,True,True,False
ABCA3,2.0537960794681234,14946,0.06890317917185768,0.033549172346137156,0.03596403596403597,0.05213894896753187,False,False,False
ABCA4,4.367422353205768,7729,0.11021466324741913,0.025235621989317347,0.000999000999000999,0.002800666793421354,True,True,False
ABCA5,4.2381074724280605,9736,0.4432291066810907,0.10458183686552078,0.004995004995004995,0.011116656556262143,True,False,False
