gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
AADAT,21.39547486776169,6,1.0618442386697815,0.04962937402782305,0.000999000999000999,1.0,False,False,True
AACS,16.275749773356896,7,0.426108954214333,0.02618059366791,0.000999000999000999,1.0,False,False,True
ZSCAN31,20.402517470092736,10,1.0410424984333109,0.05102518823641053,0.000999000999000999,1.0,False,False,True
ADAM19,25.939805815678564,198,0.855350675380451,0.03297443404396655,0.000999000999000999,0.1093250184159275,False,False,True
FBXW7,17.825507319580463,220,0.9459319551308828,0.05306619104392889,0.000999000999000999,0.09839251657433476,False,False,True
ADAMTSL3,28.88508049695176,226,1.1576732500975944,0.04007857832935444,0.000999000999000999,0.09578032586882144,False,False,True
ADCY2,32.24501946036294,247,1.033698099294665,0.03205759506875594,0.000999000999000999,0.08763705929697832,False,False,True
FLRT2,45.231240497977495,266,1.009105065001504,0.02230990354408301,0.000999000999000999,0.08137726934719415,False,False,True
ADGRA1,9.106627361681557,271,0.6824765558833628,0.07494283423617198,0.000999000999000999,0.07987584371348208,False,False,True
ADGRL2,28.081827175125422,302,1.0565313050331595,0.037623300564670926,0.000999000999000999,0.07167666770315777,False,False,True
ADRA1B,9.863309352497295,314,1.2586480443536345,0.12760909150658076,0.000999000999000999,0.06893743199475684,False,False,True
FMN1,24.046071781596105,326,1.4609331676290895,0.06075557539866079,0.000999000999000999,0.06639985781090076,False,False,True
FBLN7,15.617248506144458,426,1.8673222107023133,0.11956792861400317,0.000999000999000999,0.05081303672852969,False,False,True
ZFHX3,28.5143520234463,450,1.400087111740964,0.049101127230462886,0.000999000999000999,0.048103008103008105,True,False,True
FAP,21.466987333733062,487,1.235720414233654,0.05756374568787206,0.000999000999000999,0.04444836477690687,True,False,True
ZBTB18,21.00874083295657,572,0.5927196183238772,0.02821299062848476,0.000999000999000999,0.037843275605513364,True,False,True
ZBTB16,8.73629023496313,574,0.6224236983614817,0.07124575698133342,0.000999000999000999,0.03771141750235827,True,False,True
FOXO1,29.866627506018105,579,1.386981499071391,0.0464391635823509,0.000999000999000999,0.03738575759301148,True,False,True
YPEL4,28.999416124325215,624,0.37182891249584743,0.0128219347902591,0.000999000999000999,0.03468966930505392,True,False,True
FAM81A,20.897319730361215,647,1.044484280615213,0.049981724217221496,0.000999000999000999,0.03345649713501336,True,False,True
FTCD,8.613233097271758,812,1.0157291698658473,0.1179265755683831,0.000999000999000999,0.026658070993046363,True,False,True
FSTL4,21.284295176076327,814,0.929953142050077,0.043691976714004495,0.000999000999000999,0.0265925720471175,True,False,True
VXN,21.291908418435032,862,1.518775861743586,0.07133111879767012,0.000999000999000999,0.025111779172104,True,False,True
VSNL1,31.014293277057856,889,2.342948842808532,0.0755441535209427,0.000999000999000999,0.024349104214121085,True,False,True
