p,ICC,n_sim,n_donors,total_n,pct_cov,pct_width,cr1_cov,cr1_width,cr2_cov,cr2_width,cr2_mcse
0.45,0.05,5000,9,819,0.8706,0.1657367248475919,0.8796,0.17397525995640442,0.937,0.24322296819083727,0.003436015133843271
0.45,0.1,5000,9,819,0.8706,0.22659236710924502,0.869,0.23394837849961508,0.9374,0.3344838972273505,0.0034258207775655744
0.45,0.2,5000,9,819,0.8708,0.3133022335348798,0.8608,0.32103991196662385,0.928,0.4631217014416961,0.0036555710908146746
0.45,0.3,5000,9,819,0.8678,0.3869668914606747,0.8458,0.3938638918673033,0.92,0.5743102944122394,0.0038366652186501747
0.56,0.05,5000,9,819,0.868,0.16610093926622863,0.8776,0.17418132701929864,0.9382,0.2444320411339987,0.0034053123204781078
0.56,0.1,5000,9,819,0.8714,0.22504151592135369,0.8684,0.23266847009461927,0.9374,0.3326553172294054,0.0034258207775655744
0.56,0.2,5000,9,819,0.8676,0.3156903230464771,0.8538,0.32321530155626116,0.924,0.46846310140365266,0.0037476392569189463
0.56,0.3,5000,9,819,0.867,0.3859308478063145,0.8508,0.39291006402333006,0.9232,0.5728500584342551,0.003765680814939046
0.72,0.05,5000,9,819,0.8666,0.14831633730746588,0.8758,0.15604124909970113,0.9318,0.2182187984899775,0.0035650739122772765
0.72,0.1,5000,9,819,0.858,0.20291697617498441,0.8604,0.20989482575822266,0.9224,0.300824693888371,0.003783602516121375
0.72,0.2,5000,9,819,0.845,0.27857180440068,0.8402,0.28664419008619163,0.9042,0.4139671411686516,0.004162267651172856
0.72,0.3,5000,9,819,0.8498,0.33777775981529345,0.8306,0.34779960423874856,0.897,0.5027702783475858,0.004298627687995321
0.92,0.05,5000,9,819,0.8514,0.08620125600983515,0.8548,0.09172783873864152,0.9102,0.12742473039922017,0.00404316608612607
0.92,0.1,5000,9,819,0.8256,0.11229472811709659,0.826,0.1197392109850816,0.875,0.16747715956174014,0.004677071733467427
0.92,0.2,5000,9,819,0.7702,0.1430062799769034,0.7672,0.15479990793464896,0.8056,0.21701315233258806,0.0055965818139289275
0.92,0.3,5000,9,819,0.7254,0.1687688863448556,0.725,0.18441805046607665,0.7562,0.2586863063953446,0.006072257570294594
