panel,metric,n,mean,sd,p10,q1,median,q3,p90
all_21668,r2,21668,0.44676598027015596,0.23903983966490927,0.13432042350281698,0.2241959678777397,0.4402424432630126,0.6580131348900728,0.7781956143663521
all_21668,spearman_r,21668,0.6458216441267216,0.1474903636056607,0.4674601698803673,0.5214866813047215,0.6247887894893625,0.7697442385764617,0.8635590914632136
all_21668,residual_sd,21668,0.26321603302538454,0.10360022514822344,0.1443433520861386,0.18733794755666602,0.24904218207320483,0.32230933463690015,0.3971936410905791
all_21668,slope,21668,1.7378575742745903,2.357082412788662,0.20013985245024682,0.35661669812982283,0.79487474780432,1.7168452029489625,5.37369402954995
all_21668,intercept,21668,5.650660354239346,2.6027290219131145,2.1661783031077864,3.1888252582353678,5.6659776560970405,7.691254868969255,9.1259408772049
locked_network_200,r2,200,0.6777936968955655,0.1807054409219189,0.4107298139833379,0.5696364125599355,0.7007197416835096,0.840456536434358,0.8841029794403702
locked_network_200,spearman_r,200,0.6478119104789269,0.14995279231887954,0.4232922012733961,0.5419888882041903,0.6682954534670241,0.758401688358752,0.8317774772160451
locked_network_200,residual_sd,200,0.3738224365497813,0.14807442416261515,0.18258006381449746,0.25708475963747346,0.358462722841864,0.4766038401479527,0.5839616876000592
locked_network_200,slope,200,1.1015421611294056,0.3662685843207369,0.6199139890729298,0.8656445521350243,1.1174714313540004,1.3128247500805001,1.4422414258002703
locked_network_200,intercept,200,5.681414883719523,1.5616104422080135,4.081479520249826,4.646104003326982,5.440576678091034,6.575257068753818,7.778863655684499
