region_type,level,top_k,variant,n_patients,n_correct,accuracy,wilson_lo,wilson_hi,cp_lo,cp_hi,ac_lo,ac_hi,bootstrap_lo,bootstrap_hi
# Primary report uses the edema region_type in a 63-case comparator: 65 total minus TCGA-HT-7686 (no label-2 edema voxels) and TCGA-HT-7680 (cerebellar/out-of-scope edema),,,,,,,,,,,,,,
# Variant definitions: strict = exact Network match required; candidate-set any-hit = predicted Top3 intersects the sample-specific set of Networks with >=20% edema overlap; this is not anatomical adjacency tolerance,,,,,,,,,,,,,,
"# Network Top3 strict: 15/63=23.8095%, p=0.8888 (exploratory one-sided exact-binomial test vs 30% uniform-network null)",,,,,,,,,,,,,,
# Broad Top3 strict: 52/63=82.5397% (descriptive only; no valid prespecified Top3 null),,,,,,,,,,,,,,
# Network candidate-set any-hit Top3: 23/63=36.5079% (descriptive sensitivity; no P value reported because candidate-set size varies by patient),,,,,,,,,,,,,,
center,broad,top1,strict,65,12,0.184615,0.108888,0.295542,0.099200,0.300284,0.107334,0.297096,0.092308,0.292308
center,broad,top1,tolerant,65,12,0.184615,0.108888,0.295542,0.099200,0.300284,0.107334,0.297096,0.092308,0.292308
center,broad,top3,strict,65,32,0.492308,0.374636,0.610838,0.366010,0.619329,0.374636,0.610838,0.369231,0.615385
center,broad,top3,tolerant,65,32,0.492308,0.374636,0.610838,0.366010,0.619329,0.374636,0.610838,0.369231,0.615385
center,lobe,top1,strict,65,12,0.184615,0.108888,0.295542,0.099200,0.300284,0.107334,0.297096,0.092308,0.292308
center,lobe,top1,tolerant,65,12,0.184615,0.108888,0.295542,0.099200,0.300284,0.107334,0.297096,0.092308,0.292308
center,lobe,top3,strict,65,34,0.523077,0.403794,0.639784,0.395442,0.648540,0.403788,0.639791,0.400000,0.646154
center,lobe,top3,tolerant,65,34,0.523077,0.403794,0.639784,0.395442,0.648540,0.403788,0.639791,0.400000,0.646154
center,network,top1,strict,65,9,0.138462,0.074590,0.242683,0.065320,0.246638,0.072334,0.244939,0.061538,0.230769
center,network,top1,tolerant,65,9,0.138462,0.074590,0.242683,0.065320,0.246638,0.072334,0.244939,0.061538,0.230769
center,network,top3,strict,65,19,0.292308,0.195833,0.411963,0.186029,0.418259,0.195247,0.412548,0.184615,0.400000
center,network,top3,tolerant,65,19,0.292308,0.195833,0.411963,0.186029,0.418259,0.195247,0.412548,0.184615,0.400000
core,broad,top1,strict,65,10,0.153846,0.085770,0.260555,0.076322,0.264784,0.083777,0.262548,0.076923,0.246154
core,broad,top1,tolerant,65,18,0.276923,0.182934,0.395809,0.173100,0.401901,0.182249,0.396494,0.169231,0.384615
core,broad,top3,strict,65,45,0.692308,0.572021,0.791131,0.565527,0.800893,0.571526,0.791626,0.569231,0.800000
core,broad,top3,tolerant,65,55,0.846154,0.739445,0.914230,0.735216,0.923678,0.737452,0.916223,0.753846,0.923077
core,lobe,top1,strict,65,10,0.153846,0.085770,0.260555,0.076322,0.264784,0.083777,0.262548,0.076923,0.246154
core,lobe,top1,tolerant,65,17,0.261538,0.170181,0.379510,0.160329,0.385394,0.169385,0.380306,0.153846,0.369231
core,lobe,top3,strict,65,51,0.784615,0.670332,0.867134,0.665113,0.876947,0.669129,0.868337,0.676923,0.876923
core,lobe,top3,tolerant,65,55,0.846154,0.739445,0.914230,0.735216,0.923678,0.737452,0.916223,0.753846,0.923077
core,network,top1,strict,65,4,0.061538,0.024189,0.147824,0.017020,0.150133,0.019774,0.152238,0.015385,0.123077
core,network,top1,tolerant,65,12,0.184615,0.108888,0.295542,0.099200,0.300284,0.107334,0.297096,0.092308,0.292308
core,network,top3,strict,65,12,0.184615,0.108888,0.295542,0.099200,0.300284,0.107334,0.297096,0.092308,0.292308
core,network,top3,tolerant,65,29,0.446154,0.331693,0.566624,0.322694,0.574681,0.331657,0.566660,0.323077,0.569231
edema,broad,top1,strict,63,14,0.222222,0.137249,0.339125,0.127151,0.344644,0.136066,0.340308,0.126984,0.333333
edema,broad,top1,tolerant,63,20,0.317460,0.215865,0.440038,0.205849,0.446888,0.215403,0.440499,0.206349,0.444444
edema,broad,top3,strict,63,52,0.825397,0.713783,0.899607,0.709029,0.909481,0.712026,0.901364,0.730159,0.920635
edema,broad,top3,tolerant,63,55,0.873016,0.768927,0.934228,0.765034,0.943549,0.766347,0.936808,0.777778,0.952381
edema,lobe,top1,strict,63,12,0.190476,0.112461,0.304070,0.102484,0.309088,0.110917,0.305614,0.095238,0.285714
edema,lobe,top1,tolerant,63,22,0.349206,0.243258,0.472488,0.233371,0.479734,0.242950,0.472796,0.238095,0.476190
edema,lobe,top3,strict,63,55,0.873016,0.768927,0.934228,0.765034,0.943549,0.766347,0.936808,0.777778,0.952381
edema,lobe,top3,tolerant,63,58,0.920635,0.827295,0.965625,0.824424,0.973728,0.823421,0.969498,0.841270,0.984127
edema,network,top1,strict,63,7,0.111111,0.054875,0.212049,0.045857,0.215624,0.051934,0.214989,0.047619,0.190476
edema,network,top1,tolerant,63,13,0.206349,0.124752,0.321700,0.114702,0.326973,0.123398,0.323054,0.111111,0.317460
edema,network,top3,strict,63,15,0.238095,0.149937,0.356359,0.139812,0.362116,0.148907,0.357388,0.142857,0.349206
edema,network,top3,tolerant,63,23,0.365079,0.257152,0.488515,0.247343,0.495951,0.256907,0.488760,0.253968,0.492063
whole_tumor,broad,top1,strict,65,9,0.138462,0.074590,0.242683,0.065320,0.246638,0.072334,0.244939,0.061538,0.230769
whole_tumor,broad,top1,tolerant,65,17,0.261538,0.170181,0.379510,0.160329,0.385394,0.169385,0.380306,0.153846,0.369231
whole_tumor,broad,top3,strict,65,46,0.707692,0.588037,0.804167,0.581741,0.813971,0.587452,0.804753,0.600000,0.815385
whole_tumor,broad,top3,tolerant,65,55,0.846154,0.739445,0.914230,0.735216,0.923678,0.737452,0.916223,0.753846,0.923077
whole_tumor,lobe,top1,strict,65,11,0.169231,0.097211,0.278166,0.087626,0.282656,0.095451,0.279927,0.076923,0.261538
whole_tumor,lobe,top1,tolerant,65,18,0.276923,0.182934,0.395809,0.173100,0.401901,0.182249,0.396494,0.169231,0.384615
whole_tumor,lobe,top3,strict,65,55,0.846154,0.739445,0.914230,0.735216,0.923678,0.737452,0.916223,0.753846,0.923077
whole_tumor,lobe,top3,tolerant,65,57,0.876923,0.775483,0.936296,0.771814,0.945337,0.772926,0.938853,0.784615,0.953846
whole_tumor,network,top1,strict,65,2,0.030769,0.008479,0.105429,0.003748,0.106770,0.002207,0.111701,0.000000,0.076923
whole_tumor,network,top1,tolerant,65,9,0.138462,0.074590,0.242683,0.065320,0.246638,0.072334,0.244939,0.061538,0.230769
whole_tumor,network,top3,strict,65,10,0.153846,0.085770,0.260555,0.076322,0.264784,0.083777,0.262548,0.076923,0.246154
whole_tumor,network,top3,tolerant,65,22,0.338462,0.235333,0.459619,0.225685,0.466494,0.234992,0.459960,0.230769,0.461538
edema,manuscript_summary,top3,strict,63,"network=15,broad=52","network=0.2381,broad=0.8254",,,,,,,p_network=0.8888,p_broad=not_tested
