Neurotransmitter,Class,HumanEnsg,HumanGeneName,mfas5_Ensg,mfas5_GeneName
Acetylcholine,breakdown,ENSG00000087085,ACHE,ENSMFAG00000037867,ACHE
Acetylcholine,breakdown,ENSG00000114200,BCHE,ENSMFAG00000031933,BCHE
Acetylcholine,synthesis,ENSG00000070748,CHAT,ENSMFAG00000045379,CHAT
Acetylcholine,receptors,ENSG00000168539,CHRM1,ENSMFAG00000028626,CHRM1
Acetylcholine,receptors,ENSG00000181072,CHRM2,ENSMFAG00000029546,CHRM2
Acetylcholine,receptors,ENSG00000133019,CHRM3,,
Acetylcholine,receptors,ENSG00000180720,CHRM4,ENSMFAG00000021204,CHRM4
Acetylcholine,receptors,ENSG00000184984,CHRM5,ENSMFAG00000012509,CHRM5
Acetylcholine,receptors,ENSG00000138435,CHRNA1,ENSMFAG00000042992,CHRNA1
Acetylcholine,receptors,ENSG00000129749,CHRNA10,ENSMFAG00000032461,CHRNA10
Acetylcholine,receptors,ENSG00000120903,CHRNA2,ENSMFAG00000003637,CHRNA2
Acetylcholine,receptors,ENSG00000080644,CHRNA3,ENSMFAG00000002440,CHRNA3
Acetylcholine,receptors,ENSG00000101204,CHRNA4,ENSMFAG00000000312,CHRNA4
Acetylcholine,receptors,ENSG00000169684,CHRNA5,ENSMFAG00000039718,CHRNA5
Acetylcholine,receptors,ENSG00000147434,CHRNA6,ENSMFAG00000025645,CHRNA6
Acetylcholine,receptors,ENSG00000175344,CHRNA7,ENSMFAG00000001387,CHRNA7
Acetylcholine,receptors,ENSG00000174343,CHRNA9,ENSMFAG00000003088,CHRNA9
Acetylcholine,receptors,ENSG00000170175,CHRNB1,ENSMFAG00000042053,CHRNB1
Acetylcholine,receptors,ENSG00000160716,CHRNB2,ENSMFAG00000003122,CHRNB2
Acetylcholine,receptors,ENSG00000147432,CHRNB3,ENSMFAG00000033169,CHRNB3
Acetylcholine,receptors,ENSG00000117971,CHRNB4,ENSMFAG00000044105,CHRNB4
Acetylcholine,receptors,ENSG00000135902,CHRND,ENSMFAG00000032629,CHRND
Acetylcholine,receptors,ENSG00000108556,CHRNE,ENSMFAG00000000833,CHRNE
Acetylcholine,receptors,ENSG00000196811,CHRNG,ENSMFAG00000039032,CHRNG
Acetylcholine,packaging,ENSG00000187714,SLC18A3,ENSMFAG00000008697,SLC18A3
Acetylcholine,reuptake,ENSG00000175003,SLC22A1,ENSMFAG00000033700,SLC22A1
Acetylcholine,reuptake,ENSG00000112499,SLC22A2,ENSMFAG00000031849,SLC22A2
Acetylcholine,reuptake,ENSG00000070214,SLC44A1,ENSMFAG00000044299,SLC44A1
Acetylcholine,reuptake,ENSG00000129353,SLC44A2,ENSMFAG00000013480,ENSMFAG00000013480
Acetylcholine,reuptake,ENSG00000143036,SLC44A3,ENSMFAG00000030266,SLC44A3
Acetylcholine,reuptake,ENSG00000204385,SLC44A4,ENSMFAG00000041119,SLC44A4
Acetylcholine,reuptake,ENSG00000137968,SLC44A5,ENSMFAG00000038111,SLC44A5
Acetylcholine,reuptake,ENSG00000115665,SLC5A7,ENSMFAG00000037536,SLC5A7
Dopamine,breakdown,ENSG00000093010,COMT,ENSMFAG00000030334,COMT
Dopamine,synthesis,ENSG00000123454,DBH,ENSMFAG00000041482,DBH
Dopamine,synthesis,ENSG00000132437,DDC,ENSMFAG00000025021,DDC
Dopamine,receptors,ENSG00000184845,DRD1,ENSMFAG00000015744,DRD1
Dopamine,receptors,ENSG00000149295,DRD2,ENSMFAG00000043416,DRD2
Dopamine,receptors,ENSG00000151577,DRD3,ENSMFAG00000037060,DRD3
Dopamine,receptors,ENSG00000069696,DRD4,ENSMFAG00000038523,DRD4
Dopamine,receptors,ENSG00000169676,DRD5,ENSMFAG00000011075,DRD5
Dopamine,breakdown,ENSG00000189221,MAOA,ENSMFAG00000041722,MAOA
Dopamine,breakdown,ENSG00000069535,MAOB,ENSMFAG00000040990,MAOB
Dopamine,breakdown,ENSG00000123213,NLN,ENSMFAG00000031704,NLN
Dopamine,breakdown,ENSG00000133636,NTS,ENSMFAG00000024858,NTS
Dopamine,receptors,ENSG00000101188,NTSR1,ENSMFAG00000030438,NTSR1
Dopamine,receptors,ENSG00000169006,NTSR2,ENSMFAG00000043071,NTSR2
Dopamine,packaging,ENSG00000036565,SLC18A1,ENSMFAG00000029619,SLC18A1
Dopamine,packaging,ENSG00000165646,SLC18A2,ENSMFAG00000031383,SLC18A2
Dopamine,reyuptake,ENSG00000103546,SLC6A2,ENSMFAG00000002998,SLC6A2
Dopamine,reuptake,ENSG00000142319,SLC6A3,ENSMFAG00000003977,SLC6A3
Dopamine,synthesis,ENSG00000180176,TH,ENSMFAG00000042448,TH
Epinephrine,receptors,ENSG00000120907,ADRA1A,ENSMFAG00000030813,ADRA1A
Epinephrine,receptors,ENSG00000170214,ADRA1B,ENSMFAG00000045077,ADRA1B
Epinephrine,receptors,ENSG00000171873,ADRA1D,ENSMFAG00000003889,ADRA1D
Epinephrine,receptors,ENSG00000150594,ADRA2A,ENSMFAG00000043222,ADRA2A
Epinephrine,receptors,ENSG00000274286,ADRA2B,ENSMFAG00000035322,ADRA2B
Epinephrine,receptors,ENSG00000184160,ADRA2C,ENSMFAG00000003755,ADRA2C
Epinephrine,receptors,ENSG00000043591,ADRB1,ENSMFAG00000031007,ADRB1
Epinephrine,receptors,ENSG00000169252,ADRB2,ENSMFAG00000021322,ADRB2
Epinephrine,receptors,ENSG00000188778,ADRB3,ENSMFAG00000039383,ADRB3
Epinephrine,breakdown,ENSG00000093010,COMT,ENSMFAG00000030334,COMT
Epinephrine,breakdown,ENSG00000189221,MAOA,ENSMFAG00000041722,MAOA
Epinephrine,breakdown,ENSG00000069535,MAOB,ENSMFAG00000040990,MAOB
Epinephrine,synthesis,ENSG00000141744,PNMT,ENSMFAG00000002771,PNMT
Epinephrine,packaging,ENSG00000036565,SLC18A1,ENSMFAG00000029619,SLC18A1
GABA,breakdown,ENSG00000183044,ABAT,ENSMFAG00000032053,ABAT
GABA,receptors,ENSG00000204681,GABBR1,ENSMFAG00000040724,GABBR1
GABA,receptors,ENSG00000136928,GABBR2,ENSMFAG00000042106,GABBR2
GABA,receptors,ENSG00000022355,GABRA1,ENSMFAG00000045791,GABRA1
GABA,receptors,ENSG00000151834,GABRA2,ENSMFAG00000034210,GABRA2
GABA,receptors,ENSG00000011677,GABRA3,ENSMFAG00000003816,GABRA3
GABA,receptors,ENSG00000109158,GABRA4,ENSMFAG00000032339,GABRA4
GABA,receptors,ENSG00000186297,GABRA5,ENSMFAG00000000781,GABRA5
GABA,receptors,ENSG00000145863,GABRA6,ENSMFAG00000038886,GABRA6
GABA,receptors,ENSG00000163288,GABRB1,ENSMFAG00000031591,GABRB1
GABA,receptors,ENSG00000145864,GABRB2,ENSMFAG00000033709,GABRB2
GABA,receptors,ENSG00000166206,GABRB3,ENSMFAG00000033421,GABRB3
GABA,receptors,ENSG00000187730,GABRD,ENSMFAG00000041498,GABRD
GABA,receptors,ENSG00000102287,GABRE,ENSMFAG00000003851,GABRE
GABA,receptors,ENSG00000163285,GABRG1,ENSMFAG00000030419,GABRG1
GABA,receptors,ENSG00000113327,GABRG2,ENSMFAG00000036513,GABRG2
GABA,receptors,ENSG00000182256,GABRG3,ENSMFAG00000046358,GABRG3
GABA,receptors,ENSG00000094755,GABRP,ENSMFAG00000003571,GABRP
GABA,receptors,ENSG00000268089,GABRQ,ENSMFAG00000041143,GABRQ
GABA,receptors,ENSG00000146276,GABRR1,ENSMFAG00000001410,GABRR1
GABA,receptors,ENSG00000111886,GABRR2,ENSMFAG00000043423,GABRR2
GABA,receptors,ENSG00000183185,GABRR3,ENSMFAG00000029970,GABRR3
GABA,snthesis,ENSG00000128683,GAD1,ENSMFAG00000045590,GAD1
GABA,synthesis,ENSG00000136750,GAD2,ENSMFAG00000042664,GAD2
GABA,packaging,ENSG00000101438,SLC32A1,ENSMFAG00000004019,SLC32A1
GABA,packaging,ENSG00000157103,SLC6A1,ENSMFAG00000007438,SLC6A1
GABA,packaging,ENSG00000132164,SLC6A11,ENSMFAG00000034176,SLC6A11
GABA,packaging,ENSG00000010379,SLC6A13,ENSMFAG00000038990,SLC6A13
Glutamate,synthesis,ENSG00000047230,CTPS2,ENSMFAG00000009688,CTPS2
Glutamate,synthesis,ENSG00000135423,GLS2,ENSMFAG00000045451,GLS2
Glutamate,breakdown,ENSG00000135821,GLUL,ENSMFAG00000040506,GLUL
Glutamate,synthesis,ENSG00000120053,GOT1,ENSMFAG00000030230,GOT1
Glutamate,synthesis,ENSG00000125166,GOT2,ENSMFAG00000000866,GOT2
Glutamate,receptors,ENSG00000155511,GRIA1,ENSMFAG00000043353,GRIA1
Glutamate,receptors,ENSG00000120251,GRIA2,ENSMFAG00000042771,GRIA2
Glutamate,receptors,ENSG00000125675,GRIA3,ENSMFAG00000011695,GRIA3
Glutamate,receptors,ENSG00000152578,GRIA4,ENSMFAG00000001913,GRIA4
Glutamate,receptors,ENSG00000171189,GRIK1,ENSMFAG00000039272,GRIK1
Glutamate,receptors,ENSG00000164418,GRIK2,ENSMFAG00000040349,GRIK2
Glutamate,receptors,ENSG00000163873,GRIK3,ENSMFAG00000002477,GRIK3
Glutamate,receptors,ENSG00000149403,GRIK4,ENSMFAG00000036614,GRIK4
Glutamate,receptors,ENSG00000105737,GRIK5,ENSMFAG00000039157,GRIK5
Glutamate,receptors,ENSG00000176884,GRIN1,ENSMFAG00000030914,GRIN1
