humanEnsemblID,HumanGeneSymbol,MfasEnsemblID,MfasGeneSymbol
ENSG00000100109,TFIP11,ENSMFAG00000043406,TFIP11
ENSG00000261456,TUBB8,ENSMFAG00000043555,
ENSG00000261456,TUBB8,ENSMFAG00000032710,
ENSG00000261456,TUBB8,ENSMFAG00000046178,
ENSG00000261456,TUBB8,ENSMFAG00000001960,
ENSG00000044012,GUCA2B,ENSMFAG00000038173,GUCA2B
ENSG00000101222,SPEF1,ENSMFAG00000003795,SPEF1
ENSG00000134318,ROCK2,ENSMFAG00000043366,ROCK2
ENSG00000133661,SFTPD,ENSMFAG00000045610,SFTPD
ENSG00000116731,PRDM2,ENSMFAG00000037989,PRDM2
ENSG00000155561,NUP205,ENSMFAG00000037733,NUP205
ENSG00000132405,TBC1D14,ENSMFAG00000034270,TBC1D14
ENSG00000204103,MAFB,ENSMFAG00000023841,MAFB
ENSG00000164099,PRSS12,ENSMFAG00000031132,PRSS12
ENSG00000169933,FRMPD4,ENSMFAG00000035360,FRMPD4
ENSG00000058799,YIPF1,ENSMFAG00000036304,YIPF1
ENSG00000104047,DTWD1,ENSMFAG00000039613,DTWD1
ENSG00000147144,CCDC120,ENSMFAG00000011731,CCDC120
ENSG00000117682,DHDDS,ENSMFAG00000033901,DHDDS
ENSG00000134202,GSTM3,ENSMFAG00000035350,GSTM3
ENSG00000167840,ZNF232,ENSMFAG00000044344,ZNF232
ENSG00000111348,ARHGDIB,ENSMFAG00000040353,ARHGDIB
ENSG00000171729,TMEM51,ENSMFAG00000031613,TMEM51
ENSG00000144040,SFXN5,ENSMFAG00000000876,SFXN5
ENSG00000105852,PON3,ENSMFAG00000038783,PON3
ENSG00000102924,CBLN1,ENSMFAG00000003677,CBLN1
ENSG00000179598,PLD6,ENSMFAG00000043299,PLD6
ENSG00000111275,ALDH2,ENSMFAG00000022844,
ENSG00000233932,CTXN2,ENSMFAG00000034909,CTXN2
ENSG00000187609,EXD3,ENSMFAG00000037569,EXD3
ENSG00000091136,LAMB1,ENSMFAG00000002104,LAMB1
ENSG00000130037,KCNA5,ENSMFAG00000027824,KCNA5
ENSG00000175697,GPR156,ENSMFAG00000000407,GPR156
ENSG00000104643,MTMR9,ENSMFAG00000031184,MTMR9
ENSG00000139053,PDE6H,ENSMFAG00000039015,PDE6H
ENSG00000101911,PRPS2,ENSMFAG00000001211,
