Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
ENSMFAG00000055330					
ENSMFAG00000052166					
ENSMFAG00000048966					
ENSMFAG00000056376					
ENSMFAG00000063704					
ENSMFAG00000065171					
ENSMFAG00000051495					
ENSMFAG00000056526					
ENSMFAG00000053335					
ENSMFAG00000056475					
ENSMFAG00000060697					
ENSMFAG00000051144					
ENSMFAG00000059047					
ENSMFAG00000050739					
ENSMFAG00000052598					
ENSMFAG00000058382					
ENSMFAG00000049865					
ENSMFAG00000057779					
ENSMFAG00000026972					
ENSMFAG00000053016					
ENSMFAG00000049236					
ENSMFAG00000054808					
ENSMFAG00000044637	PGBD2	ENSG00000185220	PGBD2	ortholog_one2one	1
ENSMFAG00000062363					
ENSMFAG00000035123	Y_RNA	ENSG00000252398	Y_RNA	ortholog_one2one	1
ENSMFAG00000018105	SNORA25	ENSG00000201701		ortholog_one2one	1
ENSMFAG00000032500	TCEANC2	ENSG00000116205	TCEANC2	ortholog_one2one	1
ENSMFAG00000000628	MEX3A	ENSG00000254726	MEX3A	ortholog_one2one	1
ENSMFAG00000065280	U6	ENSG00000207472	RNU6-41P	ortholog_one2many	0
ENSMFAG00000065280	U6	ENSG00000206772	RNU6-44P	ortholog_one2many	0
ENSMFAG00000030252	U1	ENSG00000202408	RNVU1-21	ortholog_one2one	0
ENSMFAG00000000115	RAB25	ENSG00000132698	RAB25	ortholog_one2one	1
ENSMFAG00000014351	U6	ENSG00000201182	RNU6-670P	ortholog_one2one	1
ENSMFAG00000048980	U1	ENSG00000202167	RNU1-114P	ortholog_one2one	0
ENSMFAG00000058530	Metazoa_SRP				
ENSMFAG00000065130					
ENSMFAG00000017869		ENSG00000109475	RPL34	ortholog_one2one	0
ENSMFAG00000063026	snoU13				
ENSMFAG00000033997	LAMC1	ENSG00000135862	LAMC1	ortholog_one2one	1
ENSMFAG00000049486	Metazoa_SRP	ENSG00000264036	RN7SL198P	ortholog_one2many	0
ENSMFAG00000048079	Metazoa_SRP				
ENSMFAG00000050711	Metazoa_SRP				
ENSMFAG00000039587	ACTRT3	ENSG00000184378	ACTRT3	ortholog_one2one	1
ENSMFAG00000060721	U6	ENSG00000206700	RNU6-723P	ortholog_one2one	1
ENSMFAG00000029324	AK4	ENSG00000233381	AK4P3	ortholog_one2many	0
ENSMFAG00000029324	AK4	ENSG00000162433	AK4	ortholog_one2many	1
ENSMFAG00000059375	Metazoa_SRP	ENSG00000277617	Metazoa_SRP	ortholog_one2many	0
ENSMFAG00000036171		ENSG00000143570	SLC39A1	ortholog_one2many	1
ENSMFAG00000055309	Metazoa_SRP				
ENSMFAG00000040959	GJA8	ENSG00000121634	GJA8	ortholog_one2one	1
ENSMFAG00000011984	U6	ENSG00000200495	RNU6-1205P	ortholog_one2one	1
ENSMFAG00000063946					
ENSMFAG00000017252	MIR30C1	ENSG00000207962	MIR30C1	ortholog_one2one	1
ENSMFAG00000055245					
ENSMFAG00000041380	KLF17	ENSG00000171872	KLF17	ortholog_one2one	1
ENSMFAG00000062961					
ENSMFAG00000016426	U8	ENSG00000201398	U8	ortholog_one2one	1
ENSMFAG00000059009	Metazoa_SRP				
ENSMFAG00000049956					
ENSMFAG00000054875	CTTNBP2NL	ENSG00000143079	CTTNBP2NL	ortholog_one2one	1
ENSMFAG00000002199	NEXN	ENSG00000162614	NEXN	ortholog_one2one	1
ENSMFAG00000038045	ABHD10	ENSG00000144827	ABHD10	ortholog_one2one	1
ENSMFAG00000022133	PPP2R3A	ENSG00000073711	PPP2R3A	ortholog_one2one	1
ENSMFAG00000060157					
ENSMFAG00000012995	MIR101-1	ENSG00000199135	MIR101-1	ortholog_one2one	1
ENSMFAG00000039056	ZNF692	ENSG00000171163	ZNF692	ortholog_one2one	1
